name	link	position	shoots	years_active
Noel Acciari	https://www.hockey-reference.com/players/a/acciano01.html	C	Right	2016-2024
Calen Addison	https://www.hockey-reference.com/players/a/addisca01.html	D	Right	2021-2024
Egor  Afanasyev	https://www.hockey-reference.com/players/a/afanaeg01.html	LW	Left	2023-2024
Sebastian Aho	https://www.hockey-reference.com/players/a/ahose01.html	F	Left	2017-2024
Sebastian Aho	https://www.hockey-reference.com/players/a/ahose02.html	D	Left	2018-2024
Nikita Alexandrov	https://www.hockey-reference.com/players/a/alexani01.html	C	Left	2023-2024
Alexander Alexeyev	https://www.hockey-reference.com/players/a/alexeal01.html	D	Left	2022-2024
Jake Allen	https://www.hockey-reference.com/players/a/allenja01.html	G	Not Found	2013-2024
Michael Amadio	https://www.hockey-reference.com/players/a/amadimi01.html	C	Right	2018-2024
Nils Ãman	https://www.hockey-reference.com/players/a/amanni01.html	C	Left	2023-2024
Frederik Andersen	https://www.hockey-reference.com/players/a/anderfr01.html	G	Not Found	2014-2024
Joey Anderson	https://www.hockey-reference.com/players/a/anderjo08.html	RW	Right	2019-2024
Josh Anderson	https://www.hockey-reference.com/players/a/anderjo05.html	RW	Right	2015-2024
Michael Anderson	https://www.hockey-reference.com/players/a/andermi02.html	D	Left	2020-2024
Jaret Anderson-Dolan	https://www.hockey-reference.com/players/a/anderja01.html	C	Left	2019-2024
Rasmus Andersson	https://www.hockey-reference.com/players/a/anderra01.html	D	Right	2017-2024
Emil Andrae	https://www.hockey-reference.com/players/a/andraem01.html	D	Left	2024
Tyler Angle	https://www.hockey-reference.com/players/a/anglety01.html	C	Left	2023-2024
Justus Annunen	https://www.hockey-reference.com/players/a/annunju01.html	G	Not Found	2022-2024
Kenneth Appleby	https://www.hockey-reference.com/players/a/appleke01.html	G	Not Found	2018-2024
Mason Appleton	https://www.hockey-reference.com/players/a/applema01.html	C	Right	2019-2024
Joel Armia	https://www.hockey-reference.com/players/a/armiajo01.html	RW	Right	2015-2024
Viktor Arvidsson	https://www.hockey-reference.com/players/a/arvidvi01.html	LW	Right	2015-2024
Yaroslav Askarov	https://www.hockey-reference.com/players/a/askarya01.html	G	Not Found	2023-2024
Zach Aston-Reese	https://www.hockey-reference.com/players/a/astonza01.html	C	Left	2018-2024
Andreas Athanasiou	https://www.hockey-reference.com/players/a/athanan01.html	C	Left	2016-2024
Cam Atkinson	https://www.hockey-reference.com/players/a/atkinca01.html	RW	Right	2012-2024
Ronald Attard	https://www.hockey-reference.com/players/a/attarro01.html	D	Right	2022-2024
Nicolas AubÃ©-Kubel	https://www.hockey-reference.com/players/a/aubekni01.html	RW	Right	2019-2024
Mikael Backlund	https://www.hockey-reference.com/players/b/backlmi01.html	C	Left	2009-2024
Nicklas BÃ¤ckstrÃ¶m	https://www.hockey-reference.com/players/b/backsni02.html	C	Left	2008-2024
Kevin Bahl	https://www.hockey-reference.com/players/b/bahlke01.html	D	Left	2021-2024
Justin Bailey	https://www.hockey-reference.com/players/b/baileju01.html	RW	Right	2016-2024
