,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-01-03,21-258,TBL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:03,4,0,0,
1,2017-01-05,21-260,TBL,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,14:59,6,0,0,
2,2017-01-07,21-262,TBL,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,8:36,3,0,1,0.0
3,2017-01-08,21-263,TBL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:19,2,0,0,
4,2017-02-27,21-313,TBL,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,13:33,1,0,0,
5,2017-03-01,21-315,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:12,4,0,0,
6,2017-03-03,21-317,TBL,PIT,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,13:35,1,0,0,
7,2017-03-04,21-318,TBL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:32,1,0,0,
8,2017-03-06,21-320,TBL,NYR,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,6,0.0,20,11:32,2,0,1,0.0
9,2017-03-09,21-323,TBL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,14:20,4,0,0,
10,2017-03-11,21-325,TBL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:01,0,,,
11,2017-03-13,21-327,TBL,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:22,1,0,0,
12,2017-03-14,21-328,TBL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,8:30,7,0,0,
13,2017-03-16,21-330,TBL,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:46,2,0,0,
14,2017-03-18,21-332,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:19,4,0,0,
15,2017-03-21,21-335,TBL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:50,3,0,0,
16,2017-03-23,21-337,TBL,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,9:45,5,0,0,
17,2017-03-24,21-338,TBL,DET,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,15,8:15,3,0,0,
18,2017-03-27,21-341,TBL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:19,1,0,0,
19,2017-03-30,21-344,TBL,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:12,1,0,0,
20,2017-04-01,21-346,TBL,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:44,2,0,0,
21,2017-04-02,21-347,TBL,DAL,W,2,0,2,2,0,2,0,0,0,0,0,0,5,40.0,20,13:36,2,0,0,
22,2017-04-04,21-349,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,9:04,2,0,0,
23,2017-04-06,21-351,TBL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,11:54,2,0,0,
24,2017-04-07,21-352,TBL,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,9:40,4,0,0,
25,2017-04-09,21-354,TBL,BUF,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,13:01,4,0,0,
26,2018-02-08,22-294,TBL,VAN,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,16,11:11,0,1,0,100.0
