,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-29,21-177,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:39,1,1,3,25.0
1,2018-03-31,21-179,VAN,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:08,0,1,5,16.7
2,2018-04-03,21-182,VAN,VEG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:32,0,2,1,66.7
3,2018-04-05,21-184,VAN,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,13:04,1,1,0,100.0
4,2018-04-07,21-186,VAN,EDM,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,12:33,0,1,1,50.0
5,2018-10-16,22-013,VAN,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:22,2,4,2,66.7
6,2018-10-18,22-015,VAN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:06,0,3,8,27.3
7,2018-10-20,22-017,VAN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:18,0,1,1,50.0
8,2018-10-22,22-019,VAN,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,11:49,0,4,4,50.0
9,2018-10-24,22-021,VAN,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:13,2,1,4,20.0
10,2018-10-25,22-022,VAN,ARI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,23,10:53,1,8,6,57.1
11,2018-10-29,22-026,VAN,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:15,1,2,6,25.0
12,2018-10-31,22-028,VAN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:48,0,6,3,66.7
13,2018-11-02,22-030,VAN,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,8:29,0,2,1,66.7
14,2018-11-06,22-034,VAN,DET,L-SO,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,17,12:32,4,3,3,50.0
15,2018-11-08,22-036,VAN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,14:59,1,6,5,54.5
16,2018-11-10,22-038,VAN,BUF,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:27,0,1,3,25.0
17,2018-11-12,22-040,VAN,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,11:35,2,1,3,25.0
18,2018-11-13,22-041,VAN,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:08,2,4,5,44.4
19,2018-11-15,22-043,VAN,MIN,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,21,16:05,1,2,6,25.0
20,2018-11-17,22-045,VAN,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:09,0,4,4,50.0
21,2018-11-19,22-047,VAN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:53,1,3,7,30.0
22,2018-11-21,22-049,VAN,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:04,2,2,2,50.0
23,2018-11-23,22-051,VAN,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:57,0,2,2,50.0
24,2018-11-24,22-052,VAN,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,11,9:15,0,3,1,75.0
25,2018-11-27,22-055,VAN,LAK,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,8,3:52,1,0,1,0.0
26,2018-11-29,22-057,VAN,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,7:50,2,3,2,60.0
27,2018-12-01,22-059,VAN,DAL,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,10,5:55,1,2,2,50.0
28,2018-12-04,22-062,VAN,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:36,0,3,4,42.9
29,2018-12-06,22-064,VAN,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:29,1,1,3,25.0
30,2018-12-15,22-073,VAN,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,11:05,3,6,6,50.0
31,2018-12-16,22-074,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:01,0,1,3,25.0
