,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,21-194,WPG,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,12:08,1,0,0,
1,2014-10-11,21-196,WPG,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:01,1,1,4,20.0
2,2014-10-12,21-197,WPG,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:09,5,1,1,50.0
3,2014-10-17,21-202,WPG,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,10:22,5,1,0,100.0
4,2014-10-19,21-204,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,11:57,2,7,5,58.3
5,2014-10-21,21-206,WPG,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,17,11:41,5,4,4,50.0
6,2014-10-24,21-209,WPG,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,10:32,1,3,9,25.0
7,2014-10-26,21-211,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:16,3,6,5,54.5
8,2014-10-28,21-213,WPG,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:45,0,3,6,33.3
9,2014-10-30,21-215,WPG,NJD,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:26,2,4,9,30.8
10,2014-11-01,21-217,WPG,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:27,2,9,3,75.0
11,2014-11-02,21-218,WPG,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,19,13:40,4,3,7,30.0
12,2014-11-04,21-220,WPG,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,14:31,2,4,8,33.3
13,2014-11-06,21-222,WPG,PIT,L-SO,0,0,0,0,5,0,0,0,0,0,0,0,0,,15,10:33,4,3,5,37.5
14,2014-11-08,21-224,WPG,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:56,4,2,2,50.0
15,2014-11-11,21-227,WPG,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,13:32,1,8,8,50.0
16,2014-11-13,21-229,WPG,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:34,1,7,4,63.6
17,2014-11-15,21-231,WPG,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,16:25,2,1,8,11.1
18,2014-11-16,21-232,WPG,MIN,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,0,,16,10:23,2,3,5,37.5
19,2014-11-18,21-234,WPG,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,18,12:57,5,2,0,100.0
20,2014-11-20,21-236,WPG,DET,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,13:52,2,0,4,0.0
21,2014-11-23,21-239,WPG,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,14:53,4,1,2,33.3
22,2014-11-25,21-241,WPG,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:32,1,3,2,60.0
23,2014-11-26,21-242,WPG,BUF,W,0,0,0,0,15,0,0,0,0,0,0,0,3,0.0,11,8:03,1,2,1,66.7
24,2014-12-03,21-249,WPG,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:50,4,0,0,
25,2014-12-05,21-251,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:54,3,0,0,
26,2014-12-07,21-253,WPG,ANA,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,11:35,5,0,0,
27,2014-12-09,21-255,WPG,DAL,W,2,0,2,2,0,2,0,0,1,0,0,0,3,66.7,21,12:11,4,7,3,70.0
28,2014-12-11,21-257,WPG,COL,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,23,15:46,4,1,4,20.0
