,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-05-16,22-005,CGY,VAN,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,16,9:46,1,6,4,60.0
1,2021-05-18,22-007,CGY,VAN,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:14,0,4,5,44.4
2,2021-05-19,22-008,CGY,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:15,0,4,6,40.0
3,2021-12-05,22-208,CGY,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:54,2,5,2,71.4
4,2021-12-07,22-210,CGY,SJS,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,14,9:08,1,3,4,42.9
5,2021-12-09,22-212,CGY,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:09,2,1,3,25.0
6,2021-12-11,22-214,CGY,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:04,0,5,4,55.6
7,2022-01-07,22-241,CGY,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:53,0,1,4,20.0
8,2022-01-24,22-258,CGY,STL,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,17,9:41,0,6,5,54.5
9,2022-01-26,22-260,CGY,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,9:11,0,4,5,44.4
10,2022-01-27,22-261,CGY,STL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,15,9:45,0,2,6,25.0
11,2022-01-29,22-263,CGY,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:09,0,4,3,57.1
12,2022-02-01,22-266,CGY,DAL,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,18,11:34,1,2,5,28.6
13,2022-02-02,22-267,CGY,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:10,3,6,4,60.0
14,2022-02-09,22-274,CGY,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:42,0,6,7,46.2
15,2022-02-10,22-275,CGY,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:16,0,3,5,37.5
16,2022-02-12,22-277,CGY,NYI,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100.0,18,12:29,1,7,4,63.6
17,2022-02-15,22-280,CGY,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,10:05,1,1,3,25.0
18,2022-02-16,22-281,CGY,ANA,W,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,16,10:09,0,6,2,75.0
19,2022-02-19,22-284,CGY,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:52,1,2,4,33.3
20,2022-02-21,22-286,CGY,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:04,1,3,5,37.5
21,2022-02-24,22-289,CGY,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:03,1,5,4,55.6
22,2022-03-07,22-300,CGY,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,8:07,0,3,5,37.5
23,2022-03-08,22-301,CGY,WSH,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,22,14:26,2,8,7,53.3
24,2022-03-10,22-303,CGY,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,12:05,0,1,6,14.3
25,2022-03-12,22-305,CGY,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:48,3,7,2,77.8
26,2022-04-04,22-328,CGY,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,8:24,2,3,4,42.9
27,2022-04-06,22-330,CGY,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,15,11:00,0,1,5,16.7
28,2022-04-16,22-340,CGY,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,12:03,0,1,5,16.7
29,2022-04-18,22-342,CGY,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,9:49,1,2,3,40.0
30,2022-04-29,22-353,CGY,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:16,2,5,4,55.6
31,2022-11-01,23-174,CGY,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,5:33,1,3,2,60.0
32,2022-11-08,23-181,CGY,NJD,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,24,15:43,2,0,0,
33,2022-11-10,23-183,CGY,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,21,17:08,0,0,1,0.0
34,2022-11-12,23-185,CGY,WPG,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,22,13:16,0,2,0,100.0
35,2022-11-14,23-187,CGY,LAK,W,1,1,2,1,0,1,0,0,1,1,0,0,1,100.0,20,15:05,0,0,1,0.0
36,2022-11-17,23-190,CGY,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:08,3,1,2,33.3
37,2022-11-19,23-192,CGY,FLA,W,2,1,3,0,0,1,1,0,0,1,0,0,2,100.0,24,16:28,1,0,0,
38,2022-11-21,23-194,CGY,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:38,1,0,1,0.0
39,2022-11-23,23-196,CGY,PIT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:22,4,0,2,0.0
40,2022-11-25,23-198,CGY,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:22,0,2,4,33.3
41,2022-11-26,23-199,CGY,CAR,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,20,16:12,0,0,0,
42,2022-11-29,23-202,CGY,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:28,0,0,0,
43,2022-12-01,23-204,CGY,MTL,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,19,15:03,1,1,3,25.0
44,2022-12-03,23-206,CGY,WSH,W,1,2,3,3,0,1,0,0,1,2,0,0,1,100.0,19,12:32,1,0,1,0.0
45,2022-12-05,23-208,CGY,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:34,3,3,1,75.0
46,2022-12-07,23-210,CGY,MIN,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,20,13:59,1,1,0,100.0
47,2022-12-09,23-212,CGY,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,13:07,0,0,0,
48,2022-12-10,23-213,CGY,TOR,L-OT,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,14,10:12,0,0,1,0.0
49,2022-12-12,23-215,CGY,MTL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:25,0,3,2,60.0
50,2022-12-14,23-217,CGY,VAN,L-SO,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,21,14:43,0,1,2,33.3
51,2022-12-16,23-219,CGY,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:57,0,1,1,50.0
52,2022-12-18,23-221,CGY,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,8:57,0,2,3,40.0
53,2022-12-20,23-223,CGY,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,10:23,0,3,3,50.0
54,2022-12-22,23-225,CGY,LAK,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,13,8:35,0,3,2,60.0
55,2022-12-23,23-226,CGY,ANA,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,17,11:09,0,4,4,50.0
56,2022-12-27,23-230,CGY,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:13,0,4,5,44.4
57,2022-12-28,23-231,CGY,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:43,1,5,5,50.0
58,2022-12-31,23-234,CGY,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:43,0,5,6,45.5
59,2023-01-03,23-237,CGY,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,9:47,0,0,0,
60,2023-01-06,23-240,CGY,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:55,1,0,0,
61,2023-01-08,23-242,CGY,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:52,0,1,0,100.0
62,2023-01-10,23-244,CGY,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,11:52,1,8,3,72.7
63,2023-01-12,23-246,CGY,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:36,1,2,2,50.0
64,2023-01-14,23-248,CGY,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,10:30,0,3,2,60.0
65,2023-01-16,23-250,CGY,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:50,1,3,3,50.0
66,2023-01-18,23-252,CGY,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,9:07,0,2,2,50.0
67,2023-01-27,23-261,CGY,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:39,0,1,3,25.0
68,2023-02-06,23-271,CGY,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:45,1,2,6,25.0
69,2023-02-09,23-274,CGY,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,8:05,0,1,2,33.3
70,2023-02-18,23-283,CGY,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:27,0,2,2,50.0
71,2023-02-20,23-285,CGY,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,6:21,1,3,6,33.3
72,2023-03-16,23-309,CGY,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:45,2,3,2,60.0
73,2023-03-18,23-311,CGY,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:40,1,3,3,50.0
74,2023-03-20,23-313,CGY,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,9:31,0,5,3,62.5
75,2023-10-11,24-153,CGY,WPG,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,18,10:52,0,5,4,55.6
76,2023-10-14,24-156,CGY,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,12:42,1,2,1,66.7
77,2023-10-16,24-158,CGY,WSH,L-SO,1,1,2,-1,0,1,0,0,0,0,1,0,1,100.0,21,15:07,0,2,0,100.0
78,2023-10-19,24-161,CGY,BUF,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,19,15:21,0,0,0,
79,2023-10-20,24-162,CGY,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:12,0,0,0,
80,2023-10-22,24-164,CGY,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:48,0,0,0,
81,2023-10-24,24-166,CGY,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:16,0,0,0,
82,2023-11-07,24-180,CGY,NSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,18,11:33,0,2,0,100.0
83,2023-11-10,24-183,CGY,TOR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,10:23,0,2,4,33.3
84,2023-11-11,24-184,CGY,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:51,1,2,4,33.3
85,2023-11-14,24-187,CGY,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:08,0,2,0,100.0
86,2023-11-16,24-189,CGY,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,13,10:14,0,3,3,50.0
87,2023-11-18,24-191,CGY,NYI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,7:33,0,1,1,50.0
88,2023-11-22,24-195,CGY,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:34,0,2,4,33.3
