,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-04-02,23-358,VAN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:01,1,0,0,
1,2023-04-04,23-360,VAN,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:27,1,0,0,
2,2023-04-06,23-362,VAN,CHI,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,24,20:30,1,0,0,
3,2023-04-08,23-364,VAN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,19:44,0,0,0,
4,2023-04-10,24-001,VAN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:49,1,0,0,
5,2023-04-11,24-002,VAN,ANA,W,0,1,1,0,4,0,0,0,0,0,1,0,1,0.0,24,16:42,1,0,0,
6,2023-04-13,24-004,VAN,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,19:02,1,0,0,
7,2023-10-11,24-185,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,15:21,1,0,0,
8,2023-10-14,24-188,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:52,2,0,0,
9,2023-11-18,24-223,VAN,SEA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,11:06,0,0,0,
