,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-02-22,23-277,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:11,0,1,1,50.0
1,2021-03-09,23-292,TBL,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:43,1,0,1,0.0
2,2021-04-15,23-329,TBL,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,16:05,0,0,0,
3,2021-04-17,23-331,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,16:20,1,0,0,
4,2021-04-19,23-333,TBL,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:55,0,0,0,
5,2021-04-20,23-334,TBL,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,16:45,1,0,0,
6,2021-04-22,23-336,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,19:06,0,0,0,
7,2021-04-25,23-339,TBL,CBJ,W,1,0,1,1,0,0,1,0,0,0,0,0,6,16.7,20,17:51,2,0,0,
8,2021-04-27,23-341,TBL,CHI,W,1,0,1,2,0,1,0,0,0,0,0,0,6,16.7,22,17:20,0,0,0,
9,2021-04-29,23-343,TBL,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,16:35,0,0,0,
10,2021-05-01,23-345,TBL,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:45,1,0,0,
11,2021-05-02,23-346,TBL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,14:03,1,0,0,
12,2021-05-05,23-349,TBL,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:44,0,0,0,
13,2021-05-07,23-351,TBL,DAL,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,19,16:07,0,0,1,0.0
14,2021-05-10,23-354,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:17,1,0,0,
15,2021-10-14,24-146,SEA,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,9:05,0,0,0,
16,2021-10-16,24-148,SEA,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:12,0,0,0,
17,2021-10-25,24-157,TBL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:34,1,0,2,0.0
18,2021-10-26,24-158,TBL,PIT,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,15,9:52,1,0,0,
19,2021-10-28,24-160,TBL,ARI,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,17,11:41,0,0,1,0.0
20,2021-11-01,24-164,TBL,WSH,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,13,10:40,1,1,0,100.0
21,2021-11-04,24-167,TBL,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:56,2,0,2,0.0
22,2021-11-06,24-169,TBL,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:52,0,1,2,33.3
23,2021-11-09,24-172,TBL,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:23,0,0,1,0.0
24,2021-11-21,24-184,TBL,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,12:16,1,2,0,100.0
25,2021-11-23,24-186,TBL,PHI,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,17,10:49,1,0,0,
26,2021-11-26,24-189,TBL,SEA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,13:38,1,0,0,
27,2021-11-28,24-191,TBL,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:46,1,2,0,100.0
28,2021-11-30,24-193,TBL,STL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,9:48,0,0,0,
29,2021-12-02,24-195,TBL,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,14,9:58,0,0,1,0.0
30,2021-12-04,24-197,TBL,BOS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,13,9:32,1,0,0,
31,2022-11-25,25-188,TBL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:01,0,0,1,0.0
32,2023-10-15,26-147,TBL,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,10:49,0,1,0,100.0
33,2023-10-17,26-149,TBL,BUF,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,16:57,0,2,2,50.0
34,2023-10-19,26-151,TBL,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:19,0,1,2,33.3
35,2023-10-21,26-153,TBL,TOR,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,21,15:08,1,0,0,
36,2023-10-24,26-156,TBL,CAR,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,17,11:11,0,0,0,
37,2023-10-26,26-158,TBL,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,14,11:55,0,0,0,
38,2023-10-30,26-162,TBL,SEA,L-OT,1,1,2,0,0,0,1,0,0,1,0,0,5,20.0,18,15:24,1,1,0,100.0
39,2023-11-02,26-165,TBL,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:19,0,1,1,50.0
40,2023-11-04,26-167,TBL,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,18,11:02,1,3,0,100.0
41,2023-11-06,26-169,TBL,TOR,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,15,8:22,0,0,0,
42,2023-11-07,26-170,TBL,MTL,W,1,0,1,-1,2,0,1,0,0,0,0,0,2,50.0,17,11:32,0,0,0,
43,2023-11-09,26-172,TBL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,9:56,0,0,0,
44,2023-11-11,26-174,TBL,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:56,0,1,1,50.0
45,2023-11-14,26-177,TBL,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,12,9:57,0,0,0,
46,2023-11-18,26-181,TBL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:57,0,0,0,
47,2023-11-28,26-191,TBL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,17,13:26,1,0,1,0.0
48,2023-11-30,26-193,TBL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:02,3,0,0,
49,2023-12-02,26-195,TBL,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,18,12:48,3,0,0,
50,2023-12-04,26-197,TBL,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,11:55,2,0,0,
51,2023-12-06,26-199,TBL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:22,1,0,0,
52,2023-12-07,26-200,TBL,NSH,L,1,0,1,-1,2,1,0,0,0,0,0,0,3,33.3,19,12:40,0,0,0,
53,2023-12-09,26-202,TBL,SEA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,15:14,1,0,0,
54,2023-12-12,26-205,TBL,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:59,1,2,3,40.0
55,2023-12-14,26-207,TBL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:39,2,0,0,
56,2023-12-19,26-212,TBL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:12,0,1,0,100.0
57,2023-12-21,26-214,TBL,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,10,7:51,1,0,0,
58,2023-12-23,26-216,TBL,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,7:57,0,0,0,
59,2023-12-30,26-223,TBL,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:12,0,1,0,100.0
60,2023-12-31,26-224,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:47,1,0,0,
61,2024-01-02,26-226,TBL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:31,1,0,0,
62,2024-01-09,26-233,TBL,LAK,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,8:25,0,0,1,0.0
63,2024-01-23,26-247,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:57,0,0,0,
64,2024-02-07,26-262,TBL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:07,1,0,1,0.0
65,2024-02-10,26-265,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:50,1,0,1,0.0
66,2024-02-15,26-270,TBL,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,5:28,0,0,0,
67,2024-02-19,26-274,TBL,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:42,4,0,1,0.0
