,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-05,19-291,CHI,PIT,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,22,17:38,4,0,0,
1,2017-10-07,19-293,CHI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,18:22,1,0,1,0.0
2,2017-10-09,19-295,CHI,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:59,1,0,0,
3,2017-10-10,19-296,CHI,MTL,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,17,12:15,0,1,0,100.0
4,2017-10-12,19-298,CHI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,13:16,0,0,0,
5,2017-10-14,19-300,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,16:01,0,0,1,0.0
6,2017-10-18,19-304,CHI,STL,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,19,13:43,0,0,0,
7,2017-10-19,19-305,CHI,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,16:26,0,0,0,
8,2017-10-21,19-307,CHI,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:47,2,0,0,
9,2017-10-24,19-310,CHI,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:30,1,0,0,
10,2017-10-27,19-313,CHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:35,0,0,0,
11,2017-10-28,19-314,CHI,COL,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,16,12:12,2,1,0,100.0
12,2017-11-01,19-318,CHI,PHI,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,21,15:21,0,1,2,33.3
13,2017-11-04,19-321,CHI,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,13:23,0,0,1,0.0
14,2017-11-05,19-322,CHI,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,13:14,1,1,2,33.3
15,2017-11-09,19-326,CHI,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,12:28,0,1,0,100.0
16,2017-11-11,19-328,CHI,CAR,W,2,1,3,2,0,2,0,0,0,1,0,0,2,100.0,20,14:25,0,0,0,
17,2017-11-12,19-329,CHI,NJD,L,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,21,15:35,0,0,1,0.0
18,2017-11-15,19-332,CHI,NYR,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,20,15:45,1,0,0,
19,2017-11-18,19-335,CHI,PIT,W,0,1,1,-1,0,0,0,0,0,0,1,0,0,,20,13:26,0,0,0,
20,2017-11-22,19-339,CHI,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:13,0,1,0,100.0
21,2017-11-25,19-342,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:17,0,0,0,
22,2017-11-27,19-344,CHI,ANA,W,3,1,4,3,0,2,1,0,0,1,0,0,5,60.0,22,15:01,0,0,0,
23,2017-11-28,19-345,CHI,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,18,15:18,2,0,0,
24,2017-11-30,19-347,CHI,DAL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,15:48,0,0,2,0.0
25,2017-12-02,19-349,CHI,DAL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,16:44,1,0,0,
26,2017-12-03,19-350,CHI,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:41,1,0,0,
27,2017-12-06,19-353,CHI,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,16:56,1,0,0,
28,2017-12-08,19-355,CHI,BUF,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,22,16:50,1,0,0,
29,2017-12-10,19-357,CHI,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,16:55,0,3,1,75.0
30,2017-12-12,19-359,CHI,FLA,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,22,17:55,1,0,1,0.0
31,2017-12-14,19-361,CHI,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,17:18,0,0,0,
32,2017-12-17,19-364,CHI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:28,0,0,0,
33,2017-12-21,20-003,CHI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:33,0,0,1,0.0
34,2017-12-23,20-005,CHI,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,13:53,0,1,0,100.0
35,2017-12-28,20-010,CHI,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,18:55,0,0,0,
36,2017-12-29,20-011,CHI,EDM,W,1,0,1,-1,0,0,1,0,0,0,0,0,5,20.0,17,14:48,0,0,0,
37,2017-12-31,20-013,CHI,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:41,0,0,0,
38,2018-01-03,20-016,CHI,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,11:26,0,0,0,
39,2018-01-05,20-018,CHI,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,21:27,1,0,0,
40,2018-01-07,20-020,CHI,EDM,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,20,12:49,0,0,0,
41,2018-01-09,20-022,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:41,0,0,0,
42,2018-01-10,20-023,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:16,0,0,0,
43,2018-01-12,20-025,CHI,WPG,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,17,11:52,0,1,0,100.0
44,2018-01-14,20-027,CHI,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:55,0,0,0,
45,2018-01-20,20-033,CHI,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,15,11:04,1,0,0,
46,2018-01-22,20-035,CHI,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,14,10:53,2,0,0,
47,2018-01-24,20-037,CHI,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,20,15:00,1,0,0,
48,2018-01-25,20-038,CHI,DET,W,3,1,4,4,0,3,0,0,0,1,0,0,4,75.0,20,16:23,0,0,2,0.0
49,2018-01-30,20-043,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,17:39,0,0,1,0.0
50,2018-02-01,20-045,CHI,VAN,L,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,24,18:46,0,0,0,
51,2018-02-03,20-047,CHI,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:33,2,0,0,
52,2018-02-06,20-050,CHI,CGY,L,1,0,1,-2,0,0,1,0,0,0,0,0,6,16.7,25,17:25,0,0,1,0.0
53,2018-02-08,20-052,CHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:24,0,0,1,0.0
54,2018-02-10,20-054,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:18,0,0,1,0.0
55,2018-02-12,20-056,CHI,ARI,L,1,0,1,-1,0,0,1,0,0,0,0,0,7,14.3,22,14:36,1,0,0,
56,2018-02-13,20-057,CHI,VEG,L,1,1,2,0,0,1,0,0,0,0,1,0,2,50.0,18,15:41,0,1,0,100.0
57,2018-02-15,20-059,CHI,ANA,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,22,15:39,1,0,0,
58,2018-02-17,20-061,CHI,WSH,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,18,13:48,1,0,1,0.0
59,2018-02-19,20-063,CHI,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,13:56,1,0,0,
60,2018-02-21,20-065,CHI,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:42,0,0,0,
61,2018-02-23,20-067,CHI,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,11:42,0,3,1,75.0
62,2018-02-24,20-068,CHI,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,19:11,0,1,1,50.0
63,2018-03-01,20-073,CHI,SJS,L,0,1,1,-3,0,0,0,0,0,1,0,0,4,0.0,18,13:42,0,0,0,
64,2018-03-03,20-075,CHI,LAK,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,20,12:45,0,1,0,100.0
65,2018-03-04,20-076,CHI,ANA,L,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,19,16:11,1,2,0,100.0
66,2018-03-06,20-078,CHI,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,16:08,0,0,1,0.0
67,2018-03-08,20-080,CHI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,16:35,1,0,0,
68,2018-03-10,20-082,CHI,BOS,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,21,16:09,2,0,0,
69,2018-03-11,20-083,CHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:29,0,0,0,
70,2018-03-15,20-087,CHI,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:13,1,0,0,
71,2018-03-17,20-089,CHI,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,12:54,0,1,0,100.0
72,2018-03-18,20-090,CHI,STL,L-OT,3,0,3,1,0,2,1,0,0,0,0,0,3,100.0,21,14:46,1,1,1,50.0
73,2018-03-20,20-092,CHI,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,19,14:02,0,2,0,100.0
74,2018-03-22,20-094,CHI,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,15:35,1,0,2,0.0
75,2018-03-24,20-096,CHI,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,16:52,1,1,0,100.0
76,2018-03-26,20-098,CHI,SJS,L-SO,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,20,14:49,0,0,0,
77,2018-03-29,20-101,CHI,WPG,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,18,15:09,0,0,0,
78,2018-03-30,20-102,CHI,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:44,1,0,2,0.0
79,2018-04-04,20-107,CHI,STL,W,1,1,2,1,0,1,0,0,0,0,1,0,1,100.0,19,13:57,0,0,2,0.0
80,2018-04-06,20-109,CHI,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:51,0,1,1,50.0
81,2018-04-07,20-110,CHI,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,14:14,0,0,3,0.0
82,2018-10-04,20-290,CHI,OTT,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,25,18:17,0,0,0,
83,2018-10-06,20-292,CHI,STL,W,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,22,17:13,0,0,0,
84,2018-10-07,20-293,CHI,TOR,L-OT,1,0,1,-2,0,1,0,0,0,0,0,0,1,100.0,22,18:14,0,0,2,0.0
85,2018-10-11,20-297,CHI,MIN,L-OT,2,1,3,1,0,1,1,0,0,1,0,0,4,50.0,26,19:03,0,0,0,
86,2018-10-13,20-299,CHI,STL,W,2,0,2,1,2,2,0,0,1,0,0,0,6,33.3,22,20:05,1,0,1,0.0
