,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-05,23-055,COL,NYR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,16,12:06,0,1,1,50.0
1,2017-10-07,23-057,COL,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:11,0,0,0,
2,2017-10-09,23-059,COL,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:45,0,0,2,0.0
3,2017-10-11,23-061,COL,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,13:56,0,0,2,0.0
4,2017-10-13,23-063,COL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:14,0,1,1,50.0
5,2017-10-14,23-064,COL,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,12:46,0,0,0,
6,2017-10-17,23-067,COL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:54,0,0,2,0.0
7,2017-10-19,23-069,COL,STL,L,2,1,3,2,0,1,1,0,0,1,0,0,6,33.3,19,14:41,0,3,0,100.0
8,2017-10-24,23-074,COL,DAL,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,21,14:04,0,6,3,66.7
9,2017-10-27,23-077,COL,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,10:32,0,2,4,33.3
10,2017-10-28,23-078,COL,CHI,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,17,11:50,0,4,3,57.1
11,2017-11-02,23-083,COL,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:10,1,2,4,33.3
12,2017-11-04,23-085,COL,PHI,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,14,9:14,0,1,2,33.3
13,2017-11-05,23-086,COL,NYI,L,2,0,2,0,2,2,0,0,0,0,0,0,3,66.7,30,20:49,0,6,14,30.0
14,2017-11-10,23-091,COL,OTT,L-OT,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,20,14:56,1,1,5,16.7
15,2017-11-11,23-092,COL,OTT,L,1,1,2,1,2,0,1,0,0,1,0,0,1,100.0,22,14:59,1,6,7,46.2
16,2017-11-16,23-097,COL,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:46,0,4,6,40.0
17,2017-11-18,23-099,COL,NSH,L,0,2,2,1,4,0,0,0,0,2,0,0,0,,22,16:18,0,0,7,0.0
18,2017-11-19,23-100,COL,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:32,1,1,3,25.0
19,2017-11-22,23-103,COL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:04,0,3,2,60.0
20,2017-11-24,23-105,COL,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:00,0,1,2,33.3
21,2017-11-25,23-106,COL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:35,0,1,5,16.7
22,2017-11-29,23-110,COL,WPG,W,1,1,2,0,0,0,1,0,0,0,1,0,1,100.0,21,19:14,1,2,4,33.3
23,2017-12-01,23-112,COL,NJD,L,0,1,1,0,0,0,0,0,0,0,1,0,0,,20,17:53,0,3,6,33.3
24,2017-12-03,23-114,COL,DAL,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,20,14:15,1,3,6,33.3
25,2017-12-05,23-116,COL,BUF,L,0,2,2,-3,0,0,0,0,0,0,2,0,2,0.0,19,18:47,0,2,3,40.0
26,2017-12-07,23-118,COL,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,15:29,0,3,4,42.9
27,2017-12-09,23-120,COL,FLA,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,11:38,1,3,3,50.0
28,2017-12-11,23-122,COL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:41,0,0,2,0.0
29,2017-12-18,23-129,COL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:47,0,5,4,55.6
30,2017-12-21,23-132,COL,LAK,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,11:05,1,3,2,60.0
31,2017-12-23,23-134,COL,ARI,W,0,2,2,-1,0,0,0,0,0,1,1,0,0,,17,16:24,3,1,4,20.0
32,2017-12-27,23-138,COL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,12:03,0,3,3,50.0
33,2017-12-29,23-140,COL,TOR,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,12:49,0,0,0,
34,2017-12-31,23-142,COL,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,13:43,1,4,6,40.0
35,2018-01-02,23-144,COL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:45,0,3,4,42.9
36,2018-01-04,23-146,COL,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:20,1,2,7,22.2
37,2018-01-06,23-148,COL,MIN,W,0,2,2,0,2,0,0,0,0,0,2,0,2,0.0,16,10:52,2,3,7,30.0
38,2018-01-13,23-155,COL,DAL,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,14,9:42,1,2,3,40.0
39,2018-01-15,23-157,COL,ANA,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,16,12:39,1,4,3,57.1
40,2018-01-18,23-160,COL,SJS,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,10:18,0,0,4,0.0
41,2018-01-20,23-162,COL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:13,0,2,2,50.0
42,2018-01-22,23-164,COL,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:57,2,3,3,50.0
43,2018-01-23,23-165,COL,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,14:50,2,3,1,75.0
44,2018-01-25,23-167,COL,STL,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,15:19,1,3,4,42.9
45,2018-01-30,23-172,COL,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:24,1,3,3,50.0
46,2018-02-01,23-174,COL,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:45,0,0,5,0.0
47,2018-02-03,23-176,COL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,17:12,0,5,6,45.5
48,2018-02-06,23-179,COL,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:38,0,2,5,28.6
49,2018-02-08,23-181,COL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:58,0,3,9,25.0
50,2018-02-10,23-183,COL,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,17:45,0,4,2,66.7
51,2018-02-11,23-184,COL,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,18,14:45,0,5,3,62.5
52,2018-02-14,23-187,COL,MTL,W,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,16,14:13,2,2,6,25.0
53,2018-02-16,23-189,COL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,16:43,1,2,8,20.0
54,2018-02-18,23-191,COL,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,14:53,0,3,2,60.0
55,2018-02-20,23-193,COL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:40,1,3,3,50.0
56,2018-02-22,23-195,COL,EDM,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,15:59,0,6,2,75.0
57,2018-02-24,23-197,COL,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:00,0,6,5,54.5
58,2018-02-26,23-199,COL,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:37,1,3,7,30.0
59,2018-02-28,23-201,COL,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,10:17,0,3,2,60.0
60,2018-03-02,23-203,COL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:40,1,3,4,42.9
61,2018-03-04,23-205,COL,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:16,1,0,3,0.0
62,2018-03-06,23-207,COL,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:23,2,4,3,57.1
