,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-11-08,21-094,DET,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,9:36,2,4,4,50.0
1,2015-11-10,21-096,DET,WSH,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,13,8:52,0,1,2,33.3
2,2015-11-13,21-099,DET,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,14,9:17,0,2,3,40.0
3,2015-11-14,21-100,DET,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:59,1,1,2,33.3
4,2015-11-16,21-102,DET,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:49,1,4,5,44.4
5,2015-11-18,21-104,DET,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:50,0,0,2,0.0
6,2016-02-06,21-184,DET,NYI,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,15,9:48,0,0,2,0.0
7,2016-02-08,21-186,DET,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:50,0,3,5,37.5
8,2016-02-10,21-188,DET,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,6:45,0,1,5,16.7
9,2016-02-12,21-190,DET,COL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:40,0,2,1,66.7
10,2016-02-14,21-192,DET,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:09,0,2,2,50.0
11,2016-02-15,21-193,DET,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:42,0,2,2,50.0
12,2016-02-18,21-196,DET,PIT,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,12:34,0,4,7,36.4
13,2016-02-20,21-198,DET,OTT,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,11,6:54,0,2,3,40.0
14,2016-02-21,21-199,DET,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:05,1,2,2,50.0
15,2016-02-23,21-201,DET,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,15:30,0,0,4,0.0
16,2016-02-27,21-205,DET,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:23,0,2,2,50.0
17,2016-02-29,21-207,DET,DAL,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,24,11:29,1,1,5,16.7
18,2016-03-02,21-209,DET,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,10:54,0,1,3,25.0
19,2016-03-06,21-213,DET,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,9:47,0,4,4,50.0
20,2016-03-08,21-215,DET,CBJ,L,1,0,1,1,5,1,0,0,0,0,0,0,2,50.0,16,11:03,0,1,0,100.0
21,2016-03-10,21-217,DET,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,8:51,0,0,0,
22,2016-03-12,21-219,DET,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:14,1,4,0,100.0
23,2016-03-13,21-220,DET,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,10:42,2,0,1,0.0
24,2016-03-15,21-222,DET,PHI,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,9:14,2,3,3,50.0
25,2016-03-17,21-224,DET,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:01,0,0,1,0.0
