,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-10-12,26-250,VAN,EDM,L,1,0,1,1,0,0,1,0,0,0,0,0,4,25.0,22,17:43,0,0,0,
1,2022-10-15,26-253,VAN,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,17,14:36,0,0,0,
2,2022-10-17,26-255,VAN,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,20,15:55,0,0,0,
3,2022-10-18,26-256,VAN,CBJ,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:26,0,0,0,
4,2022-10-20,26-258,VAN,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,15:23,0,0,0,
5,2022-10-22,26-260,VAN,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,19,18:30,0,0,0,
6,2022-10-24,26-262,VAN,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:54,0,0,0,
7,2022-10-27,26-265,VAN,SEA,W,1,1,2,2,0,0,1,0,0,1,0,0,2,50.0,18,16:23,0,0,0,
8,2022-10-28,26-266,VAN,PIT,W,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,19,13:04,0,0,0,
9,2022-11-01,26-270,VAN,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,23,20:42,0,0,0,
10,2022-11-03,26-272,VAN,ANA,W,3,1,4,3,0,2,1,0,1,1,0,0,3,100.0,21,16:38,0,0,0,
11,2022-11-05,26-274,VAN,NSH,L-SO,1,0,1,1,0,0,1,0,0,0,0,0,3,33.3,20,17:19,0,0,0,
12,2022-11-08,26-277,VAN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:30,0,0,0,
13,2022-11-09,26-278,VAN,MTL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,14:20,0,0,0,
14,2022-11-12,26-281,VAN,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:27,0,0,0,
15,2022-11-15,26-284,VAN,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:06,0,0,0,
16,2022-11-18,26-287,VAN,LAK,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,18,14:39,0,0,0,
17,2022-11-21,26-290,VAN,VEG,L,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,23,18:02,0,0,0,
18,2022-11-23,26-292,VAN,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,15:43,0,0,0,
19,2022-11-26,26-295,VAN,VEG,W,2,1,3,1,0,1,1,0,0,0,1,0,3,66.7,22,16:43,0,0,0,
20,2022-11-27,26-296,VAN,SJS,W,1,1,2,3,0,1,0,0,1,1,0,0,1,100.0,22,18:45,2,0,0,
21,2022-11-29,26-298,VAN,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,15:48,0,0,0,
22,2022-12-01,26-300,VAN,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,17:21,0,0,0,
23,2022-12-03,26-302,VAN,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,18:05,1,0,0,
24,2022-12-05,26-304,VAN,MTL,W,1,1,2,-1,0,0,1,0,0,1,0,0,1,100.0,19,13:23,0,0,0,
25,2022-12-07,26-306,VAN,SJS,W,1,1,2,1,0,0,1,0,0,1,0,0,1,100.0,20,16:54,1,0,0,
26,2022-12-10,26-309,VAN,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,16:13,0,0,0,
27,2022-12-14,26-313,VAN,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,15:07,1,0,0,
28,2022-12-17,26-316,VAN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:31,2,0,0,
29,2022-12-19,26-318,VAN,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,17:22,0,0,0,
30,2022-12-22,26-321,VAN,SEA,W,1,2,3,4,0,1,0,0,0,2,0,0,2,50.0,20,17:50,0,0,0,
31,2022-12-23,26-322,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:00,0,0,0,
32,2022-12-27,26-326,VAN,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,18,15:47,0,0,0,
33,2022-12-29,26-328,VAN,WPG,L,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,20,15:48,1,0,0,
34,2022-12-31,26-330,VAN,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:30,0,0,0,
35,2023-01-03,26-333,VAN,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,18:08,0,0,0,
36,2023-01-05,26-335,VAN,COL,W,2,0,2,1,2,1,1,0,0,0,0,0,4,50.0,22,17:02,0,0,0,
37,2023-01-08,26-338,VAN,WPG,L,0,1,1,-3,0,0,0,0,0,1,0,0,2,0.0,23,15:38,0,0,0,
38,2023-01-10,26-340,VAN,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:07,0,0,0,
39,2023-01-12,26-342,VAN,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,16:42,1,0,0,
40,2023-01-14,26-344,VAN,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,17:00,0,0,0,
41,2023-01-15,26-345,VAN,CAR,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,20,14:07,0,0,0,
42,2023-01-18,26-348,VAN,TBL,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,20,16:21,0,0,0,
43,2023-01-20,26-350,VAN,COL,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,17,18:45,1,0,0,
44,2023-01-21,26-351,VAN,EDM,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,19,16:57,0,0,0,
45,2023-01-24,26-354,VAN,CHI,W,2,0,2,1,0,2,0,0,0,0,0,0,5,40.0,18,15:03,0,0,0,
46,2023-01-25,26-355,VAN,SEA,L,0,0,0,-3,2,0,0,0,0,0,0,0,3,0.0,20,17:47,0,0,0,
47,2023-01-27,26-357,VAN,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:06,0,0,0,
48,2023-02-06,27-002,VAN,NJD,L-OT,1,0,1,-1,2,1,0,0,0,0,0,0,4,25.0,24,18:04,0,0,0,
49,2023-02-08,27-004,VAN,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:00,0,0,0,
50,2023-02-09,27-005,VAN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:17,0,0,0,
51,2023-02-11,27-007,VAN,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:35,0,0,0,
52,2023-02-13,27-009,VAN,DET,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,16:12,0,0,0,
53,2023-02-15,27-011,VAN,NYR,L,1,1,2,-1,0,1,0,0,0,1,0,0,3,33.3,23,18:16,0,0,0,
54,2023-02-18,27-014,VAN,PHI,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,21,18:58,0,0,0,
55,2023-02-21,27-017,VAN,NSH,L-SO,2,0,2,3,0,2,0,0,0,0,0,0,5,40.0,26,22:06,1,0,0,
56,2023-02-23,27-019,VAN,STL,W,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,23,21:25,0,0,0,
57,2023-02-25,27-021,VAN,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,19:39,0,0,0,
58,2023-02-27,27-023,VAN,DAL,W,1,2,3,2,0,1,0,0,1,2,0,0,2,50.0,27,19:01,0,0,0,
59,2023-03-02,27-026,VAN,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,19:00,0,0,0,
60,2023-03-04,27-028,VAN,TOR,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,17,14:15,0,0,0,
61,2023-03-06,27-030,VAN,NSH,W,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,22,17:45,0,0,0,
62,2023-03-08,27-032,VAN,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,15:11,0,0,0,
63,2023-03-11,27-035,VAN,OTT,W,2,0,2,0,0,1,1,0,0,0,0,0,3,66.7,19,17:30,0,0,0,
64,2023-03-14,27-038,VAN,DAL,W,1,0,1,1,0,0,1,0,0,0,0,0,2,50.0,19,18:00,0,0,0,
65,2023-03-16,27-040,VAN,ARI,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,18,20:14,1,0,0,
66,2023-03-18,27-042,VAN,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:55,1,0,0,
67,2023-03-19,27-043,VAN,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,13:12,0,0,0,
68,2023-03-21,27-045,VAN,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,11:34,0,0,0,
69,2023-03-23,27-047,VAN,SJS,W,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,21,17:16,0,0,0,
70,2023-03-25,27-049,VAN,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,14:26,0,0,0,
71,2023-03-26,27-050,VAN,CHI,W,0,2,2,0,0,0,0,0,0,1,1,0,1,0.0,18,13:30,0,0,0,
72,2023-03-28,27-052,VAN,STL,L-OT,2,0,2,2,0,1,1,0,0,0,0,0,3,66.7,24,18:43,0,0,0,
73,2023-03-31,27-055,VAN,CGY,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,24,16:17,0,0,0,
74,2023-04-02,27-057,VAN,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,20:37,0,0,0,
75,2023-04-04,27-059,VAN,SEA,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,20,18:35,0,0,0,
76,2023-04-06,27-061,VAN,CHI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,19,18:56,0,0,0,
77,2023-04-08,27-063,VAN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:31,0,0,0,
78,2023-04-10,27-065,VAN,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:07,0,0,1,0.0
79,2023-04-11,27-066,VAN,ANA,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,20,14:39,0,0,0,
80,2023-04-13,27-068,VAN,ARI,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,21,16:39,0,0,0,
81,2023-10-11,27-249,VAN,EDM,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,23,16:23,0,0,0,
82,2023-10-14,27-252,VAN,EDM,W,1,0,1,1,0,0,1,0,0,0,0,0,1,100.0,19,12:04,0,0,0,
83,2023-10-17,27-255,VAN,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,17:26,1,0,0,
84,2023-10-19,27-257,VAN,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,15:00,0,0,0,
85,2023-10-21,27-259,VAN,FLA,W,1,1,2,1,0,1,0,0,1,1,0,0,1,100.0,22,15:56,0,0,0,
86,2023-10-24,27-262,VAN,NSH,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,15:14,0,0,0,
87,2023-10-27,27-265,VAN,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,13:34,0,0,0,
88,2023-10-28,27-266,VAN,NYR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,16,19:54,0,0,0,
89,2023-10-31,27-269,VAN,NSH,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,17,13:38,1,0,0,
90,2023-11-02,27-271,VAN,SJS,W,1,1,2,2,0,1,0,0,0,0,1,0,3,33.3,16,13:48,0,0,0,
91,2023-11-04,27-273,VAN,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,16:31,1,0,0,
92,2023-11-06,27-275,VAN,EDM,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,15:05,0,0,0,
93,2023-11-09,27-278,VAN,OTT,W,0,2,2,0,0,0,0,0,0,2,0,0,0,,21,15:13,1,0,0,
94,2023-11-11,27-280,VAN,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,14:11,0,0,0,
95,2023-11-12,27-281,VAN,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,14:53,1,0,0,
96,2023-11-15,27-284,VAN,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,18,17:06,0,0,0,
97,2023-11-18,27-287,VAN,SEA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,16:47,0,0,0,
98,2023-11-20,27-289,VAN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:23,0,0,0,
99,2023-11-22,27-291,VAN,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,14:33,0,0,0,
100,2023-11-28,27-297,VAN,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:58,0,0,0,
101,2023-11-30,27-299,VAN,VEG,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,17:27,0,0,0,
102,2023-12-02,27-301,VAN,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,14:50,0,0,0,
103,2023-12-05,27-304,VAN,NJD,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,16,14:14,0,0,0,
104,2023-12-07,27-306,VAN,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:15,0,0,0,
105,2023-12-09,27-308,VAN,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:36,0,0,0,
106,2023-12-12,27-311,VAN,TBL,W,1,0,1,1,0,0,1,0,0,0,0,0,2,50.0,16,12:56,0,0,0,
107,2023-12-14,27-313,VAN,FLA,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,17,15:11,0,0,0,
108,2023-12-16,27-315,VAN,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,17:16,0,0,0,
109,2023-12-17,27-316,VAN,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:09,0,0,0,
110,2023-12-23,27-322,VAN,SJS,W,2,0,2,-2,0,1,1,0,0,0,0,0,3,66.7,18,15:29,0,0,0,
111,2023-12-28,27-327,VAN,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:58,1,0,0,
112,2024-01-02,27-332,VAN,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,11:48,0,0,0,
113,2024-01-06,27-336,VAN,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,19,14:44,0,0,0,
114,2024-01-08,27-338,VAN,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,12:54,1,0,0,
115,2024-01-09,27-339,VAN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:39,0,0,0,
116,2024-01-11,27-341,VAN,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,13:32,0,0,0,
117,2024-01-13,27-343,VAN,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:15,1,0,0,
118,2024-01-15,27-345,VAN,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:39,0,1,0,100.0
119,2024-01-18,27-348,VAN,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,11:02,0,0,0,
120,2024-01-20,27-350,VAN,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:42,0,0,0,
121,2024-01-22,27-352,VAN,CHI,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,12:56,1,0,0,
122,2024-01-24,27-354,VAN,STL,L-OT,0,0,0,-2,4,0,0,0,0,0,0,0,2,0.0,20,13:58,0,0,0,
123,2024-01-27,27-357,VAN,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:00,0,0,0,
124,2024-02-06,28-002,CGY,BOS,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,20,15:07,0,0,0,
125,2024-02-08,28-004,CGY,NJD,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,22,16:08,0,0,0,
126,2024-02-10,28-006,CGY,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:52,0,0,0,
127,2024-02-12,28-008,CGY,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:35,0,0,0,
128,2024-02-15,28-011,CGY,SJS,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,13:43,0,0,0,
129,2024-02-17,28-013,CGY,DET,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,18,16:10,0,0,0,
130,2024-02-19,28-015,CGY,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:49,0,0,0,
