,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-04,18-192,CAR,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,11:48,1,0,0,
1,2018-10-05,18-193,CAR,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,10:43,2,0,0,
2,2018-10-07,18-195,CAR,NYR,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,20,13:17,1,0,0,
3,2018-10-09,18-197,CAR,VAN,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,11:57,0,0,0,
4,2018-10-13,18-201,CAR,MIN,W,0,0,0,-1,6,0,0,0,0,0,0,0,2,0.0,21,14:27,1,0,0,
5,2018-10-14,18-202,CAR,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,19,12:38,0,0,0,
6,2018-10-16,18-204,CAR,TBL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,23,16:43,1,0,0,
7,2018-10-20,18-208,CAR,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,19,13:51,2,0,0,
8,2018-10-22,18-210,CAR,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,12:49,1,0,0,
9,2018-10-26,18-214,CAR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:12,0,0,0,
10,2018-10-28,18-216,CAR,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,15,10:48,2,0,0,
11,2018-10-30,18-218,CAR,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,13:00,2,0,0,
12,2018-11-02,18-221,CAR,ARI,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,16:36,0,0,0,
13,2018-11-03,18-222,CAR,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,16:18,2,0,0,
14,2018-11-06,18-225,CAR,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,15:48,2,0,0,
15,2018-11-08,18-227,CAR,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,11:56,3,0,0,
16,2018-11-10,18-229,CAR,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,21,16:19,2,0,0,
17,2018-11-12,18-231,CAR,CHI,W,0,2,2,-1,0,0,0,0,0,1,1,0,3,0.0,20,15:25,1,0,0,
18,2018-11-17,18-236,CAR,CBJ,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,20,13:03,0,0,0,
19,2018-11-18,18-237,CAR,NJD,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,15:20,1,0,0,
20,2018-11-21,18-240,CAR,TOR,W,1,0,1,2,0,1,0,0,0,0,0,0,8,12.5,24,15:17,1,0,0,
21,2018-11-23,18-242,CAR,FLA,W,0,2,2,3,0,0,0,0,0,2,0,0,2,0.0,21,17:16,1,0,0,
22,2018-11-24,18-243,CAR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:10,2,0,0,
23,2018-11-27,18-246,CAR,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:59,0,0,0,
24,2018-11-30,18-249,CAR,ANA,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,25,16:39,1,0,0,
25,2018-12-02,18-251,CAR,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:58,0,0,0,
26,2018-12-05,18-254,CAR,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,15:20,0,0,0,
27,2018-12-07,18-256,CAR,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,24,15:29,3,0,0,
28,2018-12-11,18-260,CAR,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,19:24,2,0,1,0.0
29,2018-12-13,18-262,CAR,MTL,L,2,0,2,-1,2,2,0,0,0,0,0,0,7,28.6,23,16:46,1,0,0,
30,2018-12-14,18-263,CAR,WSH,L-SO,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,25,22:33,3,0,0,
31,2018-12-16,18-265,CAR,ARI,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,20,13:58,1,0,3,0.0
32,2018-12-20,18-269,CAR,DET,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,23,16:57,1,0,1,0.0
