,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-12-05,21-263,CBJ,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:53,3,0,0,
1,2019-12-07,21-265,CBJ,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:44,1,0,0,
2,2019-12-09,21-267,CBJ,WSH,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,15,11:41,2,0,0,
3,2019-12-12,21-270,CBJ,PIT,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,15:36,4,0,0,
4,2019-12-14,21-272,CBJ,OTT,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,0,,23,18:49,2,0,0,
5,2019-12-16,21-274,CBJ,WSH,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,12,10:12,0,0,0,
6,2019-12-17,21-275,CBJ,DET,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,8,6:12,0,0,0,
7,2020-02-08,21-328,CBJ,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:14,1,0,0,
8,2020-02-10,21-330,CBJ,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:55,0,0,0,
9,2020-02-13,21-333,CBJ,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,16:02,3,0,0,
10,2020-02-14,21-334,CBJ,NYR,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,16:02,0,0,0,
11,2020-02-16,21-336,CBJ,NJD,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,14:01,1,0,0,
12,2020-02-18,21-338,CBJ,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,14:20,0,0,0,
13,2020-02-20,21-340,CBJ,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:41,0,0,0,
14,2020-02-22,21-342,CBJ,NSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:41,1,0,0,
15,2020-02-24,21-344,CBJ,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,15:24,0,0,0,
16,2020-02-25,21-345,CBJ,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:57,0,0,0,
17,2020-02-28,21-348,CBJ,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,15:08,2,0,0,
18,2020-03-01,21-350,CBJ,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,12:53,1,0,0,
19,2020-03-04,21-353,CBJ,CGY,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,15:05,1,0,0,
20,2020-03-07,21-356,CBJ,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:47,1,0,0,
21,2020-03-08,21-357,CBJ,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:33,2,0,0,
22,2021-02-11,22-331,CBJ,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,21,17:40,3,0,0,
23,2021-02-13,22-333,CBJ,CHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:31,3,0,0,
24,2021-02-15,22-335,CBJ,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,16:00,6,0,0,
25,2021-02-18,22-338,CBJ,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,19:28,3,0,0,
26,2021-02-20,22-340,CBJ,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,18:35,2,0,0,
27,2021-02-23,22-343,CBJ,CHI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,10:52,1,0,0,
28,2021-04-15,23-029,CBJ,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,25,18:02,5,0,0,
29,2021-04-17,23-031,CBJ,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,15:11,0,0,0,
30,2021-04-19,23-033,CBJ,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,16:21,2,0,0,
31,2021-05-07,23-051,CBJ,DET,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,22,19:04,3,0,0,
32,2021-05-08,23-052,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,20:57,7,0,0,
33,2021-10-14,23-211,CBJ,ARI,W,0,1,1,1,5,0,0,0,0,1,0,0,0,,25,21:52,2,0,0,
34,2021-10-16,23-213,CBJ,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:12,3,0,0,
35,2021-10-19,23-216,CBJ,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,11:11,0,0,0,
36,2021-10-21,23-218,CBJ,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,18:24,1,0,0,
37,2021-10-23,23-220,CBJ,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,22,18:41,1,0,0,
38,2021-10-25,23-222,CBJ,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,17:30,1,0,0,
39,2021-10-29,23-226,CBJ,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,21:11,2,0,0,
40,2021-10-31,23-228,CBJ,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,11:17,0,0,0,
41,2021-11-03,23-231,CBJ,COL,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,21,16:30,0,0,0,
42,2021-11-06,23-234,CBJ,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,13:01,6,0,0,
43,2021-11-12,23-240,CBJ,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,14:28,1,0,0,
44,2021-11-13,23-241,CBJ,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,15:35,3,0,0,
45,2021-11-15,23-243,CBJ,DET,W,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,21,16:38,4,0,0,
46,2021-11-18,23-246,CBJ,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,24,19:15,1,0,0,
47,2021-11-20,23-248,CBJ,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,18:24,0,0,0,
48,2021-11-22,23-250,CBJ,BUF,W,0,1,1,1,4,0,0,0,0,1,0,0,0,,27,19:07,2,0,0,
49,2021-11-24,23-252,CBJ,WPG,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,30,20:38,1,0,0,
50,2021-11-26,23-254,CBJ,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,20:54,5,0,0,
51,2021-11-27,23-255,CBJ,STL,L,0,0,0,-3,2,0,0,0,0,0,0,0,0,,26,17:51,0,0,0,
52,2021-11-30,23-258,CBJ,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,27,21:15,0,0,0,
53,2021-12-02,23-260,CBJ,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,20:32,2,0,0,
54,2021-12-04,23-262,CBJ,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,22:35,1,0,0,
55,2021-12-05,23-263,CBJ,SJS,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,30,23:16,4,0,0,
56,2021-12-07,23-265,CBJ,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,20:07,5,0,0,
57,2021-12-09,23-267,CBJ,ANA,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,25,22:53,2,0,0,
58,2021-12-11,23-269,CBJ,SEA,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,20:02,2,0,0,
59,2021-12-14,23-272,CBJ,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,31,21:16,4,0,0,
60,2021-12-16,23-274,CBJ,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,18:23,4,0,0,
61,2021-12-30,23-288,CBJ,NSH,W,0,0,0,0,7,0,0,0,0,0,0,0,0,,21,18:28,7,0,0,
62,2022-01-01,23-290,CBJ,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:01,3,0,0,
63,2022-01-04,23-293,CBJ,TBL,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,24,20:46,1,0,0,
64,2022-01-06,23-295,CBJ,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:59,1,0,0,
65,2022-01-08,23-297,CBJ,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:12,8,0,0,
66,2022-01-11,23-300,CBJ,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,19:22,3,0,0,
67,2022-01-13,23-302,CBJ,CAR,W,0,0,0,3,0,0,0,0,0,0,0,0,0,,27,22:36,4,0,0,
68,2022-01-15,23-304,CBJ,FLA,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,27,21:22,5,0,0,
69,2022-01-20,23-309,CBJ,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,26:27,4,0,0,
70,2022-01-21,23-310,CBJ,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,28,25:54,3,0,0,
71,2022-01-23,23-312,CBJ,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,22:49,3,0,0,
72,2022-01-26,23-315,CBJ,CGY,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,26,22:30,1,0,0,
73,2022-01-27,23-316,CBJ,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,22:48,2,0,0,
74,2022-01-30,23-319,CBJ,MTL,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,28,27:57,2,0,0,
75,2022-01-31,23-320,CBJ,FLA,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,27,25:36,2,0,0,
