,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,19-242,WSH,MTL,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,24,15:58,1,3,11,21.4
1,2014-10-11,19-244,WSH,BOS,W,0,2,2,1,2,0,0,0,0,1,1,0,0,,17,10:28,0,1,4,20.0
2,2014-10-14,19-247,WSH,SJS,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,15:27,0,4,6,40.0
3,2014-10-16,19-249,WSH,NJD,W,1,0,1,1,0,0,1,0,0,0,0,0,2,50.0,19,14:06,0,4,4,50.0
4,2014-10-18,19-251,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:25,0,2,3,40.0
5,2014-10-22,19-255,WSH,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,21,15:56,1,2,2,50.0
6,2014-10-25,19-258,WSH,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:50,1,3,4,42.9
7,2014-10-26,19-259,WSH,VAN,L,0,1,1,-1,2,0,0,0,0,1,0,0,0,,20,12:52,0,5,4,55.6
8,2014-10-29,19-262,WSH,DET,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,18,14:57,0,5,1,83.3
9,2014-11-01,19-265,WSH,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:08,0,4,5,44.4
10,2014-11-02,19-266,WSH,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:42,0,0,7,0.0
11,2014-11-04,19-268,WSH,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:11,0,3,4,42.9
12,2014-11-07,19-271,WSH,CHI,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,20,14:37,2,3,3,50.0
13,2014-11-08,19-272,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:59,0,3,6,33.3
14,2014-11-11,19-275,WSH,CBJ,W,0,2,2,1,0,0,0,0,0,2,0,0,0,,16,10:42,2,0,4,0.0
15,2014-11-14,19-278,WSH,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,16:40,0,1,5,16.7
16,2014-11-15,19-279,WSH,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,17:23,0,4,3,57.1
17,2014-11-18,19-282,WSH,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:03,1,3,4,42.9
18,2014-11-20,19-284,WSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:54,0,3,3,50.0
19,2014-11-22,19-286,WSH,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:43,0,3,3,50.0
20,2014-11-26,19-290,WSH,NYI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:47,0,2,0,100.0
21,2014-11-28,19-292,WSH,NYI,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,13,9:10,0,4,2,66.7
22,2014-11-29,19-293,WSH,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:39,0,2,0,100.0
23,2014-12-02,19-296,WSH,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:37,0,1,2,33.3
24,2014-12-04,19-298,WSH,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,10:02,1,3,0,100.0
25,2014-12-13,19-307,WSH,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:35,0,0,0,
26,2014-12-23,19-317,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:10,0,0,0,
27,2014-12-27,19-321,WSH,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:14,0,,,
28,2015-01-04,19-329,WSH,FLA,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,16,12:55,1,0,0,
29,2015-01-07,19-332,WSH,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,15:31,1,0,0,
30,2015-01-08,19-333,WSH,PHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,13:45,1,0,0,
31,2015-01-10,19-335,WSH,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,15:53,0,0,0,
32,2015-01-12,19-337,WSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:45,0,0,0,
33,2015-01-14,19-339,WSH,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:17,0,0,0,
34,2015-01-16,19-341,WSH,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:29,0,1,0,100.0
35,2015-01-17,19-342,WSH,DAL,L,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,20,15:23,1,1,0,100.0
36,2015-01-20,19-345,WSH,EDM,L-SO,0,2,2,0,0,0,0,0,0,2,0,0,1,0.0,19,14:31,0,1,1,50.0
37,2015-01-27,19-352,WSH,CBJ,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,19,15:23,0,1,0,100.0
38,2015-02-03,19-359,WSH,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,16,13:16,1,0,0,
39,2015-02-05,19-361,WSH,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,9:14,1,0,1,0.0
40,2015-02-11,20-002,WSH,SJS,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,13,9:52,0,0,0,
41,2015-02-15,20-006,WSH,ANA,W,2,0,2,2,2,2,0,0,1,0,0,0,4,50.0,18,12:51,0,0,0,
42,2015-02-17,20-008,WSH,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:55,1,0,0,
43,2015-02-19,20-010,WSH,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,16:37,1,0,0,
44,2015-02-21,20-012,WSH,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,22,18:10,0,1,1,50.0
45,2015-02-25,20-016,WSH,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,12:32,0,0,0,
46,2015-02-27,20-018,WSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:27,0,0,0,
47,2015-03-01,20-020,WSH,TOR,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,14,10:01,1,0,0,
48,2015-03-05,20-024,WSH,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,16:49,0,0,0,
49,2015-03-13,20-032,WSH,DAL,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,11:55,0,0,0,
50,2015-04-05,20-055,WSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,6:06,0,0,0,
51,2015-04-08,20-058,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:23,2,0,0,
52,2015-04-11,20-061,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,13:33,2,1,0,100.0
53,2015-10-10,20-243,WSH,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:41,0,4,8,33.3
54,2015-10-13,20-246,WSH,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,17:31,0,1,2,33.3
55,2015-10-15,20-248,WSH,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,20,14:18,1,2,3,40.0
56,2015-10-17,20-250,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:44,0,1,0,100.0
