,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,19-127,NYI,NYR,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,17,10:52,4,0,0,
1,2016-10-16,19-130,NYI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:06,2,1,1,50.0
2,2016-10-18,19-132,NYI,SJS,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,12,8:16,1,0,0,
3,2016-10-21,19-135,NYI,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,9:14,1,0,0,
4,2016-10-23,19-137,NYI,MIN,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,16,10:57,0,0,0,
5,2016-10-26,19-140,NYI,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:18,3,0,0,
6,2016-10-27,19-141,NYI,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:54,1,0,0,
7,2016-10-30,19-144,NYI,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:28,1,0,0,
8,2016-11-01,19-146,NYI,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,12:01,2,3,2,60.0
9,2016-11-05,19-150,NYI,EDM,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:17,0,1,1,50.0
10,2016-11-12,19-157,NYI,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:20,1,0,0,
11,2016-11-14,19-159,NYI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:01,0,0,2,0.0
12,2016-11-18,19-163,NYI,PIT,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,14,11:53,1,4,3,57.1
13,2016-11-22,19-167,NYI,ANA,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,20,15:01,2,0,0,
14,2016-11-23,19-168,NYI,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:55,2,0,0,
15,2016-11-25,19-170,NYI,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:13,1,0,0,
16,2016-11-28,19-173,NYI,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,14:34,0,0,0,
17,2016-11-30,19-175,NYI,PIT,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,14,11:07,0,7,3,70.0
18,2016-12-08,19-183,NYI,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:38,0,4,4,50.0
19,2016-12-13,19-188,NYI,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:07,0,1,4,20.0
20,2016-12-16,19-191,NYI,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:14,0,0,0,
21,2016-12-18,19-193,NYI,OTT,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,17,11:49,0,0,0,
22,2016-12-20,19-195,NYI,BOS,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,18,11:32,2,0,1,0.0
23,2016-12-23,19-198,NYI,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,10:14,1,0,0,
24,2016-12-27,19-202,NYI,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:08,1,0,1,0.0
