,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-12-01,21-346,NSH,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:22,0,0,0,
1,2019-10-26,22-310,NSH,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,9,4:10,0,0,0,
2,2022-12-19,25-364,MTL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:58,3,0,0,
3,2022-12-21,26-001,MTL,COL,L-OT,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,15,9:44,1,0,0,
4,2022-12-23,26-003,MTL,DAL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:12,1,0,0,
5,2022-12-28,26-008,MTL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:46,2,0,0,
6,2023-01-03,26-014,MTL,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,13,11:11,0,0,0,
7,2023-01-05,26-016,MTL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:18,2,0,0,
8,2023-01-07,26-018,MTL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,4:49,2,0,0,
9,2023-03-09,26-079,MTL,NYR,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,0,,11,9:07,3,0,0,
10,2023-03-11,26-081,MTL,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,13,9:30,4,0,0,
11,2023-03-13,26-083,MTL,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:32,2,1,1,50.0
12,2023-03-14,26-084,MTL,PIT,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,12,7:21,3,0,2,0.0
13,2023-03-16,26-086,MTL,FLA,L,1,1,2,0,2,1,0,0,0,1,0,0,1,100.0,16,10:26,1,0,0,
14,2023-03-18,26-088,MTL,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:34,1,0,0,
15,2024-02-10,27-052,BOS,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:38,6,0,0,
16,2024-02-13,27-055,BOS,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:31,2,0,0,
17,2024-02-15,27-057,BOS,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:42,3,0,0,
18,2024-02-17,27-059,BOS,LAK,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,13,8:00,2,0,0,
19,2024-02-19,27-061,BOS,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,12:22,4,0,0,
20,2024-02-21,27-063,BOS,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:32,4,0,1,0.0
21,2024-02-22,27-064,BOS,CGY,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,0,,18,12:04,1,0,0,
22,2024-02-24,27-066,BOS,VAN,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,11:14,3,0,0,
23,2024-02-26,27-068,BOS,SEA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:25,0,0,0,
