,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-12-03,21-264,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,10:12,4,0,0,
1,2016-12-05,21-266,BOS,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:10,3,0,0,
2,2016-12-07,21-268,BOS,WSH,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,14,10:10,1,0,0,
3,2016-12-08,21-269,BOS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:07,5,0,0,
4,2016-12-15,21-276,BOS,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,9:03,0,0,0,
5,2016-12-18,21-279,BOS,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,11,9:09,2,0,0,
6,2016-12-20,21-281,BOS,NYI,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,17,11:20,3,0,0,
7,2016-12-22,21-283,BOS,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,9:29,3,0,0,
8,2016-12-23,21-284,BOS,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:07,0,0,0,
9,2016-12-27,21-288,BOS,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:34,2,0,0,
10,2016-12-29,21-290,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,5:27,0,0,0,
11,2016-12-31,21-292,BOS,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:55,4,0,0,
12,2017-01-02,21-294,BOS,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:57,3,0,0,
13,2017-01-05,21-297,BOS,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:57,1,0,0,
14,2017-01-10,21-302,BOS,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:25,2,0,0,
15,2017-01-12,21-304,BOS,NSH,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,12,6:33,1,0,0,
16,2017-01-14,21-306,BOS,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:25,3,0,0,
17,2017-01-16,21-308,BOS,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,11:09,4,0,0,
18,2017-01-18,21-310,BOS,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:37,0,0,0,
19,2018-03-19,23-005,BOS,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:23,3,0,0,
20,2019-04-06,24-023,BOS,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:46,6,0,0,
21,2020-01-21,24-313,BOS,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:45,3,0,0,
22,2020-02-01,24-324,BOS,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,12:09,0,0,0,
23,2020-02-04,24-327,BOS,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:15,2,0,0,
24,2020-02-05,24-328,BOS,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:32,1,0,0,
25,2020-02-08,24-331,BOS,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:24,3,0,0,
26,2020-02-21,24-344,BOS,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:54,5,0,0,
