,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-02-02,19-221,LAK,ANA,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,18,14:42,0,0,0,
1,2021-10-14,20-110,LAK,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:43,1,0,0,
2,2021-10-16,20-112,LAK,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:56,1,0,0,
3,2021-10-22,20-118,LAK,DAL,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,18,12:08,0,0,0,
4,2021-10-23,20-119,LAK,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,19,13:44,0,0,0,
5,2021-10-25,20-121,LAK,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,14:36,0,0,0,
6,2021-10-28,20-124,LAK,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,12:22,0,0,0,
7,2021-10-30,20-126,LAK,MTL,W,1,0,1,-1,2,0,1,0,0,0,0,0,2,50.0,20,13:13,0,0,0,
8,2021-10-31,20-127,LAK,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:29,0,0,0,
9,2021-11-03,20-130,LAK,STL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:14,2,0,0,
10,2021-11-05,20-132,LAK,NJD,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,16,12:10,1,0,0,
11,2021-11-08,20-135,LAK,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:19,1,0,0,
12,2021-11-09,20-136,LAK,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:37,0,0,0,
13,2021-11-11,20-138,LAK,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:14,0,0,0,
14,2021-11-13,20-140,LAK,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:23,0,0,0,
15,2021-11-17,20-144,LAK,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,10:20,0,0,0,
16,2021-11-20,20-147,LAK,CAR,L,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,21,15:59,1,0,0,
17,2021-11-21,20-148,LAK,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,13:29,0,0,0,
18,2021-11-24,20-151,LAK,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:07,0,0,0,
19,2021-11-27,20-154,LAK,OTT,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,16,13:35,1,0,0,
20,2021-11-30,20-157,LAK,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:23,1,0,0,
21,2021-12-02,20-159,LAK,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:29,0,0,0,
22,2021-12-05,20-162,LAK,EDM,W,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,16,10:34,0,0,0,
23,2021-12-06,20-163,LAK,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:17,0,0,0,
24,2021-12-09,20-166,LAK,DAL,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,17,12:14,0,0,0,
25,2021-12-11,20-168,LAK,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:20,0,0,0,
26,2021-12-14,20-171,LAK,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:29,0,0,0,
27,2021-12-16,20-173,LAK,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,13,9:29,1,0,0,
28,2021-12-18,20-175,LAK,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,18,14:02,1,0,0,
29,2021-12-19,20-176,LAK,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:10,0,0,0,
30,2021-12-28,20-185,LAK,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:29,0,0,0,
31,2021-12-30,20-187,LAK,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,16:17,0,0,0,
32,2022-01-01,20-189,LAK,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,11:56,0,0,0,
33,2022-01-06,20-194,LAK,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,12:51,1,0,0,
