,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,23-306,BOS,CBJ,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,15:11,0,1,5,16.7
1,2016-10-15,23-308,BOS,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,11:00,1,0,3,0.0
2,2016-10-26,23-319,BOS,NYR,L,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,20,14:32,0,1,0,100.0
3,2016-10-29,23-322,BOS,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,14:48,0,1,0,100.0
4,2016-11-01,23-325,BOS,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,16:32,0,1,2,33.3
5,2016-11-03,23-327,BOS,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:53,0,0,2,0.0
6,2016-11-05,23-329,BOS,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:59,0,0,0,
7,2016-11-07,23-331,BOS,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,19,14:07,0,0,0,
8,2016-11-08,23-332,BOS,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:49,0,0,1,0.0
9,2016-11-10,23-334,BOS,CBJ,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,24,15:08,0,1,0,100.0
10,2016-11-12,23-336,BOS,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13:19,0,0,1,0.0
11,2016-11-13,23-337,BOS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,14:42,2,0,0,
12,2016-11-17,23-341,BOS,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:41,0,0,3,0.0
13,2016-11-19,23-343,BOS,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:20,0,0,0,
14,2016-11-22,23-346,BOS,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,13:52,1,0,2,0.0
15,2016-11-24,23-348,BOS,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:02,0,0,1,0.0
16,2016-11-25,23-349,BOS,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:13,0,0,0,
17,2016-11-27,23-351,BOS,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:26,0,0,0,
18,2016-11-29,23-353,BOS,PHI,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,12:23,3,0,0,
19,2016-12-01,23-355,BOS,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:01,1,0,0,
20,2016-12-03,23-357,BOS,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,11:55,0,1,1,50.0
21,2016-12-05,23-359,BOS,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:59,0,0,0,
22,2016-12-07,23-361,BOS,WSH,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,19,12:36,0,0,0,
23,2016-12-08,23-362,BOS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:03,0,0,1,0.0
24,2016-12-10,23-364,BOS,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:08,1,0,0,
25,2016-12-12,24-000,BOS,MTL,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,17,12:21,1,3,1,75.0
26,2016-12-14,24-002,BOS,PIT,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,9:58,1,0,2,0.0
27,2016-12-15,24-003,BOS,ANA,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,12:58,1,2,5,28.6
28,2016-12-18,24-006,BOS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:01,0,3,4,42.9
29,2016-12-20,24-008,BOS,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:47,1,5,2,71.4
30,2016-12-22,24-010,BOS,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,14:53,0,3,2,60.0
31,2016-12-23,24-011,BOS,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,14:00,0,2,4,33.3
32,2016-12-27,24-015,BOS,CBJ,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,20,14:26,1,2,4,33.3
33,2016-12-29,24-017,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:16,0,3,1,75.0
34,2016-12-31,24-019,BOS,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,18,14:19,0,1,3,25.0
35,2017-01-02,24-021,BOS,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:13,0,2,3,40.0
36,2017-01-05,24-024,BOS,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,13:33,0,5,5,50.0
37,2017-01-07,24-026,BOS,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:28,1,7,3,70.0
38,2017-01-08,24-027,BOS,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,9:00,1,3,2,60.0
39,2017-01-10,24-029,BOS,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:55,0,0,0,
40,2017-01-12,24-031,BOS,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:46,0,1,0,100.0
41,2017-01-14,24-033,BOS,PHI,W,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,15,10:49,0,0,1,0.0
42,2017-01-16,24-035,BOS,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:19,1,1,1,50.0
43,2017-01-18,24-037,BOS,DET,L-SO,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,16,8:30,0,0,0,
44,2017-01-20,24-039,BOS,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,16,12:07,0,0,0,
45,2017-01-22,24-041,BOS,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:06,0,0,0,
46,2017-02-04,24-054,BOS,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,13:01,1,7,4,63.6
