,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-12,19-025,TOR,OTT,L-OT,4,0,4,3,0,4,0,0,0,0,0,0,6,66.7,25,17:37,0,6,7,46.2
1,2016-10-15,19-028,TOR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:51,0,3,5,37.5
2,2016-10-19,19-032,TOR,WPG,L-OT,0,1,1,-1,0,0,0,0,0,0,1,0,7,0.0,20,17:57,0,3,6,33.3
3,2016-10-20,19-033,TOR,MIN,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,22,17:40,0,2,3,40.0
4,2016-10-22,19-035,TOR,CHI,L-SO,0,2,2,1,0,0,0,0,0,1,1,0,4,0.0,20,15:10,0,6,6,50.0
5,2016-10-25,19-038,TOR,TBL,L,1,1,2,-1,0,1,0,0,0,0,1,0,4,25.0,22,16:01,0,11,7,61.1
6,2016-10-27,19-040,TOR,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,15:47,0,11,4,73.3
7,2016-10-29,19-042,TOR,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,19:25,1,2,5,28.6
8,2016-10-30,19-043,TOR,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,18:11,0,2,6,25.0
9,2016-11-01,19-045,TOR,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,22,19:28,0,2,5,28.6
10,2016-11-03,19-047,TOR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,23,17:11,0,6,4,60.0
11,2016-11-05,19-049,TOR,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,21,16:58,1,0,0,
12,2016-11-08,19-052,TOR,LAK,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,19,16:59,1,4,6,40.0
13,2016-11-11,19-055,TOR,PHI,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,15:40,0,3,1,75.0
14,2016-11-12,19-056,TOR,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,17:40,0,7,5,58.3
15,2016-11-15,19-059,TOR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,21,17:42,0,5,8,38.5
16,2016-11-17,19-061,TOR,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:22,0,8,3,72.7
17,2016-11-19,19-063,TOR,MTL,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,18:38,0,10,8,55.6
18,2016-11-22,19-066,TOR,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,23,20:44,0,5,6,45.5
19,2016-11-23,19-067,TOR,NJD,L-SO,2,1,3,1,0,2,0,0,0,0,1,0,4,50.0,26,16:34,0,5,9,35.7
20,2016-11-26,19-070,TOR,WSH,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,15:44,0,3,7,30.0
21,2016-11-29,19-073,TOR,EDM,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,23,16:42,0,3,7,30.0
22,2016-11-30,19-074,TOR,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,22,17:57,0,3,8,27.3
23,2016-12-03,19-077,TOR,VAN,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,22,15:45,0,5,11,31.3
24,2016-12-07,19-081,TOR,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,25,17:30,2,8,11,42.1
25,2016-12-10,19-084,TOR,BOS,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,22,17:43,1,6,6,50.0
26,2016-12-11,19-085,TOR,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,19:43,0,2,8,20.0
27,2016-12-13,19-087,TOR,SJS,L-SO,1,1,2,0,0,0,1,0,0,1,0,0,4,25.0,24,18:41,0,9,4,69.2
28,2016-12-15,19-089,TOR,ARI,L-SO,1,0,1,0,4,0,1,0,0,0,0,0,4,25.0,26,19:52,0,7,5,58.3
29,2016-12-17,19-091,TOR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,20:13,0,8,4,66.7
30,2016-12-19,19-093,TOR,ANA,L,1,0,1,1,0,1,0,0,0,0,0,0,8,12.5,24,21:22,0,5,8,38.5
31,2016-12-22,19-096,TOR,COL,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,25,17:22,0,5,17,22.7
32,2016-12-23,19-097,TOR,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,17:27,0,8,12,40.0
33,2016-12-28,19-102,TOR,FLA,W,1,1,2,1,0,1,0,0,0,0,1,0,7,14.3,29,20:20,0,6,10,37.5
34,2016-12-29,19-103,TOR,TBL,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,26,15:55,0,5,9,35.7
35,2017-01-01,19-106,TOR,DET,W,2,0,2,0,0,2,0,0,1,0,0,0,3,66.7,28,19:06,0,7,10,41.2
36,2017-01-03,19-108,TOR,WSH,L-OT,0,2,2,1,2,0,0,0,0,1,1,0,1,0.0,25,19:41,1,4,12,25.0
37,2017-01-06,19-111,TOR,NJD,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,19,16:55,0,5,11,31.3
38,2017-01-07,19-112,TOR,MTL,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,24,19:37,0,11,4,73.3
39,2017-01-13,19-118,TOR,NYR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,16:57,0,9,5,64.3
40,2017-01-14,19-119,TOR,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,16:26,0,5,9,35.7
41,2017-01-17,19-122,TOR,BUF,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,23,17:32,0,13,5,72.2
42,2017-01-19,19-124,TOR,NYR,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,25,16:26,0,7,13,35.0
43,2017-01-21,19-126,TOR,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,19:07,1,5,9,35.7
44,2017-01-23,19-128,TOR,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:39,0,8,5,61.5
45,2017-01-25,19-130,TOR,DET,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,22,15:23,0,12,5,70.6
46,2017-01-26,19-131,TOR,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,18:22,1,6,11,35.3
