,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-30,21-246,SJS,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,8:39,1,1,0,100.0
1,2014-11-01,21-248,SJS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,8:33,2,0,0,
2,2014-11-06,21-253,SJS,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:34,0,0,0,
3,2014-11-09,21-256,SJS,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,8:16,1,1,0,100.0
4,2014-11-13,21-260,SJS,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:32,1,0,0,
5,2014-11-15,21-262,SJS,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:48,2,0,0,
6,2014-11-16,21-263,SJS,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,10:57,2,0,0,
7,2014-11-18,21-265,SJS,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:07,0,1,0,100.0
8,2014-11-20,21-267,SJS,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:23,3,0,0,
9,2014-11-22,21-269,SJS,ARI,L-SO,0,1,1,1,0,0,0,0,0,0,0,1,0,,22,14:21,1,0,0,
10,2014-11-26,21-273,SJS,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:11,1,0,0,
11,2014-12-06,21-283,SJS,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,15:24,0,0,0,
12,2014-12-07,21-284,SJS,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:55,1,0,0,
13,2014-12-09,21-286,SJS,EDM,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,15:07,3,0,0,
14,2014-12-11,21-288,SJS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:52,1,0,0,
15,2014-12-13,21-290,SJS,NSH,W,0,0,0,0,14,0,0,0,0,0,0,0,1,0.0,21,13:28,1,0,0,
16,2014-12-18,21-295,SJS,EDM,W,1,1,2,1,0,1,0,0,1,1,0,0,2,50.0,19,12:44,2,0,0,
17,2014-12-20,21-297,SJS,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,14:50,1,1,0,100.0
18,2014-12-22,21-299,SJS,ANA,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,14:23,1,0,0,
