,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-11-20,21-289,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,10:02,1,0,0,
1,2019-11-23,21-292,WSH,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:59,1,0,0,
2,2019-11-27,21-296,WSH,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:48,3,0,0,
3,2021-11-24,23-293,WSH,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:10,1,0,0,
4,2021-11-26,23-295,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:03,3,0,1,0.0
5,2021-11-28,23-297,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:00,5,1,1,50.0
6,2021-11-30,23-299,WSH,FLA,L,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,14,10:35,4,0,1,0.0
7,2021-12-02,23-301,WSH,CHI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:58,1,0,0,
8,2021-12-04,23-303,WSH,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,8,6:30,4,0,0,
9,2021-12-06,23-305,WSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:51,2,0,2,0.0
10,2021-12-10,23-309,WSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,9:28,4,0,0,
11,2021-12-11,23-310,WSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:02,4,0,0,
12,2021-12-15,23-314,WSH,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:08,5,0,0,
