,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-16,23-152,COL,CAR,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,15,9:30,0,10,6,62.5
1,2022-04-18,23-154,COL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:57,0,1,3,25.0
2,2022-04-20,23-156,COL,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:14,1,0,0,
3,2022-04-24,23-160,COL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,12:38,0,0,1,0.0
4,2022-04-29,23-165,COL,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:25,0,0,3,0.0
5,2022-10-12,23-331,COL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:48,2,0,0,
6,2022-10-13,23-332,COL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:24,0,0,1,0.0
7,2022-10-17,23-336,COL,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,7,6:27,1,0,0,
8,2022-12-07,24-022,COL,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,16:07,1,13,5,72.2
9,2022-12-09,24-024,COL,NYR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,18:32,1,3,5,37.5
10,2022-12-11,24-026,COL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:47,2,2,3,40.0
11,2022-12-13,24-028,COL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,13:38,0,6,2,75.0
12,2022-12-15,24-030,COL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:03,1,7,0,100.0
13,2022-12-17,24-032,COL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:09,2,4,5,44.4
14,2022-12-19,24-034,COL,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:13,0,3,6,33.3
15,2022-12-21,24-036,COL,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:00,0,7,3,70.0
16,2022-12-23,24-038,COL,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,14:22,0,7,5,58.3
17,2022-12-27,24-042,COL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:55,2,5,7,41.7
18,2022-12-29,24-044,COL,LAK,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,14:10,1,8,4,66.7
19,2022-12-31,24-046,COL,TOR,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,9:27,1,0,5,0.0
20,2023-01-02,24-048,COL,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:53,0,3,2,60.0
21,2023-01-05,24-051,COL,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:06,1,2,4,33.3
22,2023-01-07,24-053,COL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:59,1,0,2,0.0
23,2023-01-10,24-056,COL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:48,0,1,3,25.0
24,2023-01-12,24-058,COL,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,8:13,2,1,2,33.3
25,2023-01-14,24-060,COL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,12:50,0,5,4,55.6
26,2023-01-16,24-062,COL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:08,0,3,3,50.0
27,2023-01-18,24-064,COL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:46,0,0,1,0.0
28,2023-01-20,24-066,COL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:06,0,1,4,20.0
