,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-01-12,25-045,NJD,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:49,2,3,3,50.0
1,2017-01-13,25-046,NJD,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:45,3,3,4,42.9
2,2017-01-15,25-048,NJD,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,10:15,1,2,6,25.0
3,2017-01-17,25-050,NJD,MIN,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,13:20,1,7,7,50.0
4,2017-01-20,25-053,NJD,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:29,2,2,5,28.6
5,2017-02-27,25-091,NJD,MTL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,13:12,3,5,3,62.5
6,2017-03-02,25-094,NJD,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:22,0,4,3,57.1
7,2017-03-04,25-096,NJD,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:23,1,8,4,66.7
8,2017-03-05,25-097,NJD,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,15:00,5,6,7,46.2
9,2017-03-07,25-099,NJD,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:43,3,4,7,36.4
10,2017-03-09,25-101,NJD,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:02,1,1,5,16.7
11,2017-03-11,25-103,NJD,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:22,2,0,1,0.0
12,2017-03-19,25-111,NJD,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:36,3,1,0,100.0
13,2017-03-21,25-113,NJD,NYR,W,0,0,0,-1,5,0,0,0,0,0,0,0,0,,19,13:33,0,3,11,21.4
14,2017-03-23,25-115,NJD,TOR,L,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,20,15:08,7,7,5,58.3
15,2017-03-25,25-117,NJD,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,14,12:13,3,3,2,60.0
16,2017-03-26,25-118,NJD,DAL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,15:46,1,6,10,37.5
17,2017-03-28,25-120,NJD,WPG,L-SO,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,20,14:02,2,7,5,58.3
18,2017-03-31,25-123,NJD,NYI,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,20,12:45,1,9,9,50.0
19,2017-04-01,25-124,NJD,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,13:19,2,2,14,12.5
20,2017-04-04,25-127,NJD,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,11:56,1,3,5,37.5
21,2017-04-06,25-129,NJD,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,14:18,2,3,8,27.3
22,2017-04-08,25-131,NJD,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:10,5,7,6,53.8
23,2017-10-07,25-313,NJD,COL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,22,14:02,2,4,8,33.3
24,2017-10-09,25-315,NJD,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,14:57,1,5,4,55.6
25,2017-10-11,25-317,NJD,TOR,W,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,22,12:57,4,10,10,50.0
26,2017-10-13,25-319,NJD,WSH,L,0,0,0,0,14,0,0,0,0,0,0,0,0,,15,9:59,4,5,2,71.4
27,2017-10-14,25-320,NJD,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:59,2,5,9,35.7
28,2017-10-17,25-323,NJD,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,9:49,2,8,3,72.7
29,2017-10-19,25-325,NJD,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:27,4,5,9,35.7
30,2017-10-20,25-326,NJD,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,14:48,5,4,6,40.0
31,2017-10-27,25-333,NJD,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,12:35,2,2,5,28.6
32,2017-10-28,25-334,NJD,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:25,5,7,6,53.8
33,2017-11-01,25-338,NJD,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,23,17:11,1,12,5,70.6
34,2017-11-03,25-340,NJD,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:52,2,2,9,18.2
35,2017-11-05,25-342,NJD,CGY,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:21,1,6,9,40.0
