,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2008-10-09,22-039,BOS,COL,W,1,0,1,1,2,1,0,0,0,,,,1,100.0,18,12:41,0,0,0,
1,2008-10-11,22-041,BOS,MIN,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,18,13:21,1,0,0,
2,2008-10-15,22-045,BOS,MTL,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,15:42,0,1,0,100.0
3,2008-10-18,22-048,BOS,OTT,W,0,0,0,0,2,0,0,0,0,,,,0,,13,8:21,0,0,0,
4,2008-10-20,22-050,BOS,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,12,8:16,0,0,0,
5,2008-10-21,22-051,BOS,BUF,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:37,0,0,0,
6,2008-10-23,22-053,BOS,TOR,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,12,8:17,0,0,0,
7,2008-10-25,22-055,BOS,ATL,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,16,8:55,0,0,1,0.0
8,2008-10-27,22-057,BOS,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,11:12,0,1,0,100.0
9,2008-10-28,22-058,BOS,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,16,13:11,0,0,0,
10,2008-10-30,22-060,BOS,CGY,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,15,11:29,0,0,0,
11,2008-11-01,22-062,BOS,DAL,W,0,2,2,2,2,0,0,0,0,,,,0,,15,10:15,0,0,0,
12,2008-11-06,22-067,BOS,TOR,W,3,0,3,1,0,2,1,0,1,,,,4,75.0,17,13:26,1,0,0,
13,2008-11-08,22-069,BOS,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,19,14:41,0,0,0,
14,2008-11-12,22-073,BOS,CHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,8:11,0,0,0,
15,2008-11-13,22-074,BOS,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,17,13:13,1,0,0,
16,2008-11-15,22-076,BOS,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:01,1,0,0,
17,2008-11-17,22-078,BOS,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,11:37,0,,,
18,2008-11-19,22-080,BOS,BUF,W,0,1,1,3,0,0,0,0,0,,,,1,0.0,16,10:36,1,0,0,
19,2008-11-21,22-082,BOS,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,15:03,1,0,1,0.0
20,2008-11-22,22-083,BOS,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,18,13:56,1,0,1,0.0
21,2008-11-26,22-087,BOS,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,15:13,0,0,0,
22,2008-11-28,22-089,BOS,NYI,W,1,1,2,3,0,1,0,0,1,,,,2,50.0,17,11:22,1,0,0,
23,2008-11-29,22-090,BOS,DET,W,1,0,1,2,2,1,0,0,0,,,,3,33.3,17,13:14,1,0,0,
24,2008-12-04,22-095,BOS,TBL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,17,15:28,4,0,0,
25,2008-12-06,22-097,BOS,FLA,W,1,1,2,3,0,1,0,0,0,,,,4,25.0,19,13:59,1,0,0,
26,2008-12-08,22-099,BOS,TBL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,10:58,0,0,1,0.0
27,2008-12-10,22-101,BOS,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,14:34,2,0,0,
28,2008-12-12,22-103,BOS,ATL,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,19,14:59,0,1,1,50.0
29,2008-12-13,22-104,BOS,ATL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,17,11:40,0,0,1,0.0
30,2008-12-18,22-109,BOS,TOR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,15:20,1,0,0,
31,2008-12-20,22-111,BOS,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,19,15:14,1,0,0,
32,2008-12-21,22-112,BOS,STL,W,2,0,2,1,0,1,0,1,0,,,,5,40.0,21,13:32,0,0,0,
33,2008-12-23,22-114,BOS,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,19,15:20,0,0,1,0.0
34,2008-12-27,22-118,BOS,CAR,W,2,0,2,2,0,2,0,0,0,,,,3,66.7,18,11:53,0,0,1,0.0
35,2008-12-28,22-119,BOS,ATL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,20,14:15,0,0,1,0.0
36,2008-12-30,22-121,BOS,PIT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,19,16:05,0,0,0,
37,2009-01-01,22-123,BOS,PIT,W,0,1,1,1,0,0,0,0,0,,,,0,,17,14:24,0,0,0,
38,2009-01-03,22-125,BOS,BUF,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,14:44,0,1,2,33.3
39,2009-01-06,22-128,BOS,MIN,L,0,0,0,0,0,0,0,0,0,,,,0,,20,18:15,0,0,1,0.0
40,2009-01-08,22-130,BOS,OTT,W,0,1,1,3,2,0,0,0,0,,,,0,,19,14:54,1,0,1,0.0
41,2009-01-10,22-132,BOS,CAR,W,0,2,2,2,0,0,0,0,0,,,,3,0.0,19,15:58,0,0,0,
42,2009-01-13,22-135,BOS,MTL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,23,17:31,1,0,0,
43,2009-01-15,22-137,BOS,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,18:13,1,0,0,
44,2009-01-17,22-139,BOS,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:58,1,0,0,
45,2009-01-19,22-141,BOS,STL,L-SO,0,1,1,-1,0,0,0,0,0,,,,1,0.0,21,18:22,0,0,0,
46,2009-01-21,22-143,BOS,TOR,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,26,17:28,3,0,0,
47,2009-01-27,22-149,BOS,WSH,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,22,19:19,1,0,0,
48,2009-01-29,22-151,BOS,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,23,17:01,0,0,0,
49,2009-01-31,22-153,BOS,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,14:45,1,0,0,
50,2009-02-01,22-154,BOS,MTL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,21,17:07,0,0,0,
51,2009-02-04,22-157,BOS,PHI,W,0,1,1,3,2,0,0,0,0,,,,5,0.0,19,15:34,0,0,1,0.0
52,2009-02-05,22-158,BOS,OTT,W,1,1,2,1,0,0,1,0,0,,,,2,50.0,22,18:32,0,0,0,
53,2009-02-07,22-160,BOS,PHI,L-OT,0,0,0,0,4,0,0,0,0,,,,1,0.0,12,7:30,1,0,1,0.0
54,2009-02-10,22-163,BOS,SJS,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,19,13:07,2,0,0,
55,2009-02-13,22-166,BOS,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:21,0,0,0,
56,2009-02-14,22-167,BOS,NSH,L-SO,1,0,1,1,2,1,0,0,0,,,,2,50.0,20,13:36,1,0,0,
57,2009-02-17,22-170,BOS,CAR,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,21,15:44,1,0,0,
58,2009-02-21,22-174,BOS,FLA,L,0,0,0,-1,0,0,0,0,0,,,,7,0.0,18,18:13,0,0,0,
59,2009-02-22,22-175,BOS,TBL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,24,19:04,0,2,0,100.0
60,2009-02-24,22-177,BOS,FLA,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,13:50,0,1,0,100.0
61,2009-02-26,22-179,BOS,ANA,W,0,2,2,2,2,0,0,0,0,,,,1,0.0,19,14:16,0,0,0,
62,2009-02-28,22-181,BOS,WSH,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,13:37,1,0,0,
