,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-01-11,26-210,TOR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:02,2,0,0,
1,2023-01-12,26-211,TOR,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:05,2,0,0,
2,2023-01-17,26-216,TOR,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,9:13,1,0,0,
3,2023-01-19,26-218,TOR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,12:16,2,0,1,0.0
4,2023-01-21,26-220,TOR,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:04,2,0,0,
5,2023-01-23,26-222,TOR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,11:36,4,1,0,100.0
6,2023-01-25,26-224,TOR,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,10:33,1,0,0,
7,2023-01-27,26-226,TOR,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,11:02,1,0,0,
8,2023-03-18,26-276,TOR,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:00,1,0,0,
9,2023-03-21,26-279,TOR,NYI,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,10:52,1,0,0,
10,2023-11-11,27-149,TOR,VAN,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,14,9:49,3,0,0,
11,2023-11-17,27-155,TOR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:58,0,0,1,0.0
12,2023-11-19,27-157,TOR,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:13,0,0,0,
13,2023-11-30,27-168,TOR,SEA,W,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,11,5:44,1,0,0,
14,2023-12-12,27-180,TOR,NYR,W,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,15,11:03,3,0,0,
15,2023-12-14,27-182,TOR,CBJ,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,10,8:23,2,0,0,
16,2023-12-16,27-184,TOR,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,16,10:56,0,0,0,
17,2023-12-19,27-187,TOR,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:02,2,0,0,
18,2023-12-21,27-189,TOR,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,10:24,2,0,0,
