,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-16,23-120,TBL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:22,1,0,1,0.0
1,2021-10-19,23-123,TBL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:45,2,0,0,
2,2021-10-23,23-127,TBL,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:24,5,0,0,
3,2021-10-25,23-129,TBL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:38,1,0,0,
4,2021-11-13,23-148,TBL,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,9:26,4,0,1,0.0
5,2021-11-15,23-150,TBL,NYI,W,0,0,0,0,10,0,0,0,0,0,0,0,0,,13,8:07,3,0,1,0.0
6,2021-11-18,23-153,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:31,3,1,0,100.0
7,2021-11-20,23-155,TBL,NJD,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,12:26,2,0,0,
8,2021-11-21,23-156,TBL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:00,4,0,1,0.0
9,2021-11-23,23-158,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:57,5,1,0,100.0
10,2021-11-26,23-161,TBL,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,11:43,4,0,0,
11,2021-11-28,23-163,TBL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:18,1,0,0,
12,2021-11-30,23-165,TBL,STL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:57,0,0,0,
