,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-21,19-222,COL,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,11:19,0,0,0,
1,2021-01-22,19-223,COL,ANA,W,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,18,14:28,0,0,0,
2,2021-01-24,19-225,COL,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,21,18:32,0,0,0,
3,2021-01-26,19-227,COL,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,21:14,0,0,0,
4,2021-01-28,19-229,COL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,18:18,0,0,0,
5,2021-01-30,19-231,COL,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,19:26,0,0,0,
6,2021-01-31,19-232,COL,MIN,L-OT,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,27,20:37,1,0,0,
7,2021-02-02,19-234,COL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:51,1,0,0,
8,2021-02-14,19-246,COL,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,23:07,5,0,0,
9,2021-02-16,19-248,COL,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,32,25:03,0,0,0,
10,2021-02-20,19-252,COL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:25,4,0,0,
11,2021-02-22,19-254,COL,VEG,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,21,16:05,4,0,0,
12,2021-02-24,19-256,COL,MIN,L,0,0,0,-3,2,0,0,0,0,0,0,0,0,,22,15:04,4,0,0,
13,2021-02-26,19-258,COL,ARI,W,0,0,0,0,7,0,0,0,0,0,0,0,0,,17,12:36,2,0,0,
14,2021-02-27,19-259,COL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,18:05,2,0,0,
15,2021-03-18,19-278,COL,MIN,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,20,15:58,1,0,0,
16,2021-03-20,19-280,COL,MIN,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,22,17:33,3,0,0,
17,2021-03-22,19-282,COL,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,16:08,4,0,0,
18,2021-03-25,19-285,COL,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,18:54,2,0,0,
19,2021-10-13,20-122,COL,CHI,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,23,16:33,1,0,0,
20,2021-10-16,20-125,COL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,20:55,1,0,0,
21,2021-10-19,20-128,COL,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,16:48,4,0,0,
22,2021-10-21,20-130,COL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:16,2,0,0,
23,2021-10-23,20-132,COL,TBL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,23,18:59,2,0,0,
24,2021-10-26,20-135,COL,VEG,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,31,26:07,1,0,0,
25,2021-10-28,20-137,COL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,23:19,0,0,0,
26,2021-10-30,20-139,COL,MIN,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,28,21:59,1,0,0,
27,2021-11-03,20-143,COL,CBJ,L-OT,2,1,3,1,0,2,0,0,0,1,0,0,6,33.3,28,25:17,1,0,0,
28,2021-11-06,20-146,COL,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,22:24,0,0,0,
29,2021-11-11,20-151,COL,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,9,4:56,0,0,0,
30,2021-11-27,20-167,COL,NSH,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,25,22:00,1,0,0,
31,2021-12-01,20-171,COL,TOR,L,0,0,0,-3,4,0,0,0,0,0,0,0,4,0.0,27,19:52,2,0,0,
32,2022-01-02,20-203,COL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,18:35,1,0,0,
33,2022-01-04,20-205,COL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,20:22,4,0,0,
34,2022-01-06,20-207,COL,WPG,W,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,24,19:48,1,0,0,
35,2022-01-08,20-209,COL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,15:49,1,0,0,
36,2022-01-10,20-211,COL,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,20:20,4,0,0,
37,2022-04-05,20-296,COL,PIT,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,15:02,3,0,0,
