,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-13,20-115,NYR,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,14:49,4,0,0,
1,2022-01-15,20-117,NYR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:51,2,0,0,
2,2022-01-19,20-121,NYR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:43,2,0,0,
3,2022-01-21,20-123,NYR,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:08,0,0,0,
4,2022-01-22,20-124,NYR,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,14:55,2,0,0,
5,2022-01-24,20-126,NYR,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:02,1,0,0,
6,2022-01-27,20-129,NYR,CBJ,L,0,2,2,1,0,0,0,0,0,1,1,0,3,0.0,26,18:53,0,0,0,
7,2022-01-28,20-130,NYR,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,20:03,0,0,0,
8,2022-01-30,20-132,NYR,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:56,4,0,0,
9,2022-02-01,20-134,NYR,FLA,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,29,21:47,3,0,0,
10,2022-02-15,20-148,NYR,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,17:53,2,0,0,
11,2022-02-17,20-150,NYR,DET,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,13:05,1,0,0,
12,2022-02-20,20-153,NYR,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,14:15,1,0,0,
13,2022-02-24,20-157,NYR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:10,2,0,0,
14,2022-02-26,20-159,NYR,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:20,2,0,0,
15,2022-02-27,20-160,NYR,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:29,1,0,0,
16,2022-03-02,20-163,NYR,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:57,2,0,0,
17,2022-03-04,20-165,NYR,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:08,0,0,0,
18,2022-03-06,20-167,NYR,WPG,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,21,17:49,2,0,0,
19,2022-03-08,20-169,NYR,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,18:51,0,0,0,
20,2022-03-10,20-171,NYR,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:17,1,0,0,
21,2022-03-12,20-173,NYR,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,17:22,2,0,0,
22,2022-03-15,20-176,NYR,ANA,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,14:47,0,0,0,
23,2022-03-17,20-178,NYR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:37,2,0,0,
24,2022-03-19,20-180,NYR,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,14:43,4,0,0,
25,2022-03-20,20-181,NYR,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,13:53,0,0,0,
26,2022-03-25,20-186,NYR,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,15:08,2,0,0,
27,2022-03-27,20-188,NYR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:11,1,0,0,
28,2022-03-29,20-190,NYR,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,12:01,1,0,0,
29,2022-03-30,20-191,NYR,DET,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,16,14:10,1,0,0,
30,2022-04-01,20-193,NYR,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,17,13:06,1,0,0,
31,2022-04-05,20-197,NYR,NJD,W,0,1,1,1,5,0,0,0,0,1,0,0,0,,18,14:03,2,0,0,
32,2022-04-07,20-199,NYR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:04,1,0,0,
33,2022-04-09,20-201,NYR,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:48,0,0,0,
34,2022-04-12,20-204,NYR,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:17,2,0,0,
35,2022-04-13,20-205,NYR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:39,2,0,0,
36,2022-04-16,20-208,NYR,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,16:01,0,0,0,
37,2022-04-19,20-211,NYR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:53,1,0,0,
38,2022-04-21,20-213,NYR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:43,2,0,0,
39,2022-04-23,20-215,NYR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:18,0,0,0,
40,2022-04-26,20-218,NYR,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20,15:14,2,0,0,
