,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-10-07,18-345,CHI,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,13:05,0,0,0,
1,2011-10-08,18-346,CHI,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,14:57,0,0,0,
2,2013-01-20,20-085,CHI,PHX,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,22,13:31,1,0,0,
3,2013-01-22,20-087,CHI,STL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,13:44,1,0,0,
4,2013-01-24,20-089,CHI,DAL,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,20,12:54,1,1,0,100.0
5,2013-01-26,20-091,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,11:50,1,1,1,50.0
6,2013-01-27,20-092,CHI,DET,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,11:59,1,0,0,
7,2013-01-30,20-095,CHI,MIN,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,13:46,0,0,0,
8,2013-02-01,20-097,CHI,VAN,L-SO,0,0,0,0,0,0,0,0,0,,,,4,0.0,18,14:55,0,1,1,50.0
9,2013-02-02,20-098,CHI,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,24,16:24,0,0,0,
10,2013-02-05,20-101,CHI,SJS,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,22,13:41,1,0,1,0.0
11,2013-02-07,20-103,CHI,PHX,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,19,12:55,0,1,0,100.0
12,2013-02-10,20-106,CHI,NSH,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,21,15:15,1,0,0,
13,2013-02-12,20-108,CHI,ANA,L-SO,1,0,1,1,0,1,0,0,0,,,,6,16.7,20,14:34,0,0,0,
14,2013-02-15,20-111,CHI,SJS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:49,1,1,1,50.0
15,2013-02-17,20-113,CHI,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:34,1,0,1,0.0
16,2013-02-19,20-115,CHI,VAN,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,24,17:00,0,0,0,
17,2013-02-22,20-118,CHI,SJS,W,1,0,1,1,0,0,0,1,1,,,,1,100.0,20,14:57,3,1,0,100.0
18,2013-02-24,20-120,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,16:00,1,0,1,0.0
19,2013-02-25,20-121,CHI,EDM,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,16,12:20,1,0,2,0.0
20,2013-02-28,20-124,CHI,STL,W,0,1,1,1,0,0,0,0,0,,,,0,,19,13:20,0,0,1,0.0
21,2013-03-01,20-125,CHI,CBJ,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,18,15:21,1,0,1,0.0
22,2013-03-03,20-127,CHI,DET,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,22,15:48,1,1,2,33.3
23,2013-03-05,20-129,CHI,MIN,W,1,2,3,3,0,1,0,0,0,,,,1,100.0,24,16:13,2,0,3,0.0
24,2013-03-06,20-130,CHI,COL,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,25,21:57,0,0,0,
25,2013-03-08,20-132,CHI,COL,L,0,1,1,0,0,0,0,0,0,,,,5,0.0,24,16:50,0,0,1,0.0
26,2013-03-10,20-134,CHI,EDM,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,24,18:07,1,0,0,
27,2013-03-14,20-138,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,17:29,0,2,0,100.0
28,2013-03-16,20-140,CHI,DAL,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,24,18:21,1,0,0,
29,2013-03-18,20-142,CHI,COL,W,0,1,1,2,0,0,0,0,0,,,,3,0.0,23,17:21,1,0,2,0.0
30,2013-03-20,20-144,CHI,ANA,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,24,16:29,0,1,0,100.0
31,2013-03-25,20-149,CHI,LAK,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,28,20:16,2,0,0,
32,2013-03-26,20-150,CHI,CGY,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,27,20:23,1,0,0,
33,2013-03-29,20-153,CHI,ANA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,27,21:01,0,1,0,100.0
34,2013-03-31,20-155,CHI,DET,W,2,1,3,3,0,2,0,0,1,,,,4,50.0,22,14:28,1,0,0,
35,2013-04-01,20-156,CHI,NSH,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,28,20:51,2,0,3,0.0
36,2013-04-04,20-159,CHI,STL,L-SO,1,0,1,1,0,1,0,0,0,,,,5,20.0,27,19:08,1,1,1,50.0
37,2013-04-06,20-161,CHI,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,18:00,1,0,0,
38,2013-04-07,20-162,CHI,NSH,W,1,1,2,1,0,1,0,0,0,,,,3,33.3,24,19:07,1,0,1,0.0
39,2013-04-09,20-164,CHI,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,18:53,0,0,0,
40,2013-04-12,20-167,CHI,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,17:25,0,0,0,
41,2013-04-14,20-169,CHI,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,27,18:58,3,0,2,0.0
42,2013-04-15,20-170,CHI,DAL,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,20,17:22,2,0,0,
43,2013-04-19,20-174,CHI,NSH,W,1,0,1,0,0,1,0,0,0,,,,4,25.0,21,16:01,2,1,0,100.0
44,2013-04-20,20-175,CHI,PHX,L-SO,0,0,0,-1,2,0,0,0,0,,,,6,0.0,24,18:55,2,1,1,50.0
45,2013-04-22,20-177,CHI,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,20:31,1,1,3,25.0
46,2013-04-24,20-179,CHI,EDM,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,20,16:09,0,1,0,100.0
47,2013-04-26,20-181,CHI,CGY,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,17,15:21,1,1,0,100.0
48,2013-10-01,20-339,CHI,WSH,W,1,2,3,2,0,1,0,0,0,,,,1,100.0,18,14:06,0,0,0,
49,2013-10-05,20-343,CHI,TBL,L-SO,1,0,1,0,0,0,1,0,0,,,,5,20.0,22,18:49,0,0,2,0.0
50,2013-10-09,20-347,CHI,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:09,0,2,1,66.7
51,2013-10-11,20-349,CHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,21,15:49,0,0,0,
52,2013-10-12,20-350,CHI,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,17:03,1,1,1,50.0
53,2013-10-15,20-353,CHI,CAR,W,0,1,1,0,0,0,0,0,0,,,,4,0.0,22,16:40,1,1,1,50.0
54,2013-10-17,20-355,CHI,STL,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:27,2,0,0,
55,2013-10-19,20-357,CHI,TOR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,27,17:46,2,1,0,100.0
56,2013-10-22,20-360,CHI,FLA,W,0,0,0,-1,0,0,0,0,0,,,,0,,27,19:58,0,0,1,0.0
57,2013-10-24,20-362,CHI,TBL,L-OT,0,0,0,1,0,0,0,0,0,,,,4,0.0,25,20:23,1,0,0,
58,2013-10-26,20-364,CHI,MIN,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,23,19:33,1,0,0,
59,2013-10-28,21-001,CHI,MIN,W,1,1,2,2,2,1,0,0,0,,,,4,25.0,26,17:21,0,0,1,0.0
60,2013-10-29,21-002,CHI,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,16:21,1,0,1,0.0
61,2013-11-02,21-006,CHI,WPG,W,0,0,0,0,0,0,0,0,0,,,,0,,22,15:59,0,1,1,50.0
62,2013-11-03,21-007,CHI,CGY,L-OT,0,0,0,1,0,0,0,0,0,,,,1,0.0,25,16:10,1,3,0,100.0
63,2013-11-06,21-010,CHI,WPG,W,0,0,0,2,0,0,0,0,0,,,,0,,22,18:44,1,0,0,
64,2013-11-09,21-013,CHI,DAL,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,23,15:56,1,1,0,100.0
65,2013-11-10,21-014,CHI,EDM,W,1,1,2,2,2,1,0,0,0,,,,3,33.3,18,15:30,1,2,0,100.0
66,2013-11-14,21-018,CHI,PHX,W,1,0,1,0,0,1,0,0,0,,,,4,25.0,24,18:57,3,2,1,66.7
67,2013-11-16,21-020,CHI,NSH,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,16:39,0,0,0,
68,2013-11-17,21-021,CHI,SJS,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,24,16:50,0,0,0,
69,2013-11-19,21-023,CHI,COL,L,1,0,1,-1,0,1,0,0,0,,,,4,25.0,24,18:44,0,0,0,
70,2013-11-21,21-025,CHI,WPG,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,20,15:40,0,0,3,0.0
71,2013-11-23,21-027,CHI,VAN,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,30,20:48,1,0,0,
72,2013-11-25,21-029,CHI,EDM,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,23,18:04,0,0,0,
