,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-04-05,24-096,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:51,1,0,0,
1,2016-04-07,24-098,WPG,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,11:11,2,0,0,
2,2016-04-09,24-100,WPG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,13:06,4,0,0,
3,2016-10-13,24-287,WPG,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:54,1,0,0,
4,2016-10-15,24-289,WPG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,8:52,0,0,0,
5,2016-10-17,24-291,WPG,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,10:34,3,0,0,
6,2016-10-19,24-293,WPG,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:00,1,0,0,
7,2016-10-23,24-297,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:41,4,0,0,
8,2016-10-25,24-299,WPG,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,9:14,1,0,0,
9,2016-10-27,24-301,WPG,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,9:54,2,0,0,
10,2016-10-28,24-302,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,10:27,2,0,0,
11,2016-10-30,24-304,WPG,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:26,1,0,0,
12,2016-11-01,24-306,WPG,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,12:43,0,0,0,
13,2016-11-03,24-308,WPG,WSH,L-OT,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,19,11:51,1,0,0,
14,2016-11-04,24-309,WPG,DET,W,2,0,2,2,0,2,0,0,1,0,0,0,2,100.0,21,15:08,2,0,0,
15,2016-11-06,24-311,WPG,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:39,4,0,0,
16,2016-11-08,24-313,WPG,DAL,W,0,0,0,0,15,0,0,0,0,0,0,0,4,0.0,27,15:32,5,0,0,
17,2016-11-10,24-315,WPG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,14:48,2,0,0,
18,2016-11-11,24-316,WPG,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11:09,1,0,0,
19,2016-11-13,24-318,WPG,LAK,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,29,14:41,4,0,0,
20,2016-11-15,24-320,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,16:08,3,0,0,
21,2016-11-17,24-322,WPG,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,11:59,3,0,0,
22,2016-11-19,24-324,WPG,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,11:01,6,0,0,
23,2016-11-20,24-325,WPG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,15:26,4,0,0,
24,2016-11-23,24-328,WPG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:00,4,0,0,
25,2016-11-25,24-330,WPG,NSH,L,0,0,0,-1,5,0,0,0,0,0,0,0,2,0.0,25,15:50,4,0,0,
26,2016-11-27,24-332,WPG,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,13:36,1,0,0,
27,2016-11-29,24-334,WPG,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:48,3,0,0,
28,2016-12-01,24-336,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:00,2,0,0,
29,2016-12-03,24-338,WPG,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,11:21,3,0,0,
30,2016-12-04,24-339,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:06,2,0,0,
31,2016-12-06,24-341,WPG,DET,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:51,0,0,0,
32,2016-12-08,24-343,WPG,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,12:55,4,0,0,
33,2016-12-10,24-345,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:13,1,1,0,100.0
34,2016-12-11,24-346,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:04,7,0,0,
35,2016-12-15,24-350,WPG,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,10:13,2,0,0,
36,2016-12-18,24-353,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:22,3,0,0,
37,2016-12-20,24-355,WPG,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:12,3,0,0,
38,2017-01-23,25-023,WPG,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,9,2:55,3,0,0,
39,2017-01-24,25-024,WPG,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,5:48,1,0,0,
40,2017-01-26,25-026,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:47,3,0,0,
41,2017-01-31,25-031,WPG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:05,2,0,0,
42,2017-02-18,25-049,WPG,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:09,4,0,0,
43,2017-02-19,25-050,WPG,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5:24,1,0,0,
44,2017-02-21,25-052,WPG,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:08,2,0,0,
45,2017-03-23,25-082,WPG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:16,6,0,0,
46,2017-03-24,25-083,WPG,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:56,3,0,0,
47,2017-03-26,25-085,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:10,1,0,0,
48,2017-03-28,25-087,WPG,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,8:43,1,0,0,
49,2017-03-30,25-089,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:42,2,0,0,
50,2017-04-01,25-091,WPG,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:22,2,0,0,
51,2017-04-04,25-094,WPG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:41,3,0,0,
52,2017-04-06,25-096,WPG,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:31,3,0,0,
53,2017-04-08,25-098,WPG,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:17,2,0,0,
54,2017-10-04,25-277,WPG,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,8:29,1,0,1,0.0
55,2017-10-07,25-280,WPG,CGY,L,1,0,1,0,2,0,0,1,0,0,0,0,1,100.0,16,9:27,1,0,0,
56,2017-10-09,25-282,WPG,EDM,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,22,12:49,6,0,0,
57,2017-10-12,25-285,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:48,3,0,0,
58,2017-10-14,25-287,WPG,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:38,2,0,0,
59,2017-10-17,25-290,WPG,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,11:17,5,0,0,
60,2017-10-20,25-293,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:18,3,0,0,
61,2017-10-26,25-299,WPG,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:53,1,0,0,
62,2017-10-27,25-300,WPG,CBJ,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,21,12:06,1,0,0,
63,2017-10-29,25-302,WPG,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,14:55,6,1,0,100.0
64,2017-10-31,25-304,WPG,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:51,0,0,1,0.0
65,2017-11-02,25-306,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:06,0,0,0,
66,2017-11-04,25-308,WPG,MTL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,28,16:22,4,0,1,0.0
67,2017-11-06,25-310,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:16,4,0,0,
68,2017-11-10,25-314,WPG,VEG,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,13:52,1,0,0,
69,2017-11-11,25-315,WPG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:34,4,0,0,
70,2017-11-14,25-318,WPG,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:49,2,0,0,
71,2017-11-16,25-320,WPG,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:38,4,0,0,
72,2017-11-18,25-322,WPG,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:40,4,0,0,
73,2017-11-20,25-324,WPG,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:38,3,0,0,
74,2017-11-22,25-326,WPG,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,24,14:35,7,0,0,
75,2017-11-24,25-328,WPG,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,15:22,5,0,0,
76,2017-11-25,25-329,WPG,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,17,11:06,1,0,0,
77,2017-11-27,25-331,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:46,3,0,0,
78,2017-11-29,25-333,WPG,COL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,11:26,3,0,1,0.0
