,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-29,21-218,VAN,DAL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:47,1,1,0,100.0
1,2015-10-30,21-219,VAN,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,10:50,2,1,0,100.0
2,2016-03-03,21-344,VAN,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,13:36,2,0,0,
3,2016-03-05,21-346,VAN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:26,0,0,0,
4,2016-03-07,21-348,VAN,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,10:56,2,1,0,100.0
5,2016-03-09,21-350,VAN,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,10:44,4,0,0,
6,2016-03-16,21-357,VAN,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:19,3,0,0,
7,2016-03-18,21-359,VAN,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,13:42,1,1,0,100.0
8,2016-03-19,21-360,VAN,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:25,3,0,0,
9,2016-03-22,21-363,VAN,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,18,12:32,3,5,10,33.3
10,2016-03-24,21-365,VAN,NSH,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,13:04,0,4,1,80.0
11,2016-03-25,22-000,VAN,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,14:57,2,4,5,44.4
12,2016-03-27,22-002,VAN,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:20,1,3,6,33.3
13,2016-03-29,22-004,VAN,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:06,1,4,5,44.4
14,2016-03-31,22-006,VAN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:06,2,6,1,85.7
15,2016-04-01,22-007,VAN,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,15:42,0,1,5,16.7
16,2016-04-04,22-010,VAN,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:07,3,0,6,0.0
17,2016-04-06,22-012,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:05,2,11,6,64.7
