,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2003-10-08,18-213,MIN,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,16:01,,,,
1,2003-10-10,18-215,MIN,NYR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,22,13:31,,,,
2,2003-10-12,18-217,MIN,SJS,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,30,18:34,,,,
3,2003-10-16,18-221,MIN,COL,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,28,17:04,,,,
4,2003-10-18,18-223,MIN,VAN,T,0,0,0,0,0,0,0,0,0,,,,0,,24,15:17,,,,
5,2003-10-19,18-224,MIN,DAL,L,0,1,1,-2,0,0,0,0,0,,,,0,,19,11:51,,,,
6,2003-10-21,18-226,MIN,CGY,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,15:16,,,,
7,2003-10-24,18-229,MIN,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,13,7:07,,,,
8,2003-10-25,18-230,MIN,TBL,L,0,0,0,0,0,0,0,0,0,,,,0,,4,2:26,,,,
9,2003-11-15,18-251,MIN,DET,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,12:51,,,,
10,2003-11-20,18-256,MIN,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,20,13:33,,,,
11,2003-11-22,18-258,MIN,DET,L,0,1,1,0,0,0,0,0,0,,,,0,,21,15:32,,,,
12,2003-11-26,18-262,MIN,DAL,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,9:49,,,,
13,2003-11-28,18-264,MIN,SJS,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,17,11:31,,,,
14,2003-12-05,18-271,MIN,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,19,12:14,,,,
15,2004-01-12,18-309,MIN,NSH,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,10:01,,,,
16,2004-01-17,18-314,MIN,STL,T,0,0,0,0,0,0,0,0,0,,,,0,,20,12:46,,,,
17,2004-01-21,18-318,MIN,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,8:57,,,,
18,2004-01-24,18-321,MIN,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,14:06,,,,
19,2004-01-26,18-323,MIN,LAK,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,22,12:39,,,,
20,2004-01-31,18-328,MIN,CBJ,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,13:06,,,,
21,2004-02-27,18-355,MIN,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,21,15:20,,,,
22,2004-02-29,18-357,MIN,CAR,T,0,0,0,-2,0,0,0,0,0,,,,0,,14,9:49,,,,
23,2004-03-03,18-360,MIN,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,17,11:44,,,,
24,2004-03-07,18-364,MIN,PHX,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,12:42,,,,
25,2004-03-09,19-000,MIN,SJS,W,0,0,0,1,0,0,0,0,0,,,,0,,18,13:09,,,,
26,2004-03-10,19-001,MIN,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:06,,,,
27,2004-03-14,19-005,MIN,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,16:56,,,,
28,2004-03-16,19-007,MIN,OTT,W,0,0,0,-1,0,0,0,0,0,,,,0,,24,13:45,,,,
29,2004-03-19,19-010,MIN,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,13:20,,,,
30,2004-03-22,19-013,MIN,PHX,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:36,,,,
31,2004-03-28,19-019,MIN,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:56,,,,
32,2004-03-29,19-020,MIN,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,17:16,,,,
33,2004-03-31,19-022,MIN,COL,W,0,0,0,-2,0,0,0,0,0,,,,4,0.0,26,16:51,,,,
34,2004-04-02,19-024,MIN,DAL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,27,19:11,,,,
35,2004-04-04,19-026,MIN,STL,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,27,20:28,,,,
36,2005-10-05,20-210,MIN,CGY,W,1,0,1,1,2,0,1,0,0,,,,1,100.0,28,20:17,,,,
37,2005-10-08,20-213,MIN,PHX,L,0,0,0,-1,0,0,0,0,0,,,,0,,26,22:04,,,,
38,2005-10-09,20-214,MIN,LAK,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,30,24:44,,,,
39,2005-10-12,20-217,MIN,VAN,W,0,0,0,2,0,0,0,0,0,,,,0,,27,17:35,,,,
40,2005-10-14,20-219,MIN,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,14:45,,,,
41,2005-10-16,20-221,MIN,MDA,W,0,1,1,0,2,0,0,0,0,,,,0,,26,12:58,,,,
42,2005-10-19,20-224,MIN,SJS,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,23,14:18,,,,
43,2005-10-22,20-227,MIN,STL,W,0,1,1,1,0,0,0,0,0,,,,0,,23,16:22,,,,
44,2005-10-23,20-228,MIN,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,17:25,,,,
45,2005-10-25,20-230,MIN,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,25,18:54,,,,
46,2005-10-28,20-233,MIN,CBJ,L-SO,0,0,0,0,4,0,0,0,0,,,,1,0.0,27,19:46,,,,
47,2005-10-29,20-234,MIN,CBJ,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,22,12:58,,,,
48,2005-11-01,20-237,MIN,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,26,19:10,,,,
49,2005-11-02,20-238,MIN,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,14:57,,,,
50,2005-11-05,20-241,MIN,SJS,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,17,11:16,,,,
51,2005-11-06,20-242,MIN,MDA,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,13,8:57,,,,
52,2005-11-08,20-244,MIN,PHX,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,26,16:51,,,,
53,2005-11-11,20-247,MIN,DET,L,0,1,1,-1,0,0,0,0,0,,,,0,,18,13:44,,,,
54,2005-11-14,20-250,MIN,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,21,13:11,,,,
55,2005-11-19,20-255,MIN,NSH,W,0,0,0,0,0,0,0,0,0,,,,0,,20,14:48,,,,
56,2005-11-23,20-259,MIN,EDM,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,14:01,,,,
57,2005-11-25,20-261,MIN,STL,W,0,0,0,0,2,0,0,0,0,,,,4,0.0,18,12:54,,,,
58,2005-11-30,20-266,MIN,CBJ,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,14,10:37,,,,
59,2005-12-03,20-269,MIN,NJD,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,17,10:47,,,,
60,2005-12-05,20-271,MIN,NYR,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,21,14:51,,,,
61,2005-12-08,20-274,MIN,PIT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,12:32,,,,
62,2005-12-10,20-276,MIN,PHI,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,19,13:33,,,,
63,2005-12-11,20-277,MIN,BUF,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,13:26,,,,
64,2005-12-13,20-279,MIN,NYI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,15:33,,,,
65,2005-12-15,20-281,MIN,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,13:02,,,,
66,2005-12-17,20-283,MIN,MTL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,11:29,,,,
67,2005-12-19,20-285,MIN,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,18,7:42,,,,
68,2005-12-22,20-288,MIN,COL,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,15,7:32,,,,
69,2005-12-23,20-289,MIN,COL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,13,9:16,,,,
70,2005-12-26,20-292,MIN,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:03,,,,
71,2005-12-28,20-294,MIN,EDM,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,11:08,,,,
72,2005-12-29,20-295,MIN,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:45,,,,
73,2006-01-03,20-300,MIN,DET,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,12,9:35,,,,
74,2006-01-07,20-304,MIN,MDA,W,0,1,1,1,2,0,0,0,0,,,,0,,21,10:54,,,,
75,2006-01-09,20-306,MIN,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,7:44,,,,
76,2006-01-16,20-313,MIN,OTT,L,0,0,0,-3,2,0,0,0,0,,,,2,0.0,19,9:22,,,,
77,2006-01-18,20-315,MIN,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:05,,,,
