,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-05-06,22-290,BUF,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,11:10,1,0,0,
1,2021-05-08,22-292,BUF,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:05,2,0,0,
2,2021-10-31,23-103,BUF,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,11:06,1,0,0,
3,2021-11-26,23-129,BUF,MTL,W,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,18,13:35,0,0,0,
4,2021-11-27,23-130,BUF,DET,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,12:50,0,0,0,
5,2021-11-29,23-132,BUF,SEA,L,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,21,15:48,4,0,0,
6,2021-12-02,23-135,BUF,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:33,0,0,0,
7,2021-12-04,23-137,BUF,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,12:51,0,0,0,
8,2021-12-07,23-140,BUF,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:53,1,0,0,
9,2021-12-10,23-143,BUF,NYR,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,14:09,1,0,0,
10,2021-12-11,23-144,BUF,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:22,0,0,0,
11,2021-12-14,23-147,BUF,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,15:20,0,0,0,
12,2021-12-16,23-149,BUF,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,16:30,2,0,0,
13,2021-12-17,23-150,BUF,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:39,2,0,0,
14,2021-12-29,23-162,BUF,NJD,L,0,0,0,-2,17,0,0,0,0,0,0,0,1,0.0,14,11:08,0,0,0,
15,2021-12-30,23-163,BUF,NYI,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,14,12:07,0,0,0,
16,2022-01-01,23-165,BUF,BOS,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,0,,23,14:32,5,0,0,
17,2022-01-06,23-170,BUF,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:39,0,0,0,
18,2022-01-11,23-175,BUF,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,9:55,0,0,0,
19,2022-01-18,23-182,BUF,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:56,1,0,0,
20,2022-01-22,23-186,BUF,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:51,0,0,0,
21,2023-12-11,25-144,BUF,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:47,3,1,0,100.0
22,2023-12-15,25-148,BUF,VEG,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,8,5:09,2,0,0,
