,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-24,20-343,CAR,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,16:58,1,0,0,
1,2015-10-27,20-346,CAR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,15:40,1,0,0,
2,2015-10-29,20-348,CAR,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,20:41,1,0,0,
3,2015-10-30,20-349,CAR,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,20:51,0,0,0,
4,2015-11-01,20-351,CAR,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,28,20:34,0,0,0,
5,2015-11-06,20-356,CAR,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,17:09,1,0,0,
6,2015-11-07,20-357,CAR,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,17:31,1,0,0,
7,2015-11-10,20-360,CAR,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,19:20,1,0,0,
8,2015-11-12,20-362,CAR,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:11,0,0,0,
9,2015-11-14,20-364,CAR,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,18:55,0,0,0,
10,2015-11-16,21-001,CAR,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:31,0,0,0,
11,2015-11-20,21-005,CAR,TOR,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,31,21:07,0,0,0,
12,2015-11-22,21-007,CAR,LAK,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,23,18:06,2,0,0,
13,2015-11-23,21-008,CAR,PHI,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,30,23:06,2,0,0,
14,2015-11-25,21-010,CAR,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,20:15,0,0,0,
15,2015-11-27,21-012,CAR,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,20:42,0,0,0,
16,2015-11-30,21-015,CAR,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,19:17,1,0,0,
17,2015-12-03,21-018,CAR,NJD,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,25,16:24,1,0,0,
18,2015-12-05,21-020,CAR,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,24,16:59,1,0,0,
19,2015-12-06,21-021,CAR,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,19:22,0,0,0,
20,2015-12-08,21-023,CAR,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,30,18:39,0,0,0,
21,2015-12-11,21-026,CAR,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,18:43,1,0,0,
22,2015-12-12,21-027,CAR,ARI,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,30,20:45,0,0,0,
23,2015-12-15,21-030,CAR,PHI,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,25,21:39,0,0,0,
24,2015-12-18,21-033,CAR,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,19:54,0,0,0,
25,2015-12-19,21-034,CAR,PIT,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,19,15:59,1,0,0,
26,2015-12-21,21-036,CAR,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,15:00,0,0,0,
27,2015-12-26,21-041,CAR,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,28,19:49,0,0,0,
28,2015-12-27,21-042,CAR,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,20,14:24,0,0,0,
29,2015-12-29,21-044,CAR,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,19:46,0,0,0,
30,2015-12-31,21-046,CAR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,17:10,0,0,0,
31,2016-01-02,21-048,CAR,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:37,0,0,0,
32,2016-01-04,21-050,CAR,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:33,2,0,0,
33,2016-01-06,21-052,CAR,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:47,0,0,0,
34,2016-01-08,21-054,CAR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:56,2,0,0,
35,2016-01-09,21-055,CAR,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,21:01,0,0,0,
36,2016-01-12,21-058,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:37,0,0,0,
37,2016-01-14,21-060,CAR,STL,W,1,0,1,2,0,0,1,0,1,0,0,0,1,100.0,22,15:45,0,0,0,
38,2016-01-21,21-067,CAR,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,15:54,0,0,0,
39,2016-01-22,21-068,CAR,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,17:23,1,0,0,
40,2016-01-26,21-072,CAR,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,15:02,1,0,0,
41,2016-02-12,21-089,CAR,PIT,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,19:46,0,0,0,
42,2016-02-13,21-090,CAR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,21:02,1,0,0,
43,2016-02-16,21-093,CAR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,27,22:23,1,0,0,
44,2016-02-18,21-095,CAR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,21:55,0,0,0,
45,2016-02-19,21-096,CAR,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,28,20:11,1,0,0,
46,2016-02-21,21-098,CAR,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,22:22,0,0,0,
47,2016-02-23,21-100,CAR,PHI,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,24,19:32,0,0,0,
48,2016-02-25,21-102,CAR,TOR,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:15,0,0,0,
49,2016-02-26,21-103,CAR,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,16:26,2,0,1,0.0
50,2016-02-28,21-105,CAR,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,18:52,0,0,0,
51,2016-03-01,21-107,CAR,NJD,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,23,20:09,0,0,0,
52,2016-03-05,21-111,CAR,TBL,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,0,,26,19:57,1,0,0,
53,2016-03-08,21-114,CAR,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,18:09,0,0,0,
54,2016-03-10,21-116,CAR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:42,0,0,0,
55,2016-03-12,21-118,CAR,BUF,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,18:40,0,0,0,
56,2016-03-15,21-121,CAR,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,22:32,0,0,0,
57,2016-03-17,21-123,CAR,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,18:24,0,0,0,
58,2016-03-19,21-125,CAR,MIN,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,21:45,0,0,0,
59,2016-03-22,21-128,CAR,BUF,L,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,28,19:11,0,0,0,
60,2016-03-24,21-130,CAR,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,17:48,0,0,0,
61,2016-03-26,21-132,CAR,NYI,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,25,19:48,0,0,0,
62,2016-03-27,21-133,CAR,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:55,0,0,0,
63,2016-03-29,21-135,CAR,NYI,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,19:06,0,0,0,
64,2016-03-31,21-137,CAR,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,20:08,2,0,0,
65,2016-04-02,21-139,CAR,CBJ,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,28,19:41,0,0,0,
66,2016-04-05,21-142,CAR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,17:15,0,0,0,
67,2016-04-07,21-144,CAR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,20:48,0,0,0,
68,2016-04-09,21-146,CAR,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,20:16,1,0,0,
69,2016-10-13,21-333,CAR,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,20:03,0,0,0,
70,2016-10-16,21-336,CAR,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,23:33,1,0,0,
71,2016-10-18,21-338,CAR,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,19:38,0,0,0,
72,2016-10-20,21-340,CAR,CGY,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,27,17:13,0,0,0,
73,2016-10-22,21-342,CAR,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,22:00,0,0,0,
74,2016-10-25,21-345,CAR,DET,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,26,18:41,1,0,0,
75,2016-10-28,21-348,CAR,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,19:10,1,0,0,
76,2016-10-30,21-350,CAR,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,20:22,3,0,0,
77,2016-11-01,21-352,CAR,OTT,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,18:40,1,0,0,
78,2016-11-05,21-356,CAR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,18:21,0,0,0,
79,2016-11-06,21-357,CAR,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,19:24,1,0,0,
80,2016-11-08,21-359,CAR,NJD,L-SO,0,1,1,-1,2,0,0,0,0,0,1,0,0,,32,24:18,2,0,0,
81,2016-11-10,21-361,CAR,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,28,22:43,0,0,0,
82,2016-11-12,21-363,CAR,WSH,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,24,20:17,0,0,0,
83,2016-11-15,22-000,CAR,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,20:04,1,0,0,
84,2016-11-18,22-003,CAR,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:28,1,0,0,
85,2016-11-20,22-005,CAR,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:23,1,0,0,
86,2016-11-22,22-007,CAR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,20:16,0,0,0,
87,2016-11-24,22-009,CAR,MTL,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,17:40,1,0,0,
88,2016-11-26,22-011,CAR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,21:12,0,0,0,
89,2016-11-27,22-012,CAR,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,21:44,1,0,0,
90,2016-11-29,22-014,CAR,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,21:30,0,0,0,
91,2016-12-01,22-016,CAR,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,30,21:02,1,0,0,
92,2016-12-03,22-018,CAR,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,24,25:36,1,0,0,
93,2016-12-04,22-019,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,24:17,2,0,0,
94,2016-12-07,22-022,CAR,ANA,L-SO,1,0,1,3,0,1,0,0,0,0,0,0,4,25.0,29,23:33,0,0,0,
95,2016-12-08,22-023,CAR,LAK,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,22:17,2,0,0,
96,2016-12-10,22-025,CAR,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,20:56,0,0,0,
97,2016-12-13,22-028,CAR,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,30,24:39,0,0,0,
98,2016-12-16,22-031,CAR,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:29,1,0,0,
