,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-16,21-256,CAR,DET,W,1,1,2,0,0,1,0,0,0,1,0,0,2,50.0,23,15:21,1,0,0,
1,2015-10-17,21-257,CAR,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,13:38,2,0,0,
2,2015-10-21,21-261,CAR,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,15:06,0,0,0,
3,2015-10-23,21-263,CAR,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:40,3,0,0,
4,2015-10-24,21-264,CAR,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,14,10:57,3,0,0,
5,2015-10-27,21-267,CAR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:28,0,0,0,
6,2015-10-29,21-269,CAR,NYI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,12,8:11,0,0,0,
7,2015-10-30,21-270,CAR,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:53,1,0,0,
8,2015-11-01,21-272,CAR,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,10:08,0,0,0,
9,2015-11-06,21-277,CAR,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,13,9:13,2,0,0,
10,2015-11-07,21-278,CAR,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,8,5:38,3,0,0,
11,2015-11-10,21-281,CAR,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,7:41,1,0,0,
12,2015-12-05,21-306,CAR,MTL,W,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,21,15:05,5,0,0,
13,2015-12-06,21-307,CAR,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,7:51,0,0,0,
14,2016-01-04,21-336,CAR,EDM,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,12:43,1,0,0,
15,2016-01-08,21-340,CAR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:28,2,0,0,
16,2016-01-09,21-341,CAR,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,9:58,1,0,0,
17,2016-01-12,21-344,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:45,2,0,0,
18,2016-01-14,21-346,CAR,STL,W,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,15,11:39,0,0,1,0.0
19,2016-03-01,22-028,CAR,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:27,0,0,0,
20,2016-03-05,22-032,CAR,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:02,1,0,0,
21,2016-11-12,22-284,CAR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:15,1,0,0,
22,2016-11-15,22-287,CAR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:43,2,0,0,
23,2016-11-18,22-290,CAR,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:58,0,0,1,0.0
24,2016-11-20,22-292,CAR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:49,3,0,0,
25,2016-11-22,22-294,CAR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:33,1,0,1,0.0
26,2016-11-24,22-296,CAR,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,7:50,0,0,0,
27,2016-12-01,22-303,CAR,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:27,0,0,0,
28,2016-12-03,22-305,CAR,NYR,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,9:04,1,0,0,
29,2016-12-04,22-306,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:14,1,0,0,
30,2016-12-07,22-309,CAR,ANA,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,10:38,2,0,0,
31,2016-12-08,22-310,CAR,LAK,W,1,1,2,2,2,1,0,0,0,0,0,1,4,25.0,22,13:18,1,0,0,
32,2016-12-10,22-312,CAR,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:30,2,0,0,
33,2016-12-13,22-315,CAR,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:35,1,0,0,
34,2016-12-16,22-318,CAR,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,9:17,1,1,0,100.0
35,2016-12-17,22-319,CAR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:29,2,0,0,
36,2016-12-22,22-324,CAR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,15:54,3,0,0,
37,2016-12-23,22-325,CAR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:46,1,0,0,
38,2016-12-28,22-330,CAR,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,27,18:59,3,0,0,
39,2016-12-30,22-332,CAR,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,17:39,3,0,0,
40,2016-12-31,22-333,CAR,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:16,1,0,1,0.0
41,2017-01-03,22-336,CAR,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,11:08,0,0,0,
42,2017-01-05,22-338,CAR,STL,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,23,12:58,1,0,0,
43,2017-01-06,22-339,CAR,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:10,1,0,0,
44,2017-01-08,22-341,CAR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:55,0,0,0,
45,2017-01-10,22-343,CAR,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,16:08,0,0,0,
46,2017-01-13,22-346,CAR,BUF,W,2,0,2,2,0,2,0,0,1,0,0,0,3,66.7,21,14:07,2,0,0,
47,2017-01-14,22-347,CAR,NYI,W,1,3,4,2,0,1,0,0,0,3,0,0,3,33.3,22,15:25,2,0,0,
48,2017-01-17,22-350,CAR,CBJ,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,19,11:04,0,0,0,
49,2017-01-20,22-353,CAR,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,16:43,2,0,0,
