,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-03,20-338,COL,CGY,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,26,22:23,1,0,0,
1,2019-10-05,20-340,COL,MIN,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,23,18:01,1,0,0,
2,2019-10-10,20-345,COL,BOS,W,0,1,1,1,0,0,0,0,0,0,1,0,0,,22,17:27,1,0,0,
3,2019-10-12,20-347,COL,ARI,W,0,2,2,-1,0,0,0,0,0,1,1,0,3,0.0,26,21:30,1,0,0,
4,2019-10-14,20-349,COL,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,17:02,0,0,0,
5,2019-10-16,20-351,COL,PIT,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,23:53,2,0,0,
6,2019-10-18,20-353,COL,FLA,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,14:09,1,0,0,
7,2019-10-19,20-354,COL,TBL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,14:46,0,0,0,
8,2019-10-21,20-356,COL,STL,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,22,18:22,0,0,0,
9,2019-10-25,20-360,COL,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,17:09,1,0,0,
10,2019-10-26,20-361,COL,ANA,L,0,1,1,-1,0,0,0,0,0,0,1,0,6,0.0,26,19:09,2,0,0,
11,2019-10-30,21-000,COL,FLA,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,20:30,1,0,0,
12,2019-11-01,21-002,COL,DAL,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,28,21:48,0,0,0,
13,2019-11-02,21-003,COL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,19:14,2,0,0,
14,2019-11-05,21-006,COL,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,22:53,0,0,0,
15,2019-11-07,21-008,COL,NSH,W,1,2,3,1,0,1,0,0,0,1,1,0,4,25.0,27,19:50,1,0,0,
16,2019-11-09,21-010,COL,CBJ,W,2,0,2,1,0,2,0,0,1,0,0,0,7,28.6,25,16:56,0,0,0,
17,2019-11-12,21-013,COL,WPG,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100.0,24,19:56,0,0,0,
18,2019-11-14,21-015,COL,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,22:02,0,0,0,
19,2019-11-16,21-017,COL,VAN,W,0,4,4,3,0,0,0,0,0,3,1,0,0,,27,22:54,0,0,0,
20,2019-11-19,21-020,COL,CGY,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,23,19:01,0,0,0,
21,2019-11-21,21-022,COL,MIN,L,2,0,2,0,0,1,1,0,0,0,0,0,5,40.0,27,24:41,1,0,0,
22,2019-11-23,21-024,COL,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,26,27:45,1,0,0,
23,2019-11-27,21-028,COL,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,24:31,0,0,0,
24,2019-11-29,21-030,COL,CHI,W,1,0,1,2,0,0,1,0,1,0,0,0,2,50.0,27,19:43,1,0,0,
25,2019-11-30,21-031,COL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,18:34,0,0,0,
26,2019-12-04,21-035,COL,TOR,W,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,25,23:39,0,0,0,
27,2019-12-05,21-036,COL,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,25,21:05,1,0,0,
28,2019-12-07,21-038,COL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,16:01,1,0,0,
29,2019-12-27,21-058,COL,MIN,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,26,23:23,1,0,0,
30,2019-12-28,21-059,COL,DAL,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,27,25:27,0,0,0,
31,2019-12-31,21-062,COL,WPG,L,0,0,0,-4,0,0,0,0,0,0,0,0,6,0.0,25,21:22,1,0,0,
