,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-03-21,22-177,NSH,CGY,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,23,16:20,0,7,10,41.2
1,2014-03-23,22-179,NSH,CHI,W,0,1,1,1,0,0,0,0,0,,,,0,,21,13:46,0,2,11,15.4
2,2014-03-25,22-181,NSH,COL,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,25,15:09,0,3,8,27.3
3,2014-03-27,22-183,NSH,BUF,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,20,13:04,1,6,7,46.2
4,2014-03-28,22-184,NSH,DAL,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,28,16:04,0,8,10,44.4
5,2014-03-30,22-186,NSH,WSH,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,27,13:42,0,3,6,33.3
6,2014-04-04,22-191,NSH,ANA,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:52,1,6,8,42.9
7,2014-04-05,22-192,NSH,SJS,W,0,1,1,1,2,0,0,0,0,,,,0,,24,12:16,0,1,8,11.1
8,2014-04-08,22-195,NSH,DAL,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,22,13:53,0,5,3,62.5
9,2014-04-10,22-197,NSH,PHX,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,25,14:12,0,9,6,60.0
10,2014-04-12,22-199,NSH,CHI,W,0,0,0,-2,0,0,0,0,0,,,,0,,18,12:09,0,6,6,50.0
11,2014-04-13,22-200,NSH,MIN,W,1,2,3,3,0,1,0,0,0,,,,3,33.3,22,13:22,0,2,6,25.0
12,2014-10-09,23-014,NSH,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:07,1,3,2,60.0
13,2014-10-11,23-016,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:04,0,2,2,50.0
14,2014-10-14,23-019,NSH,CGY,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:06,1,7,6,53.8
15,2014-10-17,23-022,NSH,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:17,0,2,4,33.3
16,2014-10-18,23-023,NSH,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,14:33,1,6,6,50.0
17,2014-10-21,23-026,NSH,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,25,14:41,2,2,9,18.2
18,2014-10-23,23-028,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:09,0,5,5,50.0
19,2014-10-25,23-030,NSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,13:30,0,1,2,33.3
20,2014-11-06,23-042,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:11,0,2,7,22.2
21,2014-11-08,23-044,NSH,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:52,0,3,6,33.3
