,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-07,23-247,TOR,NYR,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,14:32,0,0,0,
1,2017-10-09,23-249,TOR,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,23,13:31,1,0,0,
2,2017-10-11,23-251,TOR,NJD,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,18,11:51,0,0,0,
3,2017-10-17,23-257,TOR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:15,0,0,0,
4,2019-04-01,25-058,TOR,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,9:37,0,0,0,
5,2019-04-02,25-059,TOR,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,18:23,1,0,0,
6,2019-04-04,25-061,TOR,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,18:39,0,0,0,
7,2019-04-06,25-063,TOR,MTL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,33,20:10,0,0,0,
8,2019-11-27,25-298,COL,EDM,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,15:43,0,0,0,
9,2019-11-29,25-300,COL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,16:03,0,0,0,
10,2019-11-30,25-301,COL,CHI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,20,14:24,2,0,0,
11,2019-12-04,25-305,COL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:50,0,0,0,
12,2019-12-09,25-310,COL,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:08,0,0,0,
13,2019-12-11,25-312,COL,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,12:23,0,0,0,
14,2019-12-13,25-314,COL,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,16:48,0,0,0,
15,2019-12-16,25-317,COL,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,10:15,1,0,0,
16,2020-02-27,26-025,TOR,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,8:44,0,0,0,
17,2020-02-29,26-027,TOR,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:19,0,0,0,
18,2020-03-03,26-030,TOR,SJS,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,22,16:36,0,0,0,
19,2020-03-06,26-033,TOR,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,17:42,0,0,0,
20,2021-11-07,27-278,STL,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,15:52,0,0,0,
21,2021-11-09,27-280,STL,WPG,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,22,12:16,0,0,0,
22,2021-11-11,27-282,STL,NSH,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,32,21:33,0,0,0,
23,2021-11-13,27-284,STL,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,17:00,0,0,0,
24,2021-11-14,27-285,STL,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,18:15,0,0,0,
25,2022-01-13,27-345,STL,SEA,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,8:24,0,0,0,
26,2022-03-28,28-054,STL,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:47,0,0,0,
27,2022-03-30,28-056,STL,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,10:53,1,0,0,
28,2022-04-01,28-058,STL,EDM,L-OT,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,22,13:07,2,0,0,
29,2022-04-02,28-059,STL,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:19,0,0,0,
30,2022-04-04,28-061,STL,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,15:05,1,0,0,
31,2022-04-06,28-063,STL,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,12:03,0,0,0,
32,2022-04-09,28-066,STL,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,16:46,0,0,0,
33,2022-04-17,28-074,STL,NSH,W,2,1,3,4,0,2,0,0,0,1,0,0,2,100.0,38,21:56,1,0,0,
34,2022-04-21,28-078,STL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:57,0,0,0,
35,2022-04-23,28-080,STL,ARI,W,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,23,15:41,0,0,0,
36,2022-04-26,28-083,STL,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,10:20,1,0,0,
37,2022-04-29,28-086,STL,VEG,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,21,13:40,0,0,0,
38,2022-10-22,28-262,STL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:19,1,0,0,
39,2022-10-27,28-267,STL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,13:10,1,0,0,
40,2022-10-31,28-271,STL,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,13:00,1,0,0,
41,2022-11-10,28-281,STL,SJS,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,20,12:36,0,0,0,
42,2022-11-12,28-283,STL,VEG,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,18,11:59,0,0,0,
43,2022-11-14,28-285,STL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,14:04,0,0,0,
44,2022-11-16,28-287,STL,CHI,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,27,18:27,0,0,0,
45,2022-11-17,28-288,STL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,19:24,1,0,0,
46,2022-11-19,28-290,STL,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,18:47,0,0,0,
