,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-04,24-229,CBJ,BOS,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,6,3:16,2,0,0,
1,2022-04-05,24-230,CBJ,PHI,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,14,9:10,2,0,0,
2,2022-04-07,24-232,CBJ,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:43,2,0,0,
3,2022-04-09,24-234,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5:16,4,0,0,
4,2022-04-13,24-238,CBJ,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,9:05,4,0,0,
5,2022-04-16,24-241,CBJ,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,8:31,3,0,0,
6,2022-04-17,24-242,CBJ,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:35,2,0,0,
7,2022-04-19,24-244,CBJ,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:15,1,0,0,
8,2022-04-22,24-247,CBJ,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,6:54,2,0,0,
9,2022-04-24,24-249,CBJ,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:02,2,0,0,
10,2022-04-26,24-251,CBJ,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:47,2,0,0,
11,2022-04-28,24-253,CBJ,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,8:32,1,0,0,
12,2022-04-29,24-254,CBJ,PIT,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,11,8:51,0,0,0,
13,2022-11-25,25-099,CBJ,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:16,1,0,0,
14,2022-11-28,25-102,CBJ,VEG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:13,1,0,0,
15,2022-12-02,25-106,CBJ,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:06,2,0,0,
16,2022-12-04,25-108,CBJ,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:50,2,0,0,
17,2022-12-19,25-123,CBJ,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,12:08,3,0,0,
18,2022-12-20,25-124,CBJ,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:57,1,0,0,
19,2022-12-23,25-127,CBJ,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:53,1,0,0,
20,2022-12-29,25-133,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:52,0,0,0,
21,2022-12-31,25-135,CBJ,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:06,1,0,0,
22,2023-01-05,25-140,CBJ,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,12:05,1,0,0,
23,2023-01-07,25-142,CBJ,CAR,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,12,8:10,1,0,0,
24,2023-01-08,25-143,CBJ,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,9:54,3,0,0,
25,2023-01-10,25-145,CBJ,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,8,6:54,5,0,0,
26,2023-04-11,25-236,CBJ,PHI,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,16,11:41,4,0,0,
27,2024-03-12,26-207,CBJ,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,13,9:55,3,0,0,
28,2024-03-14,26-209,CBJ,OTT,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,10:58,1,0,0,
29,2024-03-16,26-211,CBJ,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:40,7,0,0,
30,2024-03-17,26-212,CBJ,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,15:20,1,0,0,
31,2024-03-19,26-214,CBJ,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,10:28,1,0,0,
32,2024-03-22,26-217,CBJ,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:52,2,0,0,
33,2024-03-23,26-218,CBJ,VEG,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,13,11:11,6,0,0,
34,2024-03-26,26-221,CBJ,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:19,5,0,0,
35,2024-03-28,26-223,CBJ,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:35,2,0,0,
36,2024-03-30,26-225,CBJ,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4,4:37,1,0,0,
37,2024-04-01,26-227,CBJ,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:55,2,0,0,
38,2024-04-04,26-230,CBJ,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:07,2,0,0,
39,2024-04-06,26-232,CBJ,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:19,3,0,0,
40,2024-04-09,26-235,CBJ,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1:26,1,0,0,
