,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-03,24-050,TBL,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:55,0,0,2,0.0
1,2019-10-05,24-052,TBL,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,12,9:18,0,0,0,
2,2019-10-06,24-053,TBL,CAR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,12:56,0,0,0,
3,2019-10-10,24-057,TBL,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:21,0,3,7,30.0
4,2019-10-12,24-059,TBL,OTT,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:25,0,0,0,
5,2019-10-15,24-062,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:00,0,0,1,0.0
6,2019-10-17,24-064,TBL,BOS,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,8:42,0,2,2,50.0
7,2019-10-19,24-066,TBL,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,13,8:51,0,8,1,88.9
8,2019-10-29,24-076,TBL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:45,0,0,2,0.0
9,2019-10-30,24-077,TBL,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:30,0,0,0,
10,2019-11-14,24-092,TBL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:20,1,0,0,
11,2019-11-16,24-094,TBL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,9:08,0,0,0,
12,2019-11-19,24-097,TBL,STL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,6:22,1,0,0,
13,2019-11-25,24-103,TBL,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:22,1,0,0,
14,2019-11-30,24-108,TBL,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:19,0,1,0,100.0
15,2019-12-03,24-111,TBL,NSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,9,5:19,0,0,0,
16,2019-12-07,24-115,TBL,SJS,W,1,2,3,3,0,1,0,0,0,2,0,0,4,25.0,15,12:38,1,0,0,
17,2019-12-09,24-117,TBL,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,9:56,0,0,0,
18,2019-12-10,24-118,TBL,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,13,9:30,3,0,0,
19,2019-12-12,24-120,TBL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:22,0,0,0,
20,2019-12-14,24-122,TBL,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:27,0,0,1,0.0
21,2019-12-17,24-125,TBL,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:34,0,0,0,
22,2019-12-19,24-127,TBL,DAL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,13,8:38,1,0,0,
23,2019-12-23,24-131,TBL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:07,0,0,0,
24,2019-12-31,24-139,TBL,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:40,0,0,0,
25,2020-01-02,24-141,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:19,0,0,0,
26,2020-01-04,24-143,TBL,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,12,8:50,2,0,0,
27,2020-01-05,24-144,TBL,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,9:40,1,0,0,
28,2020-01-07,24-146,TBL,VAN,W,3,0,3,2,0,2,1,0,0,0,0,0,7,42.9,19,11:43,1,0,0,
29,2020-01-09,24-148,TBL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:46,0,0,0,
30,2020-01-11,24-150,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:17,1,0,0,
31,2020-01-12,24-151,TBL,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,6:55,0,0,1,0.0
32,2020-01-14,24-153,TBL,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:08,0,0,0,
33,2020-01-16,24-155,TBL,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:53,0,0,0,
34,2020-01-17,24-156,TBL,WPG,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,11:57,2,0,0,
35,2020-01-27,24-166,TBL,DAL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,5:56,0,0,0,
36,2020-01-29,24-168,TBL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:41,2,0,0,
37,2020-01-31,24-170,TBL,ANA,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,12,8:14,1,0,0,
38,2020-02-01,24-171,TBL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:16,1,0,0,
