,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-29,19-127,BUF,DET,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,18,12:53,0,5,3,62.5
1,2018-03-31,19-129,BUF,NSH,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,13:59,1,3,5,37.5
2,2018-04-02,19-131,BUF,TOR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,12:01,1,1,4,20.0
3,2018-04-04,19-133,BUF,OTT,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,16:29,0,1,1,50.0
4,2018-04-06,19-135,BUF,TBL,L,1,0,1,1,0,0,1,0,0,0,0,0,4,25.0,19,13:32,0,2,1,66.7
5,2018-04-07,19-136,BUF,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,15:13,0,5,5,50.0
6,2018-10-04,19-316,BUF,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:03,0,5,3,62.5
7,2018-10-06,19-318,BUF,NYR,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,17,11:06,1,3,4,42.9
8,2018-10-08,19-320,BUF,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:34,0,0,4,0.0
9,2018-10-11,19-323,BUF,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:37,2,5,7,41.7
10,2018-10-13,19-325,BUF,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,13:09,0,2,6,25.0
11,2018-10-16,19-328,BUF,VEG,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,17:54,0,1,6,14.3
12,2018-10-18,19-330,BUF,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:03,1,3,4,42.9
13,2018-10-20,19-332,BUF,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:20,0,3,6,33.3
14,2018-10-21,19-333,BUF,ANA,W,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,15,14:44,0,2,1,66.7
15,2018-10-25,19-337,BUF,MTL,W,0,1,1,-2,0,0,0,0,0,0,1,0,4,0.0,17,13:16,0,3,2,60.0
16,2018-10-27,19-339,BUF,CBJ,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,13,9:44,0,1,3,25.0
17,2018-10-30,19-342,BUF,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:56,2,7,3,70.0
18,2018-11-01,19-344,BUF,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,15:28,0,4,3,57.1
19,2018-11-03,19-346,BUF,OTT,W,1,1,2,2,0,1,0,0,0,0,1,0,2,50.0,22,18:06,0,3,5,37.5
20,2018-11-04,19-347,BUF,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:09,0,4,5,44.4
21,2018-11-08,19-351,BUF,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,12:39,0,3,5,37.5
22,2018-11-10,19-353,BUF,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,14:17,0,4,3,57.1
23,2018-11-13,19-356,BUF,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:39,0,4,3,57.1
24,2018-11-16,19-359,BUF,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:48,0,1,4,20.0
25,2018-11-17,19-360,BUF,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:31,0,2,4,33.3
26,2018-11-19,19-362,BUF,PIT,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,19,12:51,0,1,6,14.3
27,2018-11-21,19-364,BUF,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:18,0,1,2,33.3
28,2018-11-23,20-001,BUF,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,14:22,1,3,4,42.9
29,2018-11-24,20-002,BUF,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:05,1,1,5,16.7
30,2018-11-27,20-005,BUF,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:11,1,2,3,40.0
31,2018-11-29,20-007,BUF,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,11:28,0,0,5,0.0
32,2018-11-30,20-008,BUF,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:40,0,0,5,0.0
33,2018-12-03,20-011,BUF,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:16,1,1,3,25.0
34,2018-12-04,20-012,BUF,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:28,0,1,4,20.0
35,2018-12-08,20-016,BUF,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:26,0,4,5,44.4
