,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-04-13,22-341,BUF,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:00,0,0,0,
1,2013-04-14,22-342,BUF,TBL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,11:15,0,0,0,
2,2013-04-17,22-345,BUF,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,18,13:12,4,0,0,
3,2013-04-19,22-347,BUF,NYR,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,16:59,0,0,0,
4,2013-04-22,22-350,BUF,WPG,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:16,1,0,0,
5,2013-04-23,22-351,BUF,PIT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,14:33,0,0,0,
6,2013-04-26,22-354,BUF,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,19,16:08,2,0,0,
7,2014-01-25,23-263,BUF,CBJ,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,16:09,1,0,0,
8,2014-01-27,23-265,BUF,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,20:12,2,0,0,
9,2014-01-28,23-266,BUF,WSH,L-OT,0,0,0,1,0,0,0,0,0,,,,3,0.0,24,19:58,2,0,0,
10,2014-01-30,23-268,BUF,PHX,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,22,17:04,2,0,0,
11,2014-02-01,23-270,BUF,COL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,19:33,2,0,0,
12,2014-02-05,23-274,BUF,PIT,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,22,21:25,0,0,0,
13,2014-02-06,23-275,BUF,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,16:27,1,0,0,
14,2014-03-09,23-306,BUF,CHI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,23,15:56,1,0,0,
15,2014-03-11,23-308,BUF,NSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,17:15,2,0,0,
16,2014-03-15,23-312,BUF,NYI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:11,1,0,0,
17,2014-03-16,23-313,BUF,MTL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,18:05,0,0,0,
18,2014-03-18,23-315,BUF,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,17:21,0,0,0,
19,2014-03-20,23-317,BUF,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,18:50,0,0,0,
20,2014-03-23,23-320,BUF,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,19:10,1,0,0,
21,2014-03-25,23-322,BUF,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,19:17,0,0,0,
22,2014-03-27,23-324,BUF,NSH,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,23,16:57,1,0,0,
23,2014-03-29,23-326,BUF,TBL,L-OT,0,0,0,1,0,0,0,0,0,,,,0,,21,15:33,0,0,0,
24,2014-04-01,23-329,BUF,NJD,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,19:44,1,0,0,
25,2014-04-03,23-331,BUF,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,19:51,0,0,0,
26,2014-04-04,23-332,BUF,DET,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,23,18:11,1,0,0,
27,2014-04-06,23-334,BUF,PHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,21,13:18,2,0,0,
28,2015-03-16,24-313,BUF,WSH,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,0,,17,13:13,3,0,0,
29,2015-03-17,24-314,BUF,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:19,2,0,0,
30,2015-04-10,24-338,BUF,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,11:30,0,0,0,
31,2015-04-11,24-339,BUF,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:49,1,0,0,
32,2016-03-18,25-316,BUF,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,15:30,3,0,0,
33,2016-12-20,26-227,PIT,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,16:39,0,0,0,
34,2016-12-23,26-230,PIT,NJD,W,1,0,1,3,0,1,0,0,0,0,0,0,2,50.0,24,16:31,1,0,0,
35,2016-12-27,26-234,PIT,NJD,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,30,18:50,0,0,0,
36,2016-12-28,26-235,PIT,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,20:46,2,0,0,
37,2016-12-31,26-238,PIT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:32,1,0,0,
38,2017-01-16,26-254,PIT,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,13:35,0,0,0,
39,2017-01-18,26-256,PIT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,27,20:18,3,0,0,
40,2017-01-20,26-258,PIT,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,20:39,3,0,0,
