,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-15,21-176,WSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:43,0,5,1,83.3
1,2015-10-17,21-178,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:05,1,4,5,44.4
2,2015-10-20,21-181,WSH,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:34,1,6,6,50.0
3,2015-10-22,21-183,WSH,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:41,0,3,0,100.0
4,2015-10-23,21-184,WSH,EDM,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,9,6:18,1,1,1,50.0
5,2015-10-28,21-189,WSH,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,9,5:42,1,3,1,75.0
6,2015-10-31,21-192,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:57,1,0,4,0.0
7,2015-11-03,21-195,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:45,0,5,4,55.6
8,2015-11-10,21-202,WSH,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:58,0,3,3,50.0
9,2017-01-24,22-277,WSH,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:45,0,2,1,66.7
10,2017-01-26,22-279,WSH,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:50,0,4,4,50.0
11,2017-02-01,22-285,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:41,0,5,2,71.4
12,2017-04-09,22-352,WSH,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:15,0,1,6,14.3
13,2017-10-26,23-187,WSH,VAN,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,13:20,0,4,4,50.0
14,2017-10-28,23-189,WSH,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:08,0,0,1,0.0
15,2017-10-29,23-190,WSH,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:49,0,1,1,50.0
16,2017-11-02,23-194,WSH,NYI,W,0,2,2,3,0,0,0,0,0,2,0,0,0,,16,12:11,0,0,0,
17,2017-11-04,23-196,WSH,BOS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,12:17,1,1,0,100.0
18,2017-11-06,23-198,WSH,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:26,1,0,0,
19,2017-11-07,23-199,WSH,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:27,1,0,0,
20,2017-11-10,23-202,WSH,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,11:57,1,0,0,
21,2017-11-12,23-204,WSH,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:52,1,0,0,
22,2017-11-14,23-206,WSH,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,8:59,0,2,0,100.0
23,2017-11-16,23-208,WSH,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:09,1,1,0,100.0
24,2017-11-18,23-210,WSH,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,15:42,0,0,1,0.0
25,2017-11-20,23-212,WSH,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:22,1,0,0,
26,2017-11-22,23-214,WSH,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:26,0,0,0,
27,2017-11-24,23-216,WSH,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:59,0,0,0,
28,2017-11-25,23-217,WSH,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:24,2,0,0,
29,2017-11-30,23-222,WSH,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,11,8:44,0,1,0,100.0
30,2017-12-02,23-224,WSH,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,9:44,1,0,0,
31,2017-12-06,23-228,WSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:20,0,2,0,100.0
32,2017-12-08,23-230,WSH,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,11:10,0,0,0,
33,2017-12-11,23-233,WSH,NYI,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,12:12,1,1,1,50.0
34,2017-12-12,23-234,WSH,COL,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,17,14:27,0,0,1,0.0
35,2017-12-14,23-236,WSH,BOS,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,13:01,0,0,0,
36,2017-12-16,23-238,WSH,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,11:09,0,0,0,
37,2017-12-19,23-241,WSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:57,0,0,0,
38,2017-12-22,23-244,WSH,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:07,0,1,0,100.0
39,2017-12-23,23-245,WSH,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:27,0,0,1,0.0
40,2017-12-30,23-252,WSH,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,14:39,1,0,0,
41,2018-01-02,23-255,WSH,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,9:53,0,0,0,
42,2018-01-09,23-262,WSH,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,9:37,0,0,0,
43,2018-01-11,23-264,WSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:24,1,0,0,
44,2018-01-12,23-265,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:33,0,0,0,
45,2018-01-18,23-271,WSH,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:12,0,1,0,100.0
46,2018-01-19,23-272,WSH,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:51,0,0,0,
47,2018-01-21,23-274,WSH,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:34,1,1,0,100.0
48,2018-01-25,23-278,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:50,1,0,0,
49,2018-01-31,23-284,WSH,PHI,W,2,0,2,1,0,2,0,0,0,0,0,0,2,100.0,16,10:39,0,0,0,
50,2018-02-02,23-286,WSH,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,12:29,0,0,1,0.0
51,2018-02-04,23-288,WSH,VEG,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,11:26,0,0,0,
52,2018-02-06,23-290,WSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:03,0,0,0,
53,2018-02-09,23-293,WSH,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,11:01,0,0,0,
54,2018-02-11,23-295,WSH,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:20,0,1,0,100.0
55,2018-02-13,23-297,WSH,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:19,0,0,0,
56,2018-02-15,23-299,WSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:26,2,0,2,0.0
