,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-08,20-099,SJS,LAK,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,17,12:04,0,4,4,50.0
1,2014-10-11,20-102,SJS,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,12:34,0,4,2,66.7
2,2014-10-14,20-105,SJS,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,12:17,0,4,5,44.4
3,2014-10-16,20-107,SJS,NYI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,9:45,0,1,3,25.0
4,2014-10-18,20-109,SJS,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,10:04,0,2,4,33.3
5,2014-10-19,20-110,SJS,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,13:30,0,4,10,28.6
6,2014-10-25,20-116,SJS,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:44,1,7,3,70.0
7,2014-10-26,20-117,SJS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:16,0,5,7,41.7
8,2014-10-28,20-119,SJS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:59,0,4,10,28.6
9,2014-10-30,20-121,SJS,MIN,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:16,1,2,8,20.0
10,2014-11-01,20-123,SJS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:26,1,2,4,33.3
11,2014-12-11,20-163,SJS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:22,3,1,2,33.3
12,2014-12-13,20-165,SJS,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,7:34,0,2,0,100.0
13,2014-12-18,20-170,SJS,EDM,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,11,7:53,0,1,2,33.3
14,2015-02-04,20-218,SJS,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,6:27,0,1,1,50.0
15,2015-02-05,20-219,SJS,VAN,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,20,10:43,0,5,9,35.7
16,2015-02-07,20-221,SJS,CAR,L,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,21,13:48,1,2,6,25.0
17,2015-02-09,20-223,SJS,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:28,0,3,3,50.0
18,2015-02-11,20-225,SJS,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:31,1,4,6,40.0
19,2015-02-13,20-227,SJS,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:15,0,3,6,33.3
20,2015-02-15,20-229,SJS,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,13:20,0,2,1,66.7
21,2015-02-17,20-231,SJS,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:30,1,1,3,25.0
22,2015-02-19,20-233,SJS,DAL,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,17,9:26,0,3,7,30.0
23,2015-02-26,20-240,SJS,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4:39,0,1,3,25.0
24,2015-03-02,20-244,SJS,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:06,0,4,6,40.0
25,2015-03-03,20-245,SJS,VAN,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,8:53,1,2,3,40.0
26,2015-03-07,20-249,SJS,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,5:38,0,4,1,80.0
27,2015-03-09,20-251,SJS,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,12:09,0,3,1,75.0
28,2015-03-12,20-254,SJS,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,22,16:04,0,3,4,42.9
