,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-17,23-143,ANA,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,9,4:10,1,0,1,0.0
1,2014-11-15,23-172,ANA,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:08,3,2,2,50.0
2,2015-02-27,23-276,ANA,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:35,5,8,5,61.5
3,2015-03-26,23-303,ANA,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:15,4,1,0,100.0
4,2015-03-28,23-305,ANA,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:06,1,1,0,100.0
5,2015-03-29,23-306,ANA,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:21,2,1,1,50.0
6,2015-04-01,23-309,ANA,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:43,2,12,4,75.0
7,2015-04-03,23-311,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:04,3,2,5,28.6
8,2015-04-08,23-316,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:44,1,6,4,60.0
9,2015-10-16,24-142,ANA,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:03,2,7,6,53.8
10,2015-10-26,24-152,ANA,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,8:54,7,0,3,0.0
11,2015-10-27,24-153,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:26,4,6,2,75.0
12,2015-10-29,24-155,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,11:32,1,4,6,40.0
13,2015-11-01,24-158,ANA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:04,1,6,3,66.7
14,2015-11-04,24-161,ANA,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,9:11,4,5,5,50.0
15,2015-11-06,24-163,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:51,3,4,1,80.0
16,2015-11-07,24-164,ANA,SJS,W,0,0,0,0,15,0,0,0,0,0,0,0,0,,12,7:18,2,0,0,
17,2015-11-09,24-166,ANA,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,8:48,3,1,3,25.0
18,2015-11-11,24-168,ANA,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,8:43,3,2,4,33.3
19,2015-11-13,24-170,ANA,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,8,4:39,2,4,1,80.0
20,2015-11-17,24-174,COL,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:25,3,4,9,30.8
21,2015-11-19,24-176,COL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:16,1,2,1,66.7
22,2015-11-21,24-178,COL,WSH,L,0,0,0,-1,7,0,0,0,0,0,0,0,0,,8,5:50,2,1,8,11.1
23,2015-11-23,24-180,COL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:36,1,4,1,80.0
24,2015-11-25,24-182,COL,OTT,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,12,6:43,2,6,4,60.0
25,2015-11-28,24-185,COL,WPG,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,9,6:49,1,1,1,50.0
26,2015-11-30,24-187,COL,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:13,6,3,3,50.0
27,2015-12-01,24-188,COL,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,13,9:28,0,3,0,100.0
28,2015-12-03,24-190,COL,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,8:55,1,4,2,66.7
29,2015-12-05,24-192,COL,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,7:09,0,6,4,60.0
30,2015-12-07,24-194,COL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:45,2,6,3,66.7
31,2015-12-09,24-196,COL,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:32,3,6,1,85.7
32,2015-12-12,24-199,COL,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:00,1,4,3,57.1
33,2016-01-14,24-232,COL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:39,4,5,5,50.0
34,2016-01-16,24-234,COL,CBJ,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,13,9:23,2,2,4,33.3
35,2016-01-18,24-236,COL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:25,2,6,5,54.5
36,2016-01-22,24-240,COL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:35,0,1,2,33.3
37,2016-01-26,24-244,COL,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,12:28,0,11,3,78.6
38,2016-01-27,24-245,COL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,4:47,3,2,2,50.0
39,2016-02-02,24-251,COL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:25,1,5,5,50.0
40,2016-02-06,24-255,COL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:04,1,4,3,57.1
41,2016-02-09,24-258,COL,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:17,3,2,2,50.0
42,2016-02-11,24-260,COL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:18,1,5,1,83.3
43,2016-02-12,24-261,COL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,7:37,2,0,3,0.0
44,2016-02-14,24-263,COL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:25,0,4,3,57.1
45,2016-02-21,24-270,COL,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:01,1,4,6,40.0
46,2016-04-01,24-310,ANA,VAN,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,11:25,5,0,1,0.0
47,2016-04-03,24-312,ANA,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:15,8,0,0,
48,2016-04-05,24-314,ANA,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,12:08,1,3,2,60.0
49,2016-04-07,24-316,ANA,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:11,3,1,3,25.0
50,2016-04-09,24-318,ANA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:36,3,0,1,0.0
51,2016-04-10,24-319,ANA,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,13:31,0,4,1,80.0
52,2016-10-13,25-139,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:10,1,2,3,40.0
53,2016-10-15,25-141,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,6:53,0,1,1,50.0
54,2016-10-16,25-142,ANA,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:54,3,0,2,0.0
55,2016-10-18,25-144,ANA,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:14,3,1,2,33.3
56,2016-10-20,25-146,ANA,PHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,11:31,1,4,2,66.7
57,2016-10-23,25-149,ANA,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,15:22,8,0,0,
58,2016-10-25,25-151,ANA,SJS,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,22,11:59,4,0,1,0.0
59,2016-10-26,25-152,ANA,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,16:14,1,6,5,54.5
60,2016-10-28,25-154,ANA,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:55,1,0,0,
61,2016-11-01,25-158,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:12,7,4,2,66.7
62,2016-11-02,25-159,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:35,1,3,6,33.3
63,2016-11-04,25-161,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:39,1,4,7,36.4
64,2016-11-06,25-163,ANA,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:03,1,3,6,33.3
65,2016-11-09,25-166,ANA,CBJ,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,11,5:23,0,1,4,20.0
66,2016-11-10,25-167,ANA,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:45,1,0,2,0.0
67,2016-11-17,25-174,ANA,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:05,4,0,0,
68,2016-11-20,25-177,ANA,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:43,2,2,4,33.3
69,2016-11-22,25-179,ANA,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:09,1,1,7,12.5
70,2016-11-25,25-182,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:04,1,0,0,
71,2016-11-29,25-186,ANA,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:04,2,1,0,100.0
72,2016-12-01,25-188,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,5:30,3,0,0,
73,2017-01-04,25-222,ANA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:15,2,0,0,
74,2017-01-06,25-224,ANA,ARI,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,10,7:54,4,0,0,
75,2017-01-08,25-226,ANA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:43,4,0,1,0.0
76,2017-01-10,25-228,ANA,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:58,4,0,0,
77,2017-03-03,25-280,ANA,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,9:51,2,3,3,50.0
78,2017-03-05,25-282,ANA,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,7:03,0,0,0,
79,2017-03-07,25-284,ANA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:51,5,0,2,0.0
80,2017-03-09,25-286,ANA,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,5:00,2,2,0,100.0
81,2017-03-10,25-287,ANA,STL,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,6:56,3,0,3,0.0
82,2017-03-15,25-292,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:06,3,2,1,66.7
83,2017-03-17,25-294,ANA,BUF,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,9:19,3,1,2,33.3
84,2017-03-18,25-295,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:19,2,4,1,80.0
85,2017-03-22,25-299,ANA,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:51,5,2,2,50.0
86,2017-03-24,25-301,ANA,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,9:37,3,3,3,50.0
87,2017-03-26,25-303,ANA,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:45,5,2,4,33.3
88,2017-03-28,25-305,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:31,2,0,0,
89,2017-03-30,25-307,ANA,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:03,2,4,1,80.0
90,2017-04-01,25-309,ANA,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:53,2,1,0,100.0
91,2017-04-02,25-310,ANA,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,8:53,3,3,1,75.0
92,2017-04-04,25-312,ANA,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,9:07,3,1,5,16.7
93,2017-04-06,25-314,ANA,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,11:32,2,1,0,100.0
94,2017-04-09,25-317,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:31,5,0,3,0.0
95,2017-10-05,26-131,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:39,4,3,7,30.0
96,2017-10-07,26-133,ANA,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,13:27,4,2,2,50.0
97,2017-10-09,26-135,ANA,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,16:54,5,2,2,50.0
98,2017-10-11,26-137,ANA,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:51,2,0,1,0.0
99,2017-10-13,26-139,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:52,2,2,2,50.0
100,2017-10-15,26-141,ANA,BUF,L,1,0,1,0,0,0,0,1,0,0,0,0,3,33.3,22,13:00,3,2,1,66.7
101,2017-10-20,26-146,ANA,MTL,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,29,20:35,2,6,2,75.0
102,2017-10-24,26-150,ANA,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,10:24,4,2,7,22.2
103,2017-10-26,26-152,ANA,FLA,L,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,17,12:18,2,2,3,40.0
104,2017-10-28,26-154,ANA,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,12:19,4,2,4,33.3
105,2017-10-29,26-155,ANA,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,14:22,5,1,2,33.3
106,2017-11-01,26-158,ANA,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:34,5,3,1,75.0
107,2017-11-03,26-160,ANA,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,30,21:01,5,4,2,66.7
108,2017-11-04,26-161,ANA,SJS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:59,2,3,7,30.0
109,2017-11-07,26-164,ANA,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,33,20:40,5,13,9,59.1
110,2017-11-09,26-166,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,18:02,0,6,9,40.0
111,2017-11-12,26-169,ANA,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,15:37,3,7,4,63.6
112,2017-11-15,26-172,ANA,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:14,6,5,7,41.7
113,2017-11-19,26-176,ANA,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,27,20:13,4,7,9,43.8
114,2017-11-20,26-177,ANA,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,32,21:02,5,13,10,56.5
115,2017-11-22,26-179,ANA,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,19:52,2,6,10,37.5
116,2017-11-24,26-181,ANA,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,15:45,1,4,6,40.0
117,2017-11-25,26-182,ANA,LAK,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,34,22:06,5,9,10,47.4
118,2017-11-27,26-184,ANA,CHI,L,2,1,3,1,0,1,1,0,0,1,0,0,3,66.7,26,19:08,2,8,7,53.3
119,2017-11-29,26-186,ANA,STL,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,31,22:15,2,10,8,55.6
120,2017-12-01,26-188,ANA,CBJ,L,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,26,16:48,3,12,6,66.7
121,2017-12-02,26-189,ANA,NSH,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,0,,28,18:42,7,5,5,50.0
122,2017-12-05,26-192,ANA,VEG,L-SO,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,23,15:54,2,6,9,40.0
123,2017-12-06,26-193,ANA,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:24,4,6,7,46.2
124,2017-12-08,26-195,ANA,MIN,L-OT,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,22,17:32,3,5,3,62.5
125,2017-12-11,26-198,ANA,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:16,4,1,1,50.0
