,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-01-21,19-281,ARI,TBL,W,1,0,1,-1,0,1,0,0,1,0,0,0,1,100.0,17,10:57,1,0,0,
1,2017-01-23,19-283,ARI,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,11:31,1,0,0,
2,2017-01-26,19-286,ARI,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:20,2,0,0,
3,2017-03-21,19-340,ARI,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,14,11:42,2,0,0,
4,2017-03-23,19-342,ARI,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:53,0,0,0,
5,2017-03-25,19-344,ARI,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:59,1,0,0,
6,2017-03-27,19-346,ARI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:55,2,0,0,
7,2017-10-05,20-173,ARI,ANA,L,1,0,1,0,4,0,1,0,0,0,0,0,2,50.0,24,12:22,3,1,1,50.0
8,2017-10-10,20-178,ARI,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,15:05,3,0,1,0.0
9,2017-10-12,20-180,ARI,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,14:12,1,1,1,50.0
10,2017-10-14,20-182,ARI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,12:52,2,0,1,0.0
11,2017-10-17,20-185,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:57,0,0,0,
12,2017-10-19,20-187,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:30,1,0,1,0.0
13,2017-10-21,20-189,ARI,CHI,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,20,12:49,3,2,1,66.7
14,2017-10-24,20-192,ARI,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,10:08,1,0,0,
15,2017-10-28,20-196,ARI,NJD,L,1,0,1,-1,2,0,1,0,0,0,0,0,4,25.0,23,16:07,0,0,1,0.0
16,2017-10-30,20-198,ARI,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:03,3,0,1,0.0
17,2017-10-31,20-199,ARI,DET,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,28,15:48,1,0,0,
18,2017-11-02,20-201,ARI,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,23,13:45,0,0,2,0.0
19,2017-11-04,20-203,ARI,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,15:31,3,0,0,
20,2017-11-06,20-205,ARI,WSH,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,12:43,0,0,1,0.0
21,2017-11-07,20-206,ARI,PIT,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,12:56,2,0,1,0.0
22,2017-11-09,20-208,ARI,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,15:31,1,0,1,0.0
23,2017-11-11,20-210,ARI,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,14:00,0,0,0,
24,2017-11-14,20-213,ARI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:41,1,0,0,
25,2017-11-16,20-215,ARI,MTL,W,1,1,2,1,0,0,1,0,1,1,0,0,3,33.3,21,15:53,0,0,0,
26,2017-11-18,20-217,ARI,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:56,2,0,0,
27,2017-11-20,20-219,ARI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:26,0,0,0,
28,2017-11-22,20-221,ARI,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,15:55,1,0,0,
29,2017-11-24,20-223,ARI,LAK,W,1,1,2,-1,0,1,0,0,1,0,1,0,1,100.0,23,16:44,1,0,0,
30,2017-11-25,20-224,ARI,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,22,17:22,0,0,0,
31,2017-11-28,20-227,ARI,EDM,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,25,15:52,1,0,0,
32,2017-11-30,20-229,ARI,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,16:31,2,0,0,
33,2017-12-02,20-231,ARI,NJD,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,16,11:29,0,0,0,
34,2017-12-03,20-232,ARI,VEG,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,5,0.0,23,15:19,1,0,0,
