,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2008-02-19,20-038,PHI,OTT,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,14,9:27,0,0,0,
1,2008-02-21,20-040,PHI,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,12,9:42,0,0,0,
2,2008-12-26,20-349,PHI,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,15,12:01,1,0,0,
3,2008-12-27,20-350,PHI,CBJ,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,14:52,1,0,1,0.0
4,2008-12-30,20-353,PHI,VAN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,24,20:11,0,0,0,
5,2009-01-02,20-356,PHI,ANA,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,26,18:16,1,1,0,100.0
6,2009-01-15,21-003,PHI,TBL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,13:05,1,0,0,
7,2009-01-16,21-004,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:55,1,0,0,
8,2009-01-21,21-009,PHI,ATL,W,0,1,1,1,2,0,0,0,0,,,,4,0.0,17,13:31,0,0,1,0.0
9,2009-01-27,21-015,PHI,FLA,L,1,0,1,0,2,1,0,0,0,,,,2,50.0,17,11:48,0,0,0,
10,2009-01-30,21-018,PHI,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,14,11:44,2,1,0,100.0
11,2009-01-31,21-019,PHI,STL,L,0,0,0,-1,2,0,0,0,0,,,,0,,19,14:23,1,3,0,100.0
12,2009-02-04,21-023,PHI,BOS,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,19,15:32,2,0,2,0.0
13,2009-02-07,21-026,PHI,BOS,W,0,1,1,0,2,0,0,0,0,,,,2,0.0,25,19:08,3,4,7,36.4
14,2009-02-08,21-027,PHI,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:01,0,5,6,45.5
15,2009-02-12,21-031,PHI,OTT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,19,15:13,0,0,4,0.0
16,2009-02-14,21-033,PHI,NYI,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,22,18:04,1,4,5,44.4
17,2009-02-15,21-034,PHI,NYR,W,1,2,3,2,2,1,0,0,0,,,,3,33.3,22,15:32,1,0,7,0.0
18,2009-02-19,21-038,PHI,BUF,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,13:37,1,3,3,50.0
19,2009-02-21,21-040,PHI,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,16:08,3,3,4,42.9
20,2009-02-24,21-043,PHI,WSH,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,16,16:03,1,2,6,25.0
21,2009-02-25,21-044,PHI,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:45,0,2,4,33.3
22,2009-02-27,21-046,PHI,MTL,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,18:45,1,6,8,42.9
23,2009-03-03,21-050,PHI,BOS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,15:40,1,3,7,30.0
24,2009-03-05,21-052,PHI,CGY,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,19,13:02,3,5,5,50.0
25,2009-03-07,21-054,PHI,NSH,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,18,13:58,1,3,5,37.5
26,2009-03-10,21-057,PHI,BUF,W,0,1,1,-2,0,0,0,0,0,,,,2,0.0,20,15:03,1,6,3,66.7
27,2009-03-12,21-059,PHI,WSH,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,14:06,3,6,2,75.0
28,2009-03-14,21-061,PHI,NYR,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,21,13:12,0,6,2,75.0
29,2009-03-15,21-062,PHI,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,15:45,0,5,4,55.6
30,2009-03-17,21-064,PHI,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,17:01,1,6,10,37.5
31,2009-03-20,21-067,PHI,BUF,W,0,2,2,2,0,0,0,0,0,,,,0,,20,14:45,1,3,4,42.9
32,2009-03-22,21-069,PHI,PIT,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,19,14:40,2,3,3,50.0
33,2009-03-23,21-070,PHI,NJD,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,18,15:53,0,5,4,55.6
34,2009-03-26,21-073,PHI,FLA,L,0,0,0,0,0,0,0,0,0,,,,5,0.0,21,17:33,1,9,5,64.3
35,2009-03-28,21-075,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,23,17:09,1,7,7,50.0
36,2009-03-29,21-076,PHI,BOS,L,1,1,2,1,0,1,0,0,0,,,,2,50.0,21,16:02,1,7,6,53.8
37,2009-04-01,21-079,PHI,TOR,L,1,1,2,-1,0,0,1,0,0,,,,2,50.0,19,15:53,1,6,6,50.0
38,2009-04-03,21-081,PHI,TOR,W,1,2,3,0,0,1,0,0,0,,,,2,50.0,19,15:25,0,8,7,53.3
39,2009-04-04,21-082,PHI,OTT,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,16,14:51,1,1,5,16.7
40,2009-04-07,21-085,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:32,1,6,6,50.0
41,2009-04-09,21-087,PHI,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,14:37,0,4,6,40.0
42,2009-04-11,21-089,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,17,12:42,0,7,2,77.8
43,2009-04-12,21-090,PHI,NYR,L,1,0,1,1,2,1,0,0,0,,,,1,100.0,19,14:19,1,6,6,50.0
44,2009-10-02,21-263,PHI,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,10:48,4,4,4,50.0
45,2009-10-03,21-264,PHI,NJD,W,0,1,1,3,0,0,0,0,0,,,,0,,18,11:49,0,3,4,42.9
46,2009-10-06,21-267,PHI,WSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,15:37,0,5,6,45.5
47,2009-10-08,21-269,PHI,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,19:22,0,6,6,50.0
48,2009-10-10,21-271,PHI,ANA,L-SO,0,1,1,0,0,0,0,0,0,,,,3,0.0,25,22:36,0,3,2,60.0
49,2009-10-16,21-277,PHI,FLA,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,23,17:18,2,2,3,40.0
50,2009-10-22,21-283,PHI,BOS,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,21,17:12,0,9,6,60.0
51,2009-10-24,21-285,PHI,FLA,W,0,0,0,-1,0,0,0,0,0,,,,0,,18,14:44,1,6,7,46.2
52,2009-10-25,21-286,PHI,SJS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,20,17:23,0,5,7,41.7
53,2009-10-27,21-288,PHI,WSH,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,25,19:10,1,3,4,42.9
54,2009-10-31,21-292,PHI,CAR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,19:42,1,0,0,
55,2009-11-02,21-294,PHI,TBL,W,0,2,2,2,2,0,0,0,0,,,,2,0.0,21,15:50,1,0,1,0.0
56,2009-11-06,21-298,PHI,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,22,16:12,0,4,2,66.7
57,2009-11-07,21-299,PHI,STL,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,24,19:54,0,1,6,14.3
58,2009-11-12,21-304,PHI,OTT,W,0,1,1,0,0,0,0,0,0,,,,0,,18,16:38,0,4,1,80.0
59,2009-11-14,21-306,PHI,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,23,17:55,0,3,2,60.0
60,2009-11-16,21-308,PHI,NJD,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,18,14:04,0,4,3,57.1
61,2009-11-18,21-310,PHI,LAK,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,15,12:01,2,2,4,33.3
62,2009-11-20,21-312,PHI,SJS,L,2,1,3,1,2,2,0,0,0,,,,3,66.7,22,16:22,0,5,3,62.5
63,2009-11-21,21-313,PHI,PHX,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,23,18:05,2,2,3,40.0
64,2009-11-23,21-315,PHI,COL,L,0,0,0,-1,5,0,0,0,0,,,,0,,20,13:17,1,4,4,50.0
65,2009-11-25,21-317,PHI,NYI,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,25,16:50,1,2,5,28.6
66,2009-11-27,21-319,PHI,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,28,22:39,1,3,4,42.9
67,2009-11-28,21-320,PHI,ATL,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,21,18:08,0,1,1,50.0
68,2009-12-03,21-325,PHI,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,18,15:36,0,1,4,20.0
69,2009-12-05,21-327,PHI,WSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,16:29,1,0,2,0.0
70,2009-12-07,21-329,PHI,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,18:03,0,4,4,50.0
71,2009-12-08,21-330,PHI,NYI,W,2,0,2,1,2,1,1,0,0,,,,3,66.7,24,17:33,0,2,2,50.0
72,2009-12-10,21-332,PHI,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,21,15:22,0,2,1,66.7
73,2009-12-12,21-334,PHI,NJD,L,1,0,1,0,0,0,1,0,0,,,,1,100.0,23,19:05,0,2,1,66.7
74,2009-12-14,21-336,PHI,BOS,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,25,20:28,3,5,6,45.5
75,2009-12-15,21-337,PHI,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,20:27,0,12,8,60.0
76,2009-12-17,21-339,PHI,PIT,L-SO,1,0,1,0,2,0,1,0,0,,,,2,50.0,24,16:00,1,6,7,46.2
77,2009-12-19,21-341,PHI,NYR,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,24,16:55,0,4,3,57.1
78,2009-12-21,21-343,PHI,FLA,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,25,19:37,1,5,3,62.5
79,2009-12-23,21-345,PHI,TBL,W,0,2,2,2,0,0,0,0,0,,,,0,,23,17:56,0,3,2,60.0
80,2009-12-26,21-348,PHI,CAR,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,25,17:29,2,1,1,50.0
81,2009-12-27,21-349,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,17:10,0,1,1,50.0
82,2009-12-30,21-352,PHI,NYR,W,1,1,2,3,0,1,0,0,0,,,,1,100.0,19,14:04,2,0,1,0.0
83,2010-01-01,21-354,PHI,BOS,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,18:07,0,3,2,60.0
84,2010-01-03,21-356,PHI,OTT,L,0,0,0,-6,0,0,0,0,0,,,,1,0.0,19,13:00,0,3,4,42.9
85,2010-01-06,21-359,PHI,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,23,20:34,0,0,1,0.0
86,2010-01-07,21-360,PHI,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:02,2,0,0,
87,2010-01-09,21-362,PHI,TBL,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,21,16:20,0,2,1,66.7
88,2010-01-12,22-000,PHI,DAL,W,1,0,1,-1,0,0,1,0,1,,,,4,25.0,19,17:04,0,0,1,0.0
89,2010-01-14,22-002,PHI,TOR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,19:05,0,2,0,100.0
90,2010-01-17,22-005,PHI,WSH,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,27,18:41,3,2,4,33.3
91,2010-01-19,22-007,PHI,CBJ,W,0,1,1,1,0,0,0,0,0,,,,0,,20,14:46,2,8,6,57.1
92,2010-01-21,22-009,PHI,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,14,12:48,0,2,3,40.0
93,2010-01-23,22-011,PHI,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:23,2,1,4,20.0
94,2010-01-24,22-012,PHI,PIT,L,0,0,0,0,2,0,0,0,0,,,,0,,25,18:07,3,5,1,83.3
95,2010-01-28,22-016,PHI,ATL,L,1,1,2,1,0,1,0,0,0,,,,3,33.3,21,17:37,2,7,5,58.3
96,2010-01-30,22-018,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,17,13:28,0,6,6,50.0
97,2010-02-01,22-020,PHI,CGY,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,20,12:58,1,4,5,44.4
98,2010-02-03,22-022,PHI,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,15:13,3,8,6,57.1
99,2010-02-06,22-025,PHI,MIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,17:37,4,4,8,33.3
100,2010-02-08,22-027,PHI,NJD,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,20,14:29,2,2,8,20.0
101,2010-02-10,22-029,PHI,NJD,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,17,15:20,0,5,3,62.5
