,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-02-15,23-315,CHI,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:09,1,5,8,38.5
1,2023-02-17,23-317,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:24,1,7,5,58.3
2,2023-02-19,23-319,CHI,TOR,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,16,13:01,0,6,2,75.0
3,2023-02-21,23-321,CHI,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,18,14:44,0,6,5,54.5
4,2023-02-22,23-322,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:50,0,4,5,44.4
5,2023-02-25,23-325,CHI,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,15:54,0,3,6,33.3
6,2023-02-27,23-327,CHI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:09,0,5,10,33.3
7,2023-02-28,23-328,CHI,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,15:59,1,9,2,81.8
8,2023-03-02,23-330,CHI,DAL,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,20,15:05,0,11,7,61.1
9,2023-03-04,23-332,CHI,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,18,14:13,0,7,8,46.7
10,2023-03-06,23-334,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:12,0,5,2,71.4
11,2023-03-08,23-336,CHI,DET,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,15:04,0,8,9,47.1
12,2023-03-10,23-338,CHI,FLA,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,19,17:55,0,6,5,54.5
13,2023-03-11,23-339,CHI,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,14:12,1,6,7,46.2
14,2023-10-10,24-187,CHI,PIT,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,14,9:15,0,6,5,54.5
15,2023-10-11,24-188,CHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:56,0,2,5,28.6
16,2023-10-14,24-191,CHI,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,9:13,0,0,5,0.0
17,2023-11-24,24-232,CHI,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:31,1,5,4,55.6
18,2023-11-26,24-234,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:14,0,6,1,85.7
19,2023-12-03,24-241,CHI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,13:02,1,4,1,80.0
20,2023-12-05,24-243,CHI,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:15,0,5,4,55.6
21,2023-12-07,24-245,CHI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,14:39,1,1,3,25.0
22,2023-12-09,24-247,CHI,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,13,12:02,0,3,2,60.0
23,2023-12-10,24-248,CHI,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,13:54,0,5,2,71.4
24,2023-12-12,24-250,CHI,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11:01,0,3,4,42.9
25,2023-12-14,24-252,CHI,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,12,10:34,1,3,7,30.0
26,2023-12-17,24-255,CHI,VAN,L,1,0,1,-2,0,0,1,0,0,0,0,0,1,100.0,13,8:07,0,3,2,60.0
