,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-14,25-078,NSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:57,0,0,0,
1,2021-12-16,26-049,NSH,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,10:34,3,0,1,0.0
2,2021-12-17,26-050,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:12,2,0,0,
3,2022-01-11,26-075,NSH,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:59,0,0,0,
4,2022-01-13,26-077,NSH,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:06,4,0,0,
5,2022-01-22,26-086,NSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:13,1,0,0,
6,2022-01-25,26-089,NSH,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:38,4,0,0,
7,2022-02-15,26-110,NSH,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:16,5,0,0,
8,2022-02-18,26-113,NSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,8:43,2,0,0,
9,2022-10-07,26-344,NSH,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,11:18,1,0,0,
10,2022-10-08,26-345,NSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:16,2,0,2,0.0
11,2022-10-13,26-350,NSH,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,10:20,2,0,0,
12,2022-10-15,26-352,NSH,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:46,0,0,0,
13,2022-10-18,26-355,NSH,LAK,L-SO,0,0,0,0,4,0,0,0,0,0,0,0,0,,18,8:51,3,0,0,
14,2022-10-20,26-357,NSH,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:56,3,0,0,
15,2022-10-22,26-359,NSH,PHI,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,16,11:45,4,0,0,
16,2022-10-27,26-364,NSH,STL,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,18,15:14,3,0,0,
17,2022-10-29,27-001,NSH,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:49,0,0,1,0.0
18,2022-11-01,27-004,NSH,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:38,7,0,0,
19,2022-11-03,27-006,NSH,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,12:32,0,0,0,
20,2022-11-05,27-008,NSH,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,12:36,2,0,0,
21,2022-11-08,27-011,NSH,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:34,5,0,0,
22,2022-11-10,27-013,NSH,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:02,2,0,0,
23,2022-11-12,27-015,NSH,NYR,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,15:13,1,0,0,
