,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-01-28,20-084,NSH,WPG,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,14,10:49,2,1,3,25.0
1,2014-01-31,20-087,NSH,NJD,W,0,0,0,0,2,0,0,0,0,,,,0,,11,5:06,0,2,2,50.0
2,2014-02-01,20-088,NSH,STL,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,15,8:00,1,3,1,75.0
3,2014-02-08,20-095,NSH,ANA,L,0,0,0,0,0,0,0,0,0,,,,0,,12,7:27,0,4,2,66.7
4,2014-03-10,20-125,NSH,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,8:23,1,4,4,50.0
5,2014-03-11,20-126,NSH,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,21,13:25,0,6,10,37.5
6,2014-03-14,20-129,NSH,CHI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,8:39,0,4,2,66.7
7,2014-03-15,20-130,NSH,STL,L,0,1,1,0,0,0,0,0,0,,,,0,,17,12:23,1,4,6,40.0
8,2014-03-18,20-133,NSH,EDM,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,12:10,0,5,3,62.5
9,2014-03-19,20-134,NSH,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:49,0,1,4,20.0
10,2014-03-21,20-136,NSH,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,11,8:21,1,3,3,50.0
11,2014-03-23,20-138,NSH,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:26,1,4,5,44.4
12,2014-03-25,20-140,NSH,COL,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,14,10:46,0,4,6,40.0
13,2014-03-27,20-142,NSH,BUF,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,22,14:28,0,7,10,41.2
14,2014-03-28,20-143,NSH,DAL,L,0,1,1,1,2,0,0,0,0,,,,1,0.0,21,13:52,1,3,6,33.3
15,2014-03-30,20-145,NSH,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:13,0,12,6,66.7
16,2014-04-04,20-150,NSH,ANA,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,11,7:13,1,3,1,75.0
17,2015-11-10,22-005,NSH,OTT,W,1,0,1,4,0,1,0,0,0,0,0,0,1,100.0,15,8:19,0,4,0,100.0
18,2015-11-12,22-007,NSH,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:06,1,1,2,33.3
19,2015-11-14,22-009,NSH,WPG,W,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,19,14:15,2,9,5,64.3
20,2015-11-17,22-012,NSH,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,9:30,1,7,2,77.8
21,2015-11-20,22-015,NSH,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:11,2,2,2,50.0
22,2015-11-27,22-022,NSH,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:25,3,3,3,50.0
23,2015-11-28,22-023,NSH,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:10,0,2,1,66.7
24,2015-12-01,22-026,NSH,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,13:22,2,7,8,46.7
