,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-10,18-085,CHI,PIT,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,21,21:29,0,2,11,15.4
1,2023-10-11,18-086,CHI,BOS,L,1,0,1,-1,2,1,0,0,0,0,0,0,6,16.7,20,21:44,2,6,6,50.0
2,2023-10-14,18-089,CHI,MTL,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,20,23:02,0,1,8,11.1
3,2023-10-16,18-091,CHI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,18:35,2,4,9,30.8
4,2023-10-19,18-094,CHI,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,19:37,0,7,8,46.7
5,2023-10-21,18-096,CHI,VEG,L,1,0,1,-2,0,0,1,0,0,0,0,0,2,50.0,19,17:26,2,6,6,50.0
6,2023-10-24,18-099,CHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:08,1,6,5,54.5
7,2023-10-27,18-102,CHI,VEG,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,19:15,2,6,11,35.3
8,2023-10-30,18-105,CHI,ARI,L,1,0,1,-1,2,1,0,0,0,0,0,0,3,33.3,22,18:30,1,5,7,41.7
9,2023-11-04,18-110,CHI,FLA,W,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,18,16:19,0,2,2,50.0
10,2023-11-05,18-111,CHI,NJD,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,17,19:54,1,7,6,53.8
11,2023-11-09,18-115,CHI,TBL,W,2,2,4,2,0,2,0,0,1,1,1,0,5,40.0,20,17:55,1,3,8,27.3
12,2023-11-12,18-118,CHI,FLA,L,2,0,2,1,2,2,0,0,0,0,0,0,4,50.0,19,19:54,1,3,6,33.3
13,2023-11-16,18-122,CHI,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,19:17,0,6,7,46.2
14,2023-11-18,18-124,CHI,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,21:18,1,3,8,27.3
15,2023-11-19,18-125,CHI,BUF,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,21:09,0,4,6,40.0
16,2023-11-22,18-128,CHI,CBJ,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,21,21:20,0,4,3,57.1
17,2023-11-24,18-130,CHI,TOR,W,0,1,1,-2,0,0,0,0,0,1,0,0,6,0.0,21,19:47,1,3,6,33.3
18,2023-11-26,18-132,CHI,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,16:52,0,5,2,71.4
19,2023-11-28,18-134,CHI,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,15:57,0,2,4,33.3
20,2023-11-30,18-136,CHI,DET,L,0,1,1,-2,0,0,0,0,0,0,1,0,7,0.0,17,18:54,0,5,2,71.4
21,2023-12-02,18-138,CHI,WPG,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,21,20:08,1,4,4,50.0
22,2023-12-03,18-139,CHI,MIN,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,18,19:00,0,1,3,25.0
23,2023-12-05,18-141,CHI,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,22:00,0,4,4,50.0
24,2023-12-07,18-143,CHI,ANA,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,17,16:01,0,0,5,0.0
25,2023-12-09,18-145,CHI,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,16:54,1,1,3,25.0
26,2023-12-10,18-146,CHI,WSH,L,0,2,2,1,0,0,0,0,0,2,0,0,6,0.0,19,21:34,0,3,1,75.0
27,2023-12-12,18-148,CHI,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,19:27,1,3,2,60.0
28,2023-12-14,18-150,CHI,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,20:31,0,3,5,37.5
29,2023-12-17,18-153,CHI,VAN,L,0,2,2,0,0,0,0,0,0,0,2,0,5,0.0,21,23:16,0,2,3,40.0
30,2023-12-19,18-155,CHI,COL,W,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,19,21:52,0,3,2,60.0
31,2023-12-22,18-158,CHI,MTL,L,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,18,18:11,1,4,4,50.0
32,2023-12-23,18-159,CHI,STL,L,1,0,1,-2,0,1,0,0,0,0,0,0,2,50.0,20,18:50,1,6,6,50.0
33,2023-12-27,18-163,CHI,WPG,W,2,0,2,2,0,2,0,0,1,0,0,0,5,40.0,23,18:53,2,2,4,33.3
34,2023-12-29,18-165,CHI,DAL,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,27,23:51,1,2,11,15.4
35,2023-12-31,18-167,CHI,DAL,L,0,1,1,-3,0,0,0,0,0,0,1,0,2,0.0,18,15:45,1,1,4,20.0
36,2024-01-02,18-169,CHI,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,19:04,0,2,2,50.0
37,2024-01-04,18-171,CHI,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,19,18:54,1,2,5,28.6
38,2024-01-05,18-172,CHI,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:05,0,1,1,50.0
39,2024-02-15,18-213,CHI,PIT,L,0,1,1,-2,0,0,0,0,0,1,0,0,4,0.0,22,21:17,2,0,7,0.0
40,2024-02-17,18-215,CHI,OTT,W,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,21,18:17,3,1,4,20.0
41,2024-02-19,18-217,CHI,CAR,L,1,2,3,-1,0,0,1,0,0,1,1,0,1,100.0,21,20:18,1,4,0,100.0
42,2024-02-21,18-219,CHI,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,24:49,0,1,4,20.0
43,2024-02-23,18-221,CHI,WPG,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,18:06,0,3,4,42.9
44,2024-02-25,18-223,CHI,DET,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,18,18:35,1,2,4,33.3
45,2024-02-29,18-227,CHI,COL,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,20,21:33,2,4,4,50.0
46,2024-03-02,18-229,CHI,CBJ,L,0,1,1,-2,0,0,0,0,0,1,0,0,4,0.0,21,21:19,1,0,7,0.0
47,2024-03-04,18-231,CHI,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,22:31,0,5,6,45.5
48,2024-03-05,18-232,CHI,ARI,W,0,2,2,-2,0,0,0,0,0,0,2,0,1,0.0,21,19:44,1,3,7,30.0
49,2024-03-09,18-236,CHI,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,18,21:43,1,5,4,55.6
50,2024-03-10,18-237,CHI,ARI,W,2,1,3,0,2,1,1,0,0,0,1,0,7,28.6,22,21:15,1,5,6,45.5
51,2024-03-12,18-239,CHI,ANA,W,1,4,5,1,0,1,0,0,0,1,3,0,5,20.0,22,20:21,1,4,8,33.3
52,2024-03-15,18-242,CHI,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,22:47,1,4,7,36.4
53,2024-03-17,18-244,CHI,SJS,W,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,20,20:38,2,4,2,66.7
54,2024-03-19,18-246,CHI,LAK,L,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,21,20:34,0,2,5,28.6
55,2024-03-21,18-248,CHI,ANA,L,0,0,0,-1,4,0,0,0,0,0,0,0,4,0.0,21,20:23,0,4,8,33.3
56,2024-03-23,18-250,CHI,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,20,22:47,2,3,1,75.0
57,2024-03-26,18-253,CHI,CGY,W,0,1,1,0,0,0,0,0,0,0,1,0,5,0.0,19,21:19,0,0,8,0.0
58,2024-03-28,18-255,CHI,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,19:55,1,2,1,66.7
59,2024-03-30,18-257,CHI,PHI,W,0,1,1,0,2,0,0,0,0,1,0,0,6,0.0,21,20:07,0,0,0,
60,2024-04-02,18-260,CHI,NYI,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,20,22:52,1,0,1,0.0
61,2024-04-06,18-264,CHI,DAL,W,1,0,1,0,0,0,1,0,0,0,0,0,4,25.0,21,21:54,1,1,1,50.0
62,2024-04-07,18-265,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,18:24,2,2,1,66.7
63,2024-04-10,18-268,CHI,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,19:52,1,3,5,37.5
64,2024-04-12,18-270,CHI,NSH,L,0,1,1,-1,2,0,0,0,0,0,1,0,3,0.0,19,19:58,2,4,5,44.4
65,2024-04-14,18-272,CHI,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,20:10,1,4,5,44.4
66,2024-04-16,18-274,CHI,VEG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,19:06,0,0,2,0.0
67,2024-04-18,18-276,CHI,LAK,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,24,21:04,1,3,8,27.3
