,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-12-08,22-272,ARI,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,10:30,1,0,0,
1,2018-12-11,22-275,ARI,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,12:30,1,1,0,100.0
2,2018-12-13,22-277,ARI,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,16:33,1,1,0,100.0
3,2018-12-14,22-278,ARI,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,18,15:35,0,0,0,
4,2018-12-16,22-280,ARI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:32,0,0,0,
5,2018-12-18,22-282,ARI,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:31,1,0,0,
6,2018-12-20,22-284,ARI,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,10:17,0,0,0,
7,2018-12-22,22-286,ARI,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,11,9:24,0,0,0,
8,2018-12-23,22-287,ARI,SJS,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,17,12:10,1,0,0,
9,2018-12-27,22-291,ARI,LAK,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,18,11:41,0,0,0,
10,2018-12-29,22-293,ARI,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,17,11:32,1,0,1,0.0
11,2018-12-30,22-294,ARI,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,18,14:41,0,0,0,
12,2019-01-02,22-297,ARI,EDM,L,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,16,12:36,0,0,0,
13,2019-01-04,22-299,ARI,NJD,L-SO,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,18,16:09,0,0,1,0.0
14,2019-01-06,22-301,ARI,NYR,W,2,0,2,2,0,1,1,0,1,0,0,0,7,28.6,18,13:17,0,0,0,
15,2019-01-10,22-305,ARI,VAN,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,16:41,2,0,0,
16,2019-01-12,22-307,ARI,EDM,W,2,0,2,0,0,0,2,0,1,0,0,0,5,40.0,13,8:27,0,0,0,
17,2019-01-13,22-308,ARI,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:44,0,0,0,
18,2019-01-16,22-311,ARI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,11:27,2,0,1,0.0
19,2019-01-18,22-313,ARI,PIT,L-OT,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,18,15:29,0,0,1,0.0
20,2019-01-20,22-315,ARI,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:12,0,0,0,
21,2019-01-22,22-317,ARI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:07,0,0,0,
22,2019-01-23,22-318,ARI,MTL,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,16,14:50,1,0,0,
23,2019-02-02,22-328,ARI,SJS,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,14:06,1,0,0,
24,2019-02-04,22-330,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:00,1,0,0,
25,2019-02-05,22-331,ARI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:38,1,0,0,
26,2019-02-07,22-333,ARI,CBJ,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,16:46,1,0,0,
27,2019-02-09,22-335,ARI,DAL,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,18,11:12,1,0,0,
28,2019-02-12,22-338,ARI,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,18,12:11,2,0,1,0.0
29,2019-02-14,22-340,ARI,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,15:26,2,0,0,
30,2019-02-16,22-342,ARI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:55,1,0,0,
31,2019-02-18,22-344,ARI,CGY,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,12:45,1,0,0,
32,2019-02-19,22-345,ARI,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:51,1,0,0,
33,2019-02-21,22-347,ARI,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,17,11:43,0,0,0,
34,2019-02-24,22-350,ARI,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,14,9:06,0,1,0,100.0
35,2019-02-26,22-352,ARI,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,9:16,1,0,0,
36,2019-02-28,22-354,ARI,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,10:22,1,0,0,
37,2019-03-02,22-356,ARI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,17,11:49,0,5,0,100.0
38,2019-03-05,22-359,ARI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:15,0,2,1,66.7
39,2019-03-16,23-005,ARI,EDM,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,14:23,3,0,2,0.0
40,2019-03-18,23-007,ARI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:25,1,0,0,
41,2019-03-21,23-010,ARI,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,23,14:19,0,0,0,
42,2019-03-23,23-012,ARI,NJD,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,10:31,0,0,0,
43,2019-03-31,23-020,ARI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:07,1,0,0,
44,2019-04-02,23-022,ARI,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,14:05,1,0,0,
45,2019-04-04,23-024,ARI,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,21,12:37,1,0,0,
46,2019-04-06,23-026,ARI,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,13:25,1,0,0,
47,2019-10-03,23-206,ARI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:28,0,0,0,
48,2019-10-05,23-208,ARI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,10:49,2,0,0,
49,2019-10-10,23-213,ARI,VEG,W,2,0,2,2,0,2,0,0,0,0,0,0,2,100.0,16,11:36,0,0,0,
50,2019-10-12,23-215,ARI,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:05,0,0,0,
51,2019-10-15,23-218,ARI,WPG,W,1,0,1,2,4,1,0,0,0,0,0,0,2,50.0,19,10:54,1,0,0,
52,2019-10-17,23-220,ARI,NSH,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,21,12:43,0,0,0,
53,2019-10-19,23-222,ARI,OTT,W,1,1,2,0,0,1,0,0,1,0,1,0,3,33.3,21,14:15,1,0,0,
54,2019-10-22,23-225,ARI,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:31,0,0,0,
55,2019-10-24,23-227,ARI,NYI,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,16,14:51,0,0,0,
56,2019-10-25,23-228,ARI,NJD,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,16,13:02,0,0,0,
57,2019-10-28,23-231,ARI,BUF,W,1,1,2,1,0,1,0,0,0,0,1,0,4,25.0,15,12:43,0,0,0,
58,2019-10-30,23-233,ARI,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,14:58,2,0,0,
59,2019-11-02,23-236,ARI,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,10:51,0,0,0,
60,2019-11-04,23-238,ARI,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,11:44,0,0,0,
61,2019-11-05,23-239,ARI,CGY,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,15:11,0,0,0,
62,2019-11-07,23-241,ARI,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,13:25,0,0,0,
63,2019-11-09,23-243,ARI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:55,0,0,0,
64,2019-11-11,23-245,ARI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:20,1,0,0,
65,2019-11-12,23-246,ARI,STL,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,20,13:58,0,0,0,
66,2019-11-14,23-248,ARI,MIN,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,16:30,0,0,0,
67,2019-11-16,23-250,ARI,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,15:00,2,0,0,
68,2019-11-18,23-252,ARI,LAK,W,1,1,2,1,0,1,0,0,1,0,1,0,2,50.0,18,13:01,0,0,0,
69,2019-11-21,23-255,ARI,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,15:32,1,0,0,
70,2019-11-23,23-257,ARI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:59,0,0,0,
71,2019-11-24,23-258,ARI,EDM,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:08,1,0,0,
72,2019-11-27,23-261,ARI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,12:24,2,0,0,
73,2019-11-29,23-263,ARI,VEG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,22,17:16,0,0,0,
