,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-03,21-015,COL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:59,0,0,0,
1,2019-10-05,21-017,COL,MIN,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,18,10:50,0,0,0,
2,2021-01-13,22-117,COL,STL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,21,15:47,1,0,0,
3,2021-01-15,22-119,COL,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,14:55,1,0,0,
4,2021-01-19,22-123,COL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:41,0,0,0,
5,2021-01-21,22-125,COL,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:45,0,0,0,
6,2021-01-24,22-128,COL,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,11:28,0,0,0,
7,2021-01-30,22-134,COL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:56,0,0,0,
8,2021-01-31,22-135,COL,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:27,0,0,0,
9,2021-02-02,22-137,COL,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,14:27,2,0,0,
10,2021-02-14,22-149,COL,VEG,L,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,27,19:00,1,0,0,
11,2021-02-16,22-151,COL,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,20:15,0,0,0,
12,2021-02-20,22-155,COL,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:52,1,0,0,
13,2021-02-22,22-157,COL,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,13:23,0,0,0,
14,2021-02-24,22-159,COL,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,11,7:44,0,0,0,
