,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-10-07,22-032,NSH,CBJ,W,1,0,1,1,2,1,0,0,0,,,,5,20.0,18,13:27,1,0,1,0.0
1,2011-10-08,22-033,NSH,STL,W,1,2,3,1,0,0,1,0,0,,,,2,50.0,18,14:28,0,0,2,0.0
2,2011-10-13,22-038,NSH,PHX,L,0,0,0,-3,0,0,0,0,0,,,,4,0.0,19,15:58,0,1,0,100.0
3,2011-10-15,22-040,NSH,NJD,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,7:26,1,0,0,
4,2011-10-17,22-042,NSH,EDM,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,15:09,1,0,0,
5,2011-10-20,22-045,NSH,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,20,12:34,2,3,2,60.0
6,2011-10-22,22-047,NSH,CGY,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,25,16:51,0,6,3,66.7
7,2011-10-25,22-050,NSH,SJS,L,1,0,1,-1,0,0,1,0,0,,,,6,16.7,26,19:41,2,2,2,50.0
8,2011-10-27,22-052,NSH,TBL,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,22,17:48,0,0,1,0.0
9,2011-10-29,22-054,NSH,ANA,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,25,17:59,1,2,5,28.6
10,2011-10-31,22-056,NSH,CHI,L-OT,1,0,1,-1,2,1,0,0,0,,,,2,50.0,23,15:46,2,5,6,45.5
11,2011-11-03,22-059,NSH,PHX,W,0,1,1,1,2,0,0,0,0,,,,6,0.0,22,14:44,2,7,5,58.3
12,2011-11-05,22-061,NSH,SJS,W,0,0,0,-2,0,0,0,0,0,,,,2,0.0,23,16:53,0,1,1,50.0
13,2011-11-08,22-064,NSH,LAK,L,1,0,1,-1,0,0,1,0,0,,,,3,33.3,23,18:53,1,5,6,45.5
14,2011-11-09,22-065,NSH,ANA,W,2,1,3,2,2,2,0,0,0,,,,6,33.3,20,15:42,0,5,9,35.7
15,2011-11-12,22-068,NSH,MTL,L-OT,0,0,0,-1,0,0,0,0,0,,,,6,0.0,20,15:24,2,2,5,28.6
