,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,19-249,OTT,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:04,3,5,3,62.5
1,2014-10-11,19-251,OTT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:38,1,3,5,37.5
2,2014-10-16,19-256,OTT,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,15:09,3,1,0,100.0
3,2014-10-18,19-258,OTT,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:15,4,2,0,100.0
4,2014-10-25,19-265,OTT,NJD,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,10:47,4,1,0,100.0
5,2014-10-28,19-268,OTT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,10:55,3,5,5,50.0
6,2014-10-30,19-270,OTT,CHI,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,12:24,1,3,6,33.3
7,2014-11-01,19-272,OTT,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,12:43,2,8,6,57.1
8,2014-11-04,19-275,OTT,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,11:35,2,3,4,42.9
9,2014-11-06,19-277,OTT,MIN,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,19,11:28,2,7,3,70.0
10,2014-11-08,19-279,OTT,WPG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,11:43,0,1,3,25.0
11,2014-11-09,19-280,OTT,TOR,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:44,3,2,5,28.6
12,2014-11-11,19-282,OTT,VAN,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,17,13:56,1,5,2,71.4
13,2014-11-13,19-284,OTT,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,12:08,0,3,6,33.3
14,2014-11-15,19-286,OTT,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,11:37,2,5,7,41.7
15,2014-11-24,19-295,OTT,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:17,3,5,5,50.0
16,2014-11-25,19-296,OTT,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,12:37,1,4,8,33.3
17,2014-11-28,19-299,OTT,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:47,1,5,4,55.6
18,2014-11-29,19-300,OTT,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:42,1,5,6,45.5
19,2014-12-02,19-303,OTT,NYI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,16:38,3,0,1,0.0
20,2014-12-04,19-305,OTT,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,13:02,2,6,4,60.0
21,2014-12-06,19-307,OTT,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:40,3,5,4,55.6
22,2014-12-07,19-308,OTT,VAN,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,12:01,2,4,9,30.8
23,2014-12-11,19-312,OTT,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,14:23,3,3,5,37.5
24,2014-12-13,19-314,OTT,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:30,5,1,10,9.1
25,2014-12-15,19-316,OTT,BUF,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,11:11,2,4,3,57.1
26,2014-12-17,19-318,OTT,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:30,1,2,0,100.0
27,2015-01-10,19-342,OTT,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,17,11:41,2,0,1,0.0
28,2015-01-13,19-345,OTT,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:17,0,0,0,
29,2015-01-15,19-347,OTT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,9:18,2,2,0,100.0
30,2015-01-17,19-349,OTT,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,7:34,1,0,1,0.0
31,2015-01-21,19-353,OTT,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:48,4,2,6,25.0
32,2015-01-29,19-361,OTT,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:13,3,4,3,57.1
33,2015-01-31,19-363,OTT,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,13:50,2,0,0,
34,2015-02-03,20-001,OTT,NJD,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,16,11:40,3,0,0,
35,2015-02-05,20-003,OTT,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:18,4,1,0,100.0
36,2015-02-07,20-005,OTT,CBJ,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,16:25,3,0,0,
37,2015-02-10,20-008,OTT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:44,0,0,0,
38,2015-02-12,20-010,OTT,PIT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:43,2,8,7,53.3
39,2015-02-14,20-012,OTT,EDM,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,18,13:49,2,7,7,50.0
40,2015-02-16,20-014,OTT,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:06,2,6,5,54.5
41,2015-02-18,20-016,OTT,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:49,7,0,0,
42,2015-02-21,20-019,OTT,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,14:38,4,0,0,
43,2015-02-25,20-023,OTT,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:26,3,0,0,
44,2015-02-26,20-024,OTT,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:06,6,0,0,
45,2015-03-03,20-029,OTT,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:13,2,0,0,
46,2015-03-04,20-030,OTT,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:43,3,0,0,
47,2015-03-06,20-032,OTT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:54,5,0,0,
48,2015-03-08,20-034,OTT,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:45,4,0,0,
49,2015-03-10,20-036,OTT,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,15,11:15,3,1,0,100.0
50,2015-03-12,20-038,OTT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:15,3,0,0,
51,2015-03-13,20-039,OTT,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:39,5,0,0,
52,2015-03-15,20-041,OTT,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,13:00,5,0,0,
53,2015-03-17,20-043,OTT,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:06,2,0,0,
54,2015-03-19,20-045,OTT,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:43,3,0,0,
55,2015-03-21,20-047,OTT,TOR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,15:14,3,0,0,
56,2015-03-23,20-049,OTT,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:07,1,0,0,
57,2015-03-26,20-052,OTT,NYR,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,14:30,2,0,0,
58,2015-03-28,20-054,OTT,TOR,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,23,16:33,0,0,0,
59,2015-03-29,20-055,OTT,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,14:34,2,0,0,
60,2015-03-31,20-057,OTT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:54,3,0,0,
61,2015-04-02,20-059,OTT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:31,2,0,0,
62,2015-04-04,20-061,OTT,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:01,3,0,0,
63,2015-04-05,20-062,OTT,TOR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:46,2,0,0,
64,2015-04-07,20-064,OTT,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:39,2,0,0,
65,2015-04-09,20-066,OTT,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,17,12:26,3,0,0,
66,2015-04-11,20-068,OTT,PHI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,14:28,1,0,0,
67,2015-10-08,20-248,OTT,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,26,17:30,2,1,1,50.0
68,2015-10-10,20-250,OTT,TOR,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,14:28,2,1,0,100.0
69,2015-10-11,20-251,OTT,MTL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:26,0,0,0,
70,2015-10-14,20-254,OTT,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,17:20,0,0,0,
71,2015-10-15,20-255,OTT,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:53,2,0,1,0.0
72,2015-10-17,20-257,OTT,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,19:31,4,0,0,
73,2015-10-22,20-262,OTT,NJD,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,17:29,1,0,1,0.0
74,2015-10-24,20-264,OTT,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,7,4:54,0,0,0,
75,2015-11-03,20-274,OTT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:28,5,0,0,
76,2015-11-05,20-276,OTT,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,20:03,3,1,2,33.3
77,2015-11-07,20-278,OTT,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,12:42,0,2,2,50.0
78,2015-11-10,20-281,OTT,NSH,L,1,0,1,-2,0,0,1,0,0,0,0,0,1,100.0,17,11:06,0,0,0,
79,2015-11-12,20-283,OTT,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:31,2,0,2,0.0
80,2015-11-14,20-285,OTT,NYR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:24,0,1,0,100.0
81,2015-11-16,20-287,OTT,DET,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:22,1,3,0,100.0
82,2015-11-19,20-290,OTT,CBJ,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,18,11:51,2,0,1,0.0
83,2015-11-21,20-292,OTT,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,13:37,2,1,1,50.0
84,2015-11-24,20-295,OTT,DAL,W,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,23,15:04,0,2,1,66.7
85,2015-11-25,20-296,OTT,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,18:17,0,1,1,50.0
86,2015-11-28,20-299,OTT,ARI,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,23,16:29,0,3,2,60.0
87,2015-12-01,20-302,OTT,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:35,3,1,2,33.3
88,2015-12-03,20-304,OTT,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:37,2,0,0,
89,2015-12-05,20-306,OTT,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:07,4,0,0,
90,2015-12-06,20-307,OTT,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:40,1,1,0,100.0
91,2015-12-08,20-309,OTT,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:59,2,0,0,
92,2015-12-10,20-311,OTT,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,8:48,0,5,3,62.5
93,2015-12-12,20-313,OTT,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:08,4,3,5,37.5
94,2015-12-14,20-315,OTT,LAK,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,15,9:04,3,0,5,0.0
95,2015-12-16,20-317,OTT,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,11,8:20,1,3,5,37.5
96,2015-12-18,20-319,OTT,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:49,1,2,4,33.3
97,2015-12-20,20-321,OTT,TBL,L,0,1,1,0,0,0,0,0,0,0,0,1,1,0.0,19,11:46,1,2,2,50.0
98,2015-12-22,20-323,OTT,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:04,0,0,0,
99,2015-12-30,20-331,OTT,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:37,2,2,0,100.0
100,2016-01-03,20-335,OTT,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:20,2,0,3,0.0
101,2016-01-04,20-336,OTT,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:03,4,2,1,66.7
102,2016-01-07,20-339,OTT,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:07,2,0,0,
