,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-27,21-165,MIN,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:12,1,0,0,
1,2023-10-29,21-167,MIN,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:33,0,0,0,
2,2023-11-04,21-173,MIN,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:18,0,0,0,
3,2023-11-07,21-176,MIN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:40,0,0,0,
4,2023-11-09,21-178,MIN,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:17,1,0,0,
5,2023-12-16,21-215,MIN,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:44,0,0,0,
6,2023-12-18,21-217,MIN,PIT,L,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,16,15:52,0,0,0,
7,2023-12-19,21-218,MIN,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:56,0,0,0,
8,2023-12-21,21-220,MIN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:28,2,0,0,
9,2024-01-08,21-238,MIN,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:41,2,0,0,
10,2024-01-15,21-245,MIN,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,14:35,1,0,0,
11,2024-01-18,21-248,MIN,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:47,1,0,0,
