,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,20-063,NJD,PHI,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,28,18:39,0,0,0,
1,2014-10-11,20-065,NJD,FLA,W,1,1,2,2,0,1,0,0,0,0,1,0,3,33.3,26,18:55,0,0,0,
2,2014-10-14,20-068,NJD,TBL,W,0,0,0,1,4,0,0,0,0,0,0,0,2,0.0,29,19:37,2,0,0,
3,2014-10-16,20-070,NJD,WSH,L,2,0,2,0,0,2,0,0,0,0,0,0,8,25.0,29,21:41,2,0,0,
4,2014-10-18,20-072,NJD,SJS,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,28,20:29,0,0,0,
5,2014-10-21,20-075,NJD,NYR,L-OT,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,28,23:06,0,0,0,
6,2014-10-24,20-078,NJD,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,37,25:41,0,0,0,
7,2014-10-25,20-079,NJD,OTT,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,34,27:31,0,0,0,
8,2014-10-28,20-082,NJD,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,28,22:13,1,0,0,
9,2014-10-30,20-084,NJD,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,29,23:51,0,0,0,
10,2014-11-01,20-086,NJD,CBJ,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,27,20:09,0,0,0,
11,2014-11-04,20-089,NJD,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,23:02,0,0,0,
12,2014-11-06,20-091,NJD,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,20:08,0,0,0,
13,2014-11-07,20-092,NJD,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,31,26:07,0,0,1,0.0
14,2014-11-10,20-095,NJD,BOS,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,30,21:29,0,0,0,
15,2014-11-11,20-096,NJD,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,33,23:26,1,0,0,
16,2014-11-14,20-099,NJD,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,29,21:49,0,0,0,
17,2014-11-15,20-100,NJD,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,31,24:03,0,0,0,
18,2014-11-18,20-103,NJD,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,30,22:56,1,0,0,
19,2014-11-21,20-106,NJD,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,28,23:00,0,0,0,
20,2014-11-22,20-107,NJD,CGY,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,39,27:22,0,0,0,
21,2014-11-25,20-110,NJD,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,35,25:37,0,0,0,
22,2014-11-28,20-113,NJD,DET,L-SO,0,2,2,1,2,0,0,0,0,1,1,0,0,,35,26:26,0,0,0,
23,2014-11-29,20-114,NJD,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,28,24:20,0,0,0,
24,2014-12-02,20-117,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,35,26:17,0,0,0,
25,2014-12-04,20-119,NJD,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,23:18,1,0,0,
26,2014-12-06,20-121,NJD,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,34,23:55,1,0,0,
27,2014-12-08,20-123,NJD,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,27,20:41,1,0,0,
28,2014-12-09,20-124,NJD,CHI,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,30,23:15,0,0,0,
