,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-15,19-187,WPG,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:59,0,3,1,75.0
1,2019-10-17,19-189,WPG,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:22,1,1,1,50.0
2,2019-10-20,19-192,WPG,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:58,0,3,3,50.0
3,2019-10-22,19-194,WPG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:15,0,4,6,40.0
4,2019-10-26,19-198,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6,3:17,0,1,0,100.0
5,2019-10-29,19-201,WPG,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:33,0,3,3,50.0
6,2019-11-01,19-204,WPG,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,6:43,0,0,0,
7,2019-11-02,19-205,WPG,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:03,1,2,2,50.0
8,2019-11-05,19-208,WPG,NJD,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:47,0,3,2,60.0
9,2019-11-08,19-211,WPG,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:42,0,1,2,33.3
10,2019-11-10,19-213,WPG,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:34,0,1,2,33.3
11,2019-11-12,19-215,WPG,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:42,0,0,2,0.0
12,2019-11-14,19-217,WPG,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:44,0,1,1,50.0
13,2019-11-16,19-219,WPG,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:25,0,1,0,100.0
14,2019-11-19,19-222,WPG,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,4:35,0,1,0,100.0
15,2019-11-21,19-224,WPG,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,5,3:18,0,0,0,
16,2019-11-23,19-226,WPG,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:15,0,0,0,
17,2019-11-27,19-230,WPG,SJS,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,12,8:33,0,3,1,75.0
18,2019-11-29,19-232,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:22,2,4,1,80.0
19,2019-11-30,19-233,WPG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:39,1,0,1,0.0
20,2019-12-03,19-236,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:46,0,1,0,100.0
21,2019-12-05,19-238,WPG,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:36,0,1,1,50.0
22,2021-01-24,20-288,WPG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,4:39,0,1,3,25.0
23,2021-01-26,20-290,WPG,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:07,0,4,1,80.0
24,2021-01-30,20-294,WPG,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:57,0,3,6,33.3
25,2021-02-04,20-299,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:33,0,3,0,100.0
26,2021-12-17,21-250,WPG,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:37,0,0,2,0.0
27,2022-01-02,21-266,WPG,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2:19,0,0,2,0.0
28,2022-10-14,22-186,WPG,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,8:36,0,5,2,71.4
29,2022-10-17,22-189,WPG,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:34,1,0,3,0.0
30,2022-10-19,22-191,WPG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:42,0,2,4,33.3
31,2022-10-20,22-192,WPG,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:28,0,4,3,57.1
32,2022-10-22,22-194,WPG,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:52,0,2,2,50.0
33,2022-10-24,22-196,WPG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:58,3,1,1,50.0
34,2022-10-27,22-199,WPG,LAK,W,0,1,1,2,0,0,0,0,0,0,0,1,0,,18,10:12,0,4,1,80.0
35,2022-10-28,22-200,WPG,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:05,1,0,4,0.0
36,2022-10-30,22-202,WPG,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:06,2,1,5,16.7
37,2022-11-03,22-206,WPG,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,8:00,0,5,1,83.3
38,2022-11-05,22-208,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:43,0,1,5,16.7
39,2022-11-08,22-211,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:26,1,1,10,9.1
40,2022-11-12,22-215,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:43,0,4,2,66.7
41,2022-11-13,22-216,WPG,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:41,0,1,2,33.3
42,2022-11-17,22-220,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,8:26,0,2,2,50.0
43,2022-11-19,22-222,WPG,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:14,0,1,1,50.0
44,2022-11-21,22-224,WPG,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,9:48,0,1,0,100.0
45,2022-11-23,22-226,WPG,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,13:34,0,4,5,44.4
46,2022-11-25,22-228,WPG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:16,0,1,6,14.3
47,2022-11-29,22-232,WPG,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,12:06,0,4,0,100.0
48,2022-12-02,22-235,WPG,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:03,0,4,5,44.4
49,2022-12-04,22-237,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:40,0,2,2,50.0
50,2022-12-06,22-239,WPG,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:09,1,2,1,66.7
51,2022-12-08,22-241,WPG,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,12:55,1,1,2,33.3
