,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-15,19-353,NJD,CHI,W,0,1,1,1,4,0,0,0,0,1,0,0,2,0.0,15,12:03,0,1,6,14.3
1,2021-10-19,19-357,NJD,SEA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,12:07,0,9,7,56.3
2,2021-10-21,19-359,NJD,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:17,2,1,5,16.7
3,2021-10-23,19-361,NJD,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,14:38,0,3,2,60.0
4,2021-10-26,19-364,NJD,CGY,L,1,1,2,0,0,1,0,0,0,0,1,0,5,20.0,25,16:20,0,8,6,57.1
5,2021-10-30,20-003,NJD,PIT,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,18,14:04,2,3,8,27.3
6,2021-10-31,20-004,NJD,CBJ,L-SO,1,0,1,2,2,1,0,0,0,0,0,0,5,20.0,24,18:08,1,4,5,44.4
7,2021-11-02,20-006,NJD,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:17,0,1,6,14.3
8,2021-11-05,20-009,NJD,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:22,0,1,8,11.1
9,2021-11-06,20-010,NJD,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,20,18:39,0,5,3,62.5
10,2021-11-09,20-013,NJD,FLA,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,20,14:45,0,4,4,50.0
11,2021-11-11,20-015,NJD,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,15:51,0,1,4,20.0
12,2021-11-13,20-017,NJD,BOS,L,1,1,2,1,2,1,0,0,0,1,0,0,3,33.3,23,16:28,0,4,6,40.0
13,2021-11-14,20-018,NJD,NYR,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,26,19:20,1,8,12,40.0
14,2021-11-18,20-022,NJD,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,17:52,1,2,5,28.6
15,2021-11-20,20-024,NJD,TBL,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,25,19:29,0,4,15,21.1
16,2021-11-24,20-028,NJD,MIN,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,29,20:21,1,3,7,30.0
17,2021-11-26,20-030,NJD,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,16:56,0,3,6,33.3
18,2021-11-28,20-032,NJD,PHI,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,21,16:05,0,2,10,16.7
19,2021-11-30,20-034,NJD,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,16:40,0,7,6,53.8
20,2021-12-02,20-036,NJD,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,25,18:33,0,3,10,23.1
21,2021-12-03,20-037,NJD,WPG,L,0,0,0,-4,0,0,0,0,0,0,0,0,0,,22,17:51,0,1,8,11.1
22,2021-12-06,20-040,NJD,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:52,0,6,5,54.5
23,2021-12-08,20-042,NJD,PHI,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,20,14:31,0,3,8,27.3
24,2021-12-10,20-044,NJD,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,15:43,0,4,6,40.0
25,2021-12-11,20-045,NJD,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,26,19:03,0,2,11,15.4
26,2021-12-14,20-048,NJD,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,15:46,0,2,6,25.0
27,2021-12-16,20-050,NJD,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,14:08,0,6,6,50.0
28,2021-12-18,20-052,NJD,DET,L,1,0,1,0,0,0,0,1,0,0,0,0,4,25.0,22,17:13,0,7,12,36.8
29,2021-12-19,20-053,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,18:04,0,4,4,50.0
30,2021-12-29,20-063,NJD,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,13:16,0,3,4,42.9
31,2021-12-31,20-065,NJD,EDM,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,20,15:54,0,2,2,50.0
32,2022-01-02,20-067,NJD,WSH,W,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,21,14:22,0,5,2,71.4
33,2022-01-04,20-069,NJD,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,17:16,0,6,12,33.3
34,2022-01-06,20-071,NJD,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:03,0,3,5,37.5
35,2022-01-08,20-073,NJD,CBJ,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,30,21:39,0,1,2,33.3
36,2022-01-13,20-078,NJD,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:41,0,0,4,0.0
37,2022-01-19,20-084,NJD,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,18,13:31,0,2,3,40.0
38,2022-01-22,20-087,NJD,CAR,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,18,13:46,0,1,5,16.7
39,2022-01-23,20-088,NJD,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:10,0,3,6,33.3
40,2022-01-25,20-090,NJD,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,15:49,0,0,5,0.0
41,2022-01-27,20-092,NJD,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:49,0,3,7,30.0
42,2022-01-29,20-094,NJD,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:36,1,2,3,40.0
43,2022-01-31,20-096,NJD,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,14:17,0,2,9,18.2
44,2022-02-01,20-097,NJD,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:17,1,3,3,50.0
45,2022-02-07,20-103,NJD,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:15,0,3,4,42.9
46,2022-02-08,20-104,NJD,MTL,W,1,1,2,2,0,1,0,0,1,1,0,0,4,25.0,24,16:03,0,1,3,25.0
