,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-04-08,19-305,DAL,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:06,1,0,0,
1,2018-11-08,21-154,DAL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:02,1,0,0,
2,2018-11-10,21-156,DAL,NSH,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,11:56,1,0,0,
3,2018-12-15,21-191,DAL,COL,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,13:41,4,0,0,
4,2018-12-18,21-194,DAL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:21,3,0,0,
5,2018-12-20,21-196,DAL,CHI,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,25,15:58,1,0,0,
6,2018-12-22,21-198,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:35,1,0,0,
7,2018-12-23,21-199,DAL,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:30,2,0,0,
8,2018-12-27,21-203,DAL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:24,2,0,0,
9,2018-12-29,21-205,DAL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,12:18,1,0,0,
10,2018-12-31,21-207,DAL,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:53,0,0,0,
11,2019-01-02,21-209,DAL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:44,0,0,0,
12,2019-01-19,21-226,DAL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,9:24,0,0,0,
13,2019-01-30,21-237,DAL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:56,2,0,0,
14,2019-02-01,21-239,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:59,0,0,0,
