,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-03-01,29-063,CAR,NJD,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,20,14:38,0,12,7,63.2
1,2016-03-05,29-067,CAR,TBL,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,18,12:16,1,4,4,50.0
2,2016-03-22,29-084,CAR,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,13:18,1,7,6,53.8
3,2016-03-29,29-091,CAR,NYI,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,13:57,0,3,3,50.0
4,2016-03-31,29-093,CAR,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,11:28,0,6,4,60.0
5,2016-04-07,29-100,CAR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,7:36,0,3,0,100.0
6,2016-11-12,29-319,CAR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:30,1,9,6,60.0
7,2016-11-15,29-322,CAR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:01,0,6,1,85.7
8,2016-11-18,29-325,CAR,MTL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,24,16:32,2,5,5,50.0
9,2016-11-20,29-327,CAR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:25,0,5,5,50.0
10,2016-11-22,29-329,CAR,TOR,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,16,11:08,2,3,2,60.0
11,2016-11-24,29-331,CAR,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:37,1,4,4,50.0
12,2016-11-26,29-333,CAR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:51,1,3,4,42.9
13,2016-11-27,29-334,CAR,FLA,W,1,0,1,-1,0,0,1,0,1,0,0,0,1,100.0,13,10:51,1,7,6,53.8
14,2016-11-29,29-336,CAR,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:27,0,3,2,60.0
15,2016-12-01,29-338,CAR,BOS,L-SO,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,17,10:46,0,7,2,77.8
16,2016-12-03,29-340,CAR,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,14:05,0,4,7,36.4
17,2016-12-04,29-341,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,11:27,1,7,4,63.6
18,2016-12-07,29-344,CAR,ANA,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,13:45,2,6,4,60.0
19,2016-12-08,29-345,CAR,LAK,W,2,0,2,1,0,1,0,1,1,0,0,0,2,100.0,21,12:23,0,6,6,50.0
20,2016-12-10,29-347,CAR,SJS,L,1,0,1,-2,2,0,1,0,0,0,0,0,1,100.0,28,16:26,0,7,8,46.7
21,2016-12-13,29-350,CAR,VAN,W,0,3,3,1,0,0,0,0,0,1,2,0,2,0.0,21,14:57,0,3,4,42.9
22,2016-12-16,29-353,CAR,WSH,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,22,17:05,0,3,1,75.0
23,2016-12-17,29-354,CAR,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:31,1,3,3,50.0
24,2016-12-22,29-359,CAR,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,14:52,0,2,1,66.7
25,2016-12-23,29-360,CAR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:45,0,5,5,50.0
26,2016-12-28,29-365,CAR,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,15:16,1,3,5,37.5
27,2016-12-30,30-001,CAR,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:17,1,3,4,42.9
28,2016-12-31,30-002,CAR,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,17:21,0,3,1,75.0
29,2017-01-03,30-005,CAR,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:42,1,11,4,73.3
30,2017-01-05,30-007,CAR,STL,W,2,0,2,1,2,2,0,0,0,0,0,0,2,100.0,26,15:35,0,11,6,64.7
31,2017-01-06,30-008,CAR,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,24,20:02,0,4,7,36.4
32,2017-01-08,30-010,CAR,BOS,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,22,16:54,0,6,3,66.7
33,2017-01-10,30-012,CAR,CBJ,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,24,13:58,0,4,3,57.1
34,2017-01-13,30-015,CAR,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,16:37,0,6,1,85.7
35,2017-01-14,30-016,CAR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,17:00,1,4,3,57.1
36,2017-01-17,30-019,CAR,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,19:46,1,7,3,70.0
37,2017-01-20,30-022,CAR,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:42,0,10,6,62.5
38,2017-01-21,30-023,CAR,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:12,0,8,7,53.3
39,2017-01-23,30-025,CAR,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,16:12,0,8,9,47.1
40,2017-01-26,30-028,CAR,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,16:22,1,3,1,75.0
41,2017-01-31,30-033,CAR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,16:45,0,12,7,63.2
42,2017-02-03,30-036,CAR,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:17,0,8,3,72.7
43,2017-02-04,30-037,CAR,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,13:20,0,8,7,53.3
44,2017-02-07,30-040,CAR,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,15:16,0,14,3,82.4
45,2017-02-11,30-044,CAR,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:19,1,6,6,50.0
46,2017-02-17,30-050,CAR,COL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,14:02,1,2,3,40.0
47,2017-02-21,30-054,CAR,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:40,2,2,9,18.2
48,2017-02-26,30-059,CAR,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,14:15,0,7,3,70.0
49,2017-02-28,30-061,CAR,FLA,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,28,18:52,1,4,5,44.4
50,2017-03-01,30-062,CAR,TBL,L-OT,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,21,14:21,0,8,4,66.7
51,2017-03-03,30-064,CAR,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:42,0,7,1,87.5
52,2017-03-05,30-066,CAR,ARI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,23,16:53,0,6,6,50.0
53,2017-03-07,30-068,CAR,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,15:28,0,5,8,38.5
54,2017-03-09,30-070,CAR,NYR,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,19,14:33,1,2,3,40.0
