,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-11-18,23-254,COL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:20,2,5,6,45.5
1,2017-11-19,23-255,COL,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,9:43,1,4,2,66.7
2,2017-11-22,23-258,COL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:56,0,5,7,41.7
3,2017-11-24,23-260,COL,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:21,0,1,7,12.5
4,2017-11-25,23-261,COL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:16,1,3,1,75.0
5,2017-11-29,23-265,COL,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,9,4:58,0,3,2,60.0
6,2017-12-01,23-267,COL,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5:18,1,2,0,100.0
7,2017-12-03,23-269,COL,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:48,0,6,4,60.0
8,2018-01-18,23-315,COL,SJS,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,12,7:53,1,0,1,0.0
9,2018-01-20,23-317,COL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:59,0,0,1,0.0
10,2018-01-22,23-319,COL,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,11,7:52,1,0,0,
11,2018-01-23,23-320,COL,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,7:30,0,1,2,33.3
12,2018-01-25,23-322,COL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,6:23,0,1,2,33.3
13,2018-01-30,23-327,COL,VAN,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,11,5:15,0,0,2,0.0
14,2018-02-01,23-329,COL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:54,0,3,2,60.0
15,2018-02-03,23-331,COL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:02,1,3,4,42.9
16,2018-02-06,23-334,COL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:47,0,6,4,60.0
17,2018-02-08,23-336,COL,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,10:31,1,3,6,33.3
18,2018-02-10,23-338,COL,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:21,1,3,5,37.5
19,2018-02-11,23-339,COL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:06,1,1,5,16.7
20,2018-02-14,23-342,COL,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,6:48,0,2,3,40.0
21,2018-02-16,23-344,COL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:14,0,1,5,16.7
22,2018-02-18,23-346,COL,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,7:25,0,4,2,66.7
23,2018-02-24,23-352,COL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:40,1,2,2,50.0
24,2018-02-26,23-354,COL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:27,0,3,4,42.9
25,2018-02-28,23-356,COL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:13,0,1,2,33.3
26,2018-03-02,23-358,COL,MIN,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,11:25,0,4,6,40.0
27,2018-03-04,23-360,COL,NSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,7,5:09,0,1,1,50.0
28,2018-03-06,23-362,COL,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:41,2,2,4,33.3
29,2018-03-08,23-364,COL,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:30,0,0,1,0.0
30,2018-03-13,24-004,COL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:10,1,0,3,0.0
31,2018-03-15,24-006,COL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:40,0,3,2,60.0
32,2018-03-16,24-007,COL,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,8:19,1,2,5,28.6
33,2018-03-20,24-011,COL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:47,3,4,6,40.0
34,2018-03-24,24-015,COL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,4:21,1,1,1,50.0
35,2018-03-26,24-017,COL,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:04,4,3,2,60.0
36,2018-03-28,24-019,COL,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,10,8:07,0,0,4,0.0
37,2019-02-14,24-342,COL,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,12,7:33,0,0,1,0.0
38,2019-02-16,24-344,COL,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:51,0,0,3,0.0
39,2019-11-07,25-243,FLA,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,11:12,0,6,1,85.7
40,2019-11-09,25-245,FLA,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:44,0,0,7,0.0
41,2019-11-10,25-246,FLA,NYR,W,1,0,1,1,7,1,0,0,0,0,0,0,1,100.0,14,7:26,3,3,2,60.0
42,2019-11-19,25-255,FLA,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,13:24,2,1,2,33.3
43,2019-11-21,25-257,FLA,ANA,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,14,9:43,5,3,1,75.0
44,2019-11-23,25-259,FLA,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,12,9:52,2,4,3,57.1
45,2019-11-24,25-260,FLA,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,11:11,1,1,2,33.3
46,2019-11-27,25-263,FLA,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,12,7:55,2,2,2,50.0
47,2019-11-30,25-266,FLA,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:12,0,0,0,
48,2019-12-03,25-269,FLA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:57,0,0,0,
49,2019-12-07,25-273,FLA,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:29,1,0,1,0.0
50,2019-12-08,25-274,FLA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:56,2,0,1,0.0
51,2019-12-10,25-276,FLA,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:42,0,0,0,
52,2019-12-12,25-278,FLA,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:18,2,1,0,100.0
53,2019-12-16,25-282,FLA,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,10:43,2,2,6,25.0
54,2019-12-20,25-286,FLA,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,16,12:13,1,5,7,41.7
