,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-11-15,20-202,OTT,DET,W,1,0,1,-1,0,0,1,0,1,0,0,0,1,100.0,14,10:47,0,0,0,
1,2018-11-17,20-204,OTT,PIT,W,0,2,2,2,2,0,0,0,0,2,0,0,0,,16,12:17,1,0,0,
2,2018-11-19,20-206,OTT,FLA,L,1,1,2,1,0,0,1,0,0,1,0,0,2,50.0,22,15:39,1,0,0,
3,2018-11-21,20-208,OTT,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,18:50,1,0,0,
4,2018-11-23,20-210,OTT,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,15:53,2,0,0,
5,2018-11-26,20-213,OTT,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:10,0,0,0,
6,2018-11-27,20-214,OTT,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:44,2,0,0,
7,2018-11-29,20-216,OTT,NYR,W,1,1,2,2,0,1,0,0,1,1,0,0,1,100.0,16,14:06,1,0,0,
8,2018-12-01,20-218,OTT,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:26,1,0,0,
9,2018-12-04,20-221,OTT,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,13:46,2,1,0,100.0
10,2018-12-06,20-223,OTT,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,14:37,1,0,0,
11,2018-12-08,20-225,OTT,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,13:44,1,0,0,
12,2018-12-09,20-226,OTT,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,16:22,1,0,0,
13,2018-12-11,20-228,OTT,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:16,1,0,0,
14,2018-12-14,20-231,OTT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:59,0,0,0,
15,2018-12-15,20-232,OTT,MTL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,18,11:44,0,0,1,0.0
16,2018-12-17,20-234,OTT,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,13,9:24,0,1,0,100.0
17,2019-02-22,20-301,OTT,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,11:26,0,0,0,
18,2019-02-24,20-303,OTT,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:20,1,1,0,100.0
19,2019-02-28,20-307,OTT,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,11:48,1,0,0,
20,2019-10-02,21-158,OTT,TOR,L,0,0,0,-4,0,0,0,0,0,0,0,0,0,,15,11:26,0,1,0,100.0
21,2019-10-05,21-161,OTT,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,14:35,1,0,0,
22,2020-01-04,21-252,OTT,TBL,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,21,15:56,1,1,0,100.0
23,2020-01-07,21-255,OTT,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:46,2,0,0,
24,2020-01-10,21-258,OTT,DET,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,16:05,1,0,0,
25,2020-01-11,21-259,OTT,MTL,L-OT,1,0,1,0,4,1,0,0,0,0,0,0,1,100.0,22,16:28,0,1,0,100.0
26,2020-01-14,21-262,OTT,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:00,3,0,0,
27,2020-01-16,21-264,OTT,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,18:55,1,0,0,
28,2020-01-18,21-266,OTT,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,12:05,0,0,0,
29,2020-01-27,21-275,OTT,NJD,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,25,15:54,1,0,0,
30,2020-01-28,21-276,OTT,BUF,W,0,2,2,-1,0,0,0,0,0,0,2,0,1,0.0,21,15:05,4,1,1,50.0
31,2020-01-31,21-279,OTT,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,15:19,4,0,0,
32,2020-02-01,21-280,OTT,TOR,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,22,15:22,3,0,0,
33,2020-02-04,21-283,OTT,ANA,L-SO,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,26,17:17,3,0,0,
34,2020-02-06,21-285,OTT,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:52,0,0,0,
35,2020-02-08,21-287,OTT,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:40,4,0,0,
36,2020-02-11,21-290,OTT,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:34,1,0,0,
37,2020-02-13,21-292,OTT,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,25,16:15,4,0,0,
38,2020-02-15,21-294,OTT,TOR,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,26,17:21,7,0,0,
